"","name","notes","catchment_ha","lat_fit","lon_fit","x_pred","ele_fit","ele_arcpro","dist_diff","slope_mid","slope_up","x","d","w","date","VaisalaType","EOS_no","DOC","TDN","Flux_ave","adjusted_ppm","Q_m3s","WaterTemp_c","AirTemp_c","Total_hPa","v_ms","pCO2_air_ppm","air_pressure_atm","water_pressure_atm","pCO2_air_atm","pCO2_w_atm","KH_mol.l.atm","KH_mol.m3.atm","CO2_sat_mol.L","CO2_mol.L","CO2_umol.L","CO2_sat_percent","Flux_mol_m2_d_chamber","k_m.d_chamber","Sc_co2","k600_chamber","k600_eq1","k600_eq1_dummySlope","eD","k600_eq1_ulsethcorrection","k600_eq1_final","k.m.d_eq1","F_mol_m2_d_eq1","F_CO2_molpers_eq1","flux_sum"
"122103","Colm","",51.2059633663366,-0.340184411,-78.19950195,14.8,3948.289113,3946.07251,10,0.017265987,NA,10,25,60,NA,"","",NA,NA,0.175,724.779365648038,0.08249643,7.26704029692471,6.93135843054083,626.078682078473,0.5499762,418.53,0.616971818211453,0.617939659211453,0.000258221215076039,0.000447869914212042,0.0590009115238173,59.0009115238173,1.5235287064274e-05,2.64247331826043e-05,26.4247331826043,173.444274933086,0.01512,1.35127331952837,1215.02681851451,2.0202770556542,37.7629555594072,23.2255294496036,0.0931546016303872,65.7450892831736,65.7450892831736,63.4660674307314,0.710150141858489,4.26090085115093,4.26090085115093
"24214","Colm","",51.8999435643564,-0.340283411,-78.1995384,26.8,3947.888229,3945.658203,10,0.072065336,0.017265987,20,20,84,NA,"","",NA,NA,0.175,748.008418852704,0.08249643,7.25418769883351,6.93072216330859,626.108713891835,0.491050178571429,418.53,0.617001459611241,0.617969300611241,0.000258233620891093,0.000462246239449726,0.0590240618536098,59.0240618536098,1.52419972121575e-05,2.72836506288791e-05,27.2836506288791,179.003120451412,0.01512,1.25564152004272,1215.97753268411,1.8781359215213,107.946032789898,18.6135913821766,0.347153298854894,115.695816526644,115.695816526644,111.680909085383,1.34482280047059,11.2965115239529,15.5574123751039
"36213","Colm","",52.5939237623762,-0.340388411,-78.19955774,38.8,3947.437519,3944.343262,10,0.092251364,0.072065336,30,27,60,NA,"","",NA,NA,0.175,771.23747205737,0.08249643,7.24133510074231,6.93008589607635,626.138745705196,0.509237222222222,418.53,0.617031101011029,0.617998942011029,0.000258246026706146,0.000476623941770715,0.059047223390535,59.047223390535,1.52487108286359e-05,2.81433203630128e-05,28.1433203630128,184.561965134534,0.01512,1.1725830053008,1216.92915029906,1.75468272539098,163.340205326028,22.6082688251561,0.460852496109293,142.173075635816,142.173075635816,137.23397927074,1.76957857754496,10.6174714652698,26.1748838403736
"48213","Colm","",53.287903960396,-0.340495411,-78.19957606,50.8,3946.933861,3943.44458,10,0.06718616,0.092251364,40,14,84,NA,"","",NA,NA,0.175,794.466525262036,0.08249643,7.22848250265111,6.92944962884411,626.168777518558,0.701500255102041,418.53,0.617060742410817,0.618028583410817,0.000258258432521199,0.00049100302117501,0.0590703961409496,59.0703961409496,1.52554279157679e-05,2.90037429672109e-05,29.0037429672109,190.120808982571,0.01512,1.09977113147499,1217.88167219126,1.64645932749745,114.901289174736,21.0885083408861,0.462356173201193,121.386696410414,121.386696410414,117.16513569814,1.6108231986231,13.5309148684341,39.7057987088077
"57513","Colm","",56.9255671232877,-0.340577411,-78.19957192,60,3946.516746,3942.917236,10,0.026826104,0.06718616,50,30,57,NA,"","",NA,NA,0.17263698630137,812.469041495652,0.08249643,7.21852173913044,6.92895652173913,626.192052173913,0.482435263157895,418.53,0.617083714495652,0.618051555495652,0.000258268047027865,0.000502147754888449,0.0590883627393451,59.0883627393451,1.52606360467647e-05,2.96710886895965e-05,29.6710886895965,194.428912390495,0.0149158356164384,1.03507058287014,1218.62049916046,1.55013237402607,54.8901535452934,22.8075259747462,0.12695963230429,79.5365982790113,79.5365982790113,76.7681634826277,1.10626398434357,6.30570471075834,46.011503419566
"66013","Colm","",61.2357657534247,-0.340644411,-78.19953526,68.5,3946.103863,3942.849854,10,0.003947589,0.033483442,60,24,50,NA,"","",NA,NA,0.16972602739726,828.922954182291,0.08249643,7.2094178154825,6.92850583244963,626.213324708378,0.68747025,418.53,0.617104710487169,0.618072551487169,0.000258276834480195,0.00051233452527773,0.0591047897207337,59.1047897207337,1.52653979916887e-05,3.02814243832121e-05,30.2814243832121,198.366425819353,0.0146643287671233,0.976578515831676,1219.2962469477,1.46299626778462,12.1165064603196,27.7103493070424,0.0266228684678943,35.9822170969422,35.9822170969422,34.7288194314462,0.52148886912905,2.60744434564525,48.6189477652113
"74612","Colm","",65.5966726027397,-0.340699411,-78.19948173,77.1,3945.665161,3942.849854,10,0.001,0.003947589,70,25,55,NA,"","",NA,NA,0.166780821917808,845.570442312301,0.08249643,7.20020678685048,6.92804984093319,626.234847507953,0.599974036363636,418.53,0.61712595349035,0.61809379449035,0.000258285725314316,0.000522641843197694,0.0591214156946927,59.1214156946927,1.52702177343129e-05,3.08993256711312e-05,30.8993256711312,202.350262509349,0.0144098630136986,0.921988834676388,1219.98040751256,1.3816580668924,3.23293849273166,25.0955918322086,0.00588574529672727,17.6610026294629,3.23293849273166,3.12023541526719,0.0487664960934942,0.268215728514218,48.8871634937255
"12545","Colm","",69.9068712328767,-0.340746411,-78.19942263,85.6,3945.20875,3942.849854,10,0.001,0.001,80,25,95,NA,"","",NA,NA,0.163869863013699,862.02435499894,0.08249643,7.19110286320255,6.92759915164369,626.256120042418,0.347353389473684,418.53,0.617146949481866,0.618114790481866,0.000258294512766646,0.000532830003580436,0.059137854012951,59.137854012951,1.52749831883402e-05,3.151042296546e-05,31.51042296546,206.287775095639,0.0141583561643836,0.872064838325884,1220.65707044333,1.30725693925966,1.9876788979981,15.4293001335472,0.00340753675073684,13.5532255927786,1.9876788979981,1.91833347829847,0.0311449876593474,0.2958773827638,49.1830408764893
"12546","Colm","",74.2677780821918,-0.340791411,-78.1993596,94.1,3944.714447,3942.849854,10,0.001,0.001,90,24,40,NA,"","",NA,NA,0.160924657534247,878.67184312895,0.08249643,7.18189183457052,6.92714316012725,626.277642841994,0.8593378125,418.53,0.617168192485048,0.618136033485048,0.000258303403600767,0.000543138727846725,0.0591544914617909,59.1544914617909,1.52798064828531e-05,3.21290952389771e-05,32.1290952389771,210.271610933242,0.0139038904109589,0.825191532544983,1221.34215752468,1.23738782516254,4.354034961453,33.7980708452841,0.008430103940625,20.7819871107073,4.354034961453,4.20201508412599,0.0708009655100274,0.28320386204011,49.4662447385294
"100512","Colm","",75.9418421052632,-0.340837411,-78.19929476,102.9,3944.176037,3942.849854,10,0.001,0.001,100,24,70,NA,"","",NA,NA,0.293859649122807,876.106248078723,0.08249643,7.1758085106383,6.92687234042553,626.285038297872,0.491050178571429,418.53,0.6171754918,0.6181433328,0.000258306458583054,0.000541559236074286,0.0591654826504492,59.1654826504492,1.52828262937947e-05,3.20416135861437e-05,32.0416135861437,209.657644274565,0.0253894736842105,1.51499468555232,1221.79487158202,2.2722385646187,2.64598908674579,20.5394139921741,0.00481720225178572,15.8691418642054,2.64598908674579,2.55355782151083,0.0427945323694142,0.299561726585899,49.7658064651153
