"","x_pred","x","ele_arcpro","date","Flux_ave","adjusted_ppm","slope_mid","slope_up","catchment_ha","site"
"1",-4.373812,NA,4326.86084,NA,NA,NA,NA,NA,NA,"Ante"
"2",0.626188,0,4326.539062,NA,NA,NA,NA,NA,0.225,"Ante"
"3",6.396210494,5,4325.638672,NA,NA,NA,NA,NA,0.2484,"Ante"
"4",11.79020835,10,4324.359863,NA,NA,NA,NA,NA,0.2916,"Ante"
"5",17.18420621,15,4323.452637,"44382",1,5341.61136,0.254075648,0.143168308,0.3159,"Ante"
"6",22.57820408,20,4322.057129,NA,NA,NA,NA,NA,0.3672,"Ante"
"7",27.97220194,25,4320.156738,"44382",0.085,1276.566228,0.274330198,0.305515416,0.4698,"Ante"
"8",33.3661998,30,4318.401367,NA,NA,NA,NA,NA,0.5364,"Ante"
"9",38.76019766,35,4317.533691,NA,NA,NA,NA,NA,0.5427,"Ante"
"10",42.12155203,NA,4313.194336,"44382",0.055,1132.429194,0.244088965,0.453494101,0.5517,"Ante"
"11",44.15419552,40,4315.925781,NA,NA,NA,NA,NA,0.5517,"Ante"
"12",46.46553906,NA,4315.320313,"44382",1.365,11459.57361,0.214809728,0.261522594,0.5553,"Ante"
"13",48.46939381,44,4314.714844,NA,NA,NA,NA,NA,0.558,"Ante"
"14",53.71028874,50,4314.322266,NA,NA,NA,0.042775241,0.200505464,0.5625,"Ante"
"15",108.0099436,95,4313.194336,NA,NA,NA,NA,NA,2.5038,"Ante"
"16",111.9639225,100,4313.106445,"44383",0.255,4894.492681,0.027785513,0.020871162,2.5047,"Ante"
"17",115.9179014,105,4312.996094,NA,NA,NA,NA,NA,2.5056,"Ante"
"18",119.8718803,110,4312.864746,NA,NA,NA,0.035489368,0.030564022,2.5137,"Ante"
"19",123.8258592,115,4312.728516,NA,NA,NA,NA,NA,2.6838,"Ante"
"20",128.2677633,120,4312.527832,NA,NA,NA,0.05869705,0.035489368,2.6946,"Ante"
"21",132.7096675,125,4312.295898,NA,NA,NA,NA,NA,2.7036,"Ante"
"22",135.37481,128,4312.109375,NA,NA,NA,NA,NA,2.8674,"Ante"
"23",137.2911715,130,4311.842285,NA,NA,NA,0.073851496,0.05869705,2.8872,"Ante"
"24",142.0820752,135,4311.648438,NA,NA,NA,NA,NA,2.9628,"Ante"
"25",146.8729789,140,4311.153809,"44383",0.245,1578.686108,0.068672024,0.073851496,3.0609,"Ante"
"26",150.7057019,144,4310.852051,NA,NA,NA,NA,NA,3.0735,"Ante"
"27",151.6638827,145,4310.852051,NA,NA,NA,NA,NA,3.0735,"Ante"
"28",155.7567115,150,4310.574219,NA,NA,NA,NA,NA,3.0852,"Ante"
"29",159.8495404,155,4310.355957,NA,NA,NA,NA,NA,3.0996,"Ante"
"30",163.9423692,160,4310.230957,NA,NA,NA,NA,NA,3.9096,"Ante"
"31",168.0351981,165,4310.178711,NA,NA,NA,NA,NA,3.9312,"Ante"
"32",172.1280269,170,4309.97168,NA,NA,NA,NA,NA,3.9546,"Ante"
"33",176.2208558,175,4309.753906,"44383",0.11,928.338098,0.051131806,0.04008538,3.9591,"Ante"
"34",178.6765531,178,4309.512207,NA,NA,NA,NA,NA,3.9654,"Ante"
"35",180.6100732,180,4309.512207,NA,NA,NA,NA,NA,3.9654,"Ante"
"36",185.4438733,185,4309.288574,NA,NA,NA,NA,NA,3.969,"Ante"
"37",190.2776735,190,4309.086426,NA,NA,NA,NA,NA,4.2039,"Ante"
"38",195.1114737,195,4308.65918,NA,NA,NA,NA,NA,4.3272,"Ante"
"39",199.7703033,200,4308.436035,NA,NA,NA,NA,NA,4.3344,"Ante"
"40",201.6338351,202,4308.182129,NA,NA,NA,NA,NA,4.3425,"Ante"
"41",205.8888936,206,4307.893555,NA,NA,NA,NA,NA,4.3452,"Ante"
"42",210.143952,210,4307.578125,NA,NA,NA,NA,NA,4.3506,"Ante"
"43",215.462775,215,4306.885742,NA,NA,NA,NA,NA,4.3587,"Ante"
