"","pointid","ele","flo_accu","lat_center","lon_center","ele_up10","floaccu_up10","lat_up10","lon_up10","ele_down10","lat_down10","lon_down10","floaccu_down10","dist_diff_mid_1","dist_diff_mid_2","dist_diff_mid","ele_diff_mid","slope_mid"
"1",61801,3981,48717,-0.30699354,-78.21129167,3982,48694,-0.3069122,-78.21126476,3979,-0.30707487,-78.21131857,48736,9.53737357271169,9.53596709662859,19.0733406693403,3,0.157287601160629
"2",62026,3980,48729,-0.30702065,-78.21129166,3982,48702,-0.30693931,-78.21126475,3979,-0.30710198,-78.21131857,48737,9.5373735707714,9.53631670920586,19.0736902799773,3,0.157284718162236
"3",62144,3979,48735,-0.30704776,-78.21131858,3982,48704,-0.30696642,-78.21126474,3978,-0.30712909,-78.21131856,48738,10.8585632672509,9.05361445995538,19.9121777272063,4,0.200882096112207
"4",62243,3979,48736,-0.30707487,-78.21131857,3981,48717,-0.30699354,-78.21129167,3978,-0.3071562,-78.21131855,48739,9.53596709662859,9.05361445995538,18.589581556584,3,0.161380716982168
"5",62323,3979,48737,-0.30710198,-78.21131857,3980,48729,-0.30702065,-78.21129166,3977,-0.30718331,-78.21131855,48740,9.53631670920586,9.05361445995538,18.5899311691612,3,0.161377681966714
"6",62403,3978,48738,-0.30712909,-78.21131856,3979,48735,-0.30704776,-78.21131858,3977,-0.30721042,-78.21131854,48741,9.05361445995538,9.05361445996091,18.1072289199163,2,0.110453123934396
"7",62480,3978,48739,-0.3071562,-78.21131855,3979,48736,-0.30707487,-78.21131857,3976,-0.30723753,-78.21131853,48809,9.05361445995538,9.05361445995537,18.1072289199108,3,0.165679685901645
"8",62564,3977,48740,-0.30718331,-78.21131855,3979,48737,-0.30710198,-78.21131857,3975,-0.30726463,-78.2112916,48844,9.05361445995538,9.53665964017237,18.5902741001277,4,0.215166273421031
"9",62650,3977,48741,-0.30721042,-78.21131854,3978,48738,-0.30712909,-78.21131856,3974,-0.30729173,-78.21126466,48860,9.05361445996091,10.8582374687721,19.911851928733,4,0.200885382952651
"10",62766,3976,48809,-0.30723753,-78.21131853,3978,48739,-0.3071562,-78.21131855,3972,-0.30731884,-78.21123772,48866,9.05361445995537,12.7612074948694,21.8148219548248,6,0.275042354800103
"11",62849,3975,48844,-0.30726463,-78.2112916,3977,48740,-0.30718331,-78.21131855,3971,-0.30734594,-78.21121079,49184,9.53665964017237,12.7612074787834,22.2978671189558,6,0.269084032476779
"12",63145,3975,302,-0.30731886,-78.21131851,NA,NA,NA,NA,3972,-0.30734595,-78.21123772,308,NA,9.48550788175463,NA,NA,NA
"13",63239,3974,306,-0.30734596,-78.21129157,NA,NA,NA,NA,3976,-0.30723753,-78.21131853,48809,NA,12.4378725142921,NA,NA,NA
"14",67434,3963,191130,-0.30818657,-78.21209921,3963,191127,-0.30818655,-78.21201843,NA,NA,NA,NA,8.99225865770923,NA,NA,NA,NA
"15",67435,3963,191129,-0.30818656,-78.21207228,3963,191126,-0.30818654,-78.2119915,NA,NA,NA,NA,8.99225865771767,NA,NA,NA,NA
"16",67436,3963,191128,-0.30818656,-78.21204535,3963,191125,-0.30818653,-78.21196457,NA,NA,NA,NA,8.99225900082504,NA,NA,NA,NA
"17",67437,3963,191127,-0.30818655,-78.21201843,3963,191124,-0.30818653,-78.21193764,3963,-0.30818657,-78.21209921,191130,8.99337183590595,8.99225865770923,17.9856304936152,0,0
"18",67438,3963,191126,-0.30818654,-78.2119915,3963,191123,-0.30818652,-78.21191071,3963,-0.30818656,-78.21207228,191129,8.99337183591439,8.99225865771767,17.9856304936321,0,0
"19",67439,3963,191125,-0.30818653,-78.21196457,3963,191122,-0.30818651,-78.21188378,3963,-0.30818656,-78.21204535,191128,8.99337183733904,8.99225900082504,17.9856308381641,0,0
"20",67440,3963,191124,-0.30818653,-78.21193764,3963,191121,-0.30818651,-78.21185685,3963,-0.30818655,-78.21201843,191127,8.99337183592283,8.99337183590595,17.9867436718288,0,0
"21",67441,3963,191123,-0.30818652,-78.21191071,3963,191120,-0.3081865,-78.21182993,3963,-0.30818654,-78.2119915,191126,8.99225865775144,8.99337183591439,17.9856304936658,0,0
"22",67442,3963,191122,-0.30818651,-78.21188378,3963,191119,-0.30818649,-78.211803,3963,-0.30818653,-78.21196457,191125,8.99225865634367,8.99337183733904,17.9856304936827,0,0
"23",67443,3963,191121,-0.30818651,-78.21185685,3963,191118,-0.30818648,-78.21177607,3963,-0.30818653,-78.21193764,191124,8.99225900228346,8.99337183592283,17.9856308382063,0,0
"24",67444,3963,191120,-0.3081865,-78.21182993,3963,191117,-0.30818648,-78.21174914,3963,-0.30818652,-78.21191071,191123,8.99337183594816,8.99225865775144,17.9856304936996,0,0
"25",67445,3963,191119,-0.30818649,-78.211803,3963,191116,-0.30818647,-78.21172221,3963,-0.30818651,-78.21188378,191122,8.99337183595661,8.99225865634367,17.9856304923003,0,0
"26",67446,3963,191118,-0.30818648,-78.21177607,3963,191115,-0.30818646,-78.21169528,3963,-0.30818651,-78.21185685,191121,8.99337183596505,8.99225900228346,17.9856308382485,0,0
"27",67447,3963,191117,-0.30818648,-78.21174914,3963,191114,-0.30818646,-78.21166835,3963,-0.3081865,-78.21182993,191120,8.99337183596505,8.99337183594816,17.9867436719132,0,0
