"","pointid","ele","flo_accu","lat_center","lon_center","ele_up10","floaccu_up10","lat_up10","lon_up10","ele_down10","lat_down10","lon_down10","floaccu_down10","dist_diff_mid_1","dist_diff_mid_2","dist_diff_mid","ele_diff_mid","slope_mid"
"1",175188,3984,16844,-0.33599733,-78.19932757,3985,16741,-0.33597025,-78.19940836,3983,-0.33607864,-78.19924676,16855,9.48513009480299,12.7611896255877,22.2463197203907,2,0.0899025108484269
"2",175189,3983,6134,-0.33599722,-78.19895058,3983,6131,-0.33591592,-78.19903138,3982,-0.33607854,-78.1988967,6142,12.7596154035281,10.8591560978201,23.6187715013482,1,0.0423392046424987
"3",175190,3982,4786,-0.33599718,-78.19881593,3983,4724,-0.33591586,-78.19884289,3982,-0.33607851,-78.19881591,4807,9.53700722117208,9.05361445995383,18.5906216811259,1,0.0537905626370337
"4",175191,3985,992,-0.33599694,-78.19798116,3985,989,-0.33591562,-78.19798118,3984,-0.33607827,-78.19798113,1368,9.05250126508357,9.05361480212592,18.1061160672095,1,0.0552299563466854
"5",175192,3985,366,-0.33599693,-78.1979273,3986,344,-0.33591559,-78.1979004,3985,-0.33591562,-78.19798118,989,9.53702132715433,10.8582281512191,20.3952494783734,1,0.0490310256346888
"6",175193,3985,47545,-0.33599691,-78.19787344,3987,47532,-0.33594267,-78.19779268,3984,-0.33607826,-78.19792728,47566,10.8294647587964,10.8594821511026,21.688946909899,3,0.1383193021064
"7",175194,3992,3583,-0.33599672,-78.19720024,3995,3573,-0.33594248,-78.19711947,3989,-0.33607807,-78.197281,3589,10.8303888739869,12.7604264273059,23.5908153012928,6,0.254336271272116
"8",175195,4029,524,-0.33599636,-78.19596154,4032,389,-0.33591502,-78.19593464,4026,-0.3360777,-78.19601537,539,9.5370213263146,10.8579394885289,20.3949608148435,6,0.294190317621655
"9",175246,3984,16845,-0.33602443,-78.19930064,3985,16742,-0.33597024,-78.19938144,3983,-0.33610574,-78.19921983,16857,10.8300601406122,12.7611896079963,23.5912497486085,2,0.0847771958379597
"10",175247,3983,6135,-0.33602433,-78.19892364,3983,6132,-0.33594302,-78.19900445,3982,-0.33610564,-78.19886976,6158,12.7611896608378,10.8582281159193,23.6194177767571,1,0.0423380461555686
"11",175248,3982,4787,-0.33602429,-78.19881593,3983,4761,-0.33594297,-78.19884288,3982,-0.33610562,-78.1988159,4808,9.53665698119737,9.05361480212644,18.5902717833238,1,0.0537915750590068
