"","pointid","ele","flo_accu","lat_center","lon_center","ele_up20","floaccu_up20","lat_up20","lon_up20","dist_diff_up20","ele_diff_up20","slope_up20"
"1",175188,3984,16844,-0.33599733,-78.19932757,3986,16719,-0.33591605,-78.19948916,20.1352523604114,2,0.0993282807784553
"2",175189,3983,6134,-0.33599722,-78.19895058,3984,5675,-0.33588882,-78.19905832,17.0133436894169,1,0.0587773936890517
"3",175190,3982,4786,-0.33599718,-78.19881593,3983,4719,-0.33583454,-78.19884291,18.352416665588,1,0.054488736727249
"4",175191,3985,992,-0.33599694,-78.19798116,3986,980,-0.33583429,-78.1979812,18.1061157250429,1,0.0552299573904125
"5",175192,3985,366,-0.33599693,-78.1979273,NA,NA,NA,NA,NA,NA,NA
"6",175193,3985,47545,-0.33599691,-78.19787344,3988,47528,-0.33591555,-78.19773883,17.5089241495428,3,0.171341195745505
"7",175194,3992,3583,-0.33599672,-78.19720024,3998,3206,-0.33591535,-78.19706562,17.5104526615469,6,0.3426524782638
"8",175195,4029,524,-0.33599636,-78.19596154,NA,NA,NA,NA,NA,NA,NA
"9",175246,3984,16845,-0.33602443,-78.19930064,3986,16733,-0.33594315,-78.1994353,17.5090840099302,2,0.114226420917606
"10",175247,3983,6135,-0.33602433,-78.19892364,3983,6131,-0.33591592,-78.19903138,17.0141332374126,0,0
"11",175248,3982,4787,-0.33602429,-78.19881593,3983,4720,-0.33586165,-78.1988429,18.352234527458,1,0.0544892775048093
"12",175249,3984,993,-0.33602405,-78.19798115,3986,981,-0.3358614,-78.1979812,18.1061160330113,2,0.110459912902004
"13",175250,3984,371,-0.33602405,-78.19795422,NA,NA,NA,NA,NA,NA,NA
"14",175251,3985,47550,-0.33602403,-78.19790037,3987,47531,-0.33594266,-78.19776575,17.5104526244869,2,0.114217492996336
"15",175252,3991,3585,-0.33602383,-78.19722716,3996,3364,-0.33594247,-78.19709254,17.5098768018836,5,0.285553122764527
"16",175253,4028,533,-0.33602348,-78.19598846,4033,377,-0.33588791,-78.19590772,17.5651956737236,5,0.284653817291638
"17",175303,3984,16851,-0.33605154,-78.1992737,3985,16741,-0.33597025,-78.19940836,17.5096592582969,1,0.0571113341069816
"18",175304,3983,6140,-0.33605143,-78.19892363,3983,6131,-0.33591592,-78.19903138,19.2723018591072,0,0
"19",175305,3982,4806,-0.3360514,-78.19881592,3983,4723,-0.33588876,-78.19884289,18.3522345258691,1,0.0544892775095267
"20",175306,3984,1366,-0.33605116,-78.19798114,3986,982,-0.33588851,-78.19798119,18.1061160330172,2,0.110459912901967
"21",175307,3984,47564,-0.33605115,-78.19792729,3986,47535,-0.33594268,-78.1978196,17.0149495399033,2,0.117543692698566
"22",175308,3990,3587,-0.33605095,-78.19725408,3995,3573,-0.33594248,-78.19711947,19.2441007647847,5,0.259819882524708
"23",175309,4027,536,-0.33605059,-78.19598845,4033,377,-0.33588791,-78.19590772,20.2166405069923,6,0.296785215027432
"24",175358,3983,16855,-0.33607864,-78.19924676,3985,16840,-0.33597023,-78.19935451,17.0149178940119,2,0.117543911317014
"25",175359,3982,6142,-0.33607854,-78.1988967,3983,6132,-0.33594302,-78.19900445,19.2731731758584,1,0.0518855920027015
"26",175360,3982,4807,-0.33607851,-78.19881591,3983,4724,-0.33591586,-78.19884289,18.3535148499816,1,0.0544854763882463
"27",175361,3984,1368,-0.33607827,-78.19798113,3985,989,-0.33591562,-78.19798118,18.1061160330113,1,0.0552299564510019
"28",175362,3984,47566,-0.33607826,-78.19792728,3986,47535,-0.33594268,-78.1978196,19.2735545867144,2,0.103769130442531
"29",175363,3989,3590,-0.33607808,-78.19730793,3993,3581,-0.3359696,-78.19717332,19.2447992326606,4,0.207848362128484
"30",175364,3989,3589,-0.33607807,-78.197281,3993,3581,-0.3359696,-78.19717332,17.0141652544807,4,0.235098221991619
"31",175365,4026,539,-0.3360777,-78.19601537,4031,396,-0.33594213,-78.19593463,17.5651956482079,5,0.284653817705134
"32",175429,3983,16857,-0.33610574,-78.19921983,3984,16844,-0.33599733,-78.19932757,17.0141331669656,1,0.0587746663427782
"33",175430,3982,6158,-0.33610564,-78.19886976,3983,6133,-0.33597012,-78.19897751,19.2731731560332,1,0.0518855920560733
"34",175431,3982,4808,-0.33610562,-78.1988159,3983,4761,-0.33594297,-78.19884288,18.3535148486124,1,0.054485476392311
"35",175432,3982,307,-0.33610561,-78.19876205,NA,NA,NA,NA,NA,NA,NA
"36",175433,3983,1487,-0.33610539,-78.19800806,3985,990,-0.33594273,-78.19798117,18.3529763691567,2,0.108974150010956
"37",175434,3984,47579,-0.33610537,-78.19792727,3986,47540,-0.3359698,-78.19784652,17.5657652528028,2,0.113857834897394
"38",175435,3988,3592,-0.33610519,-78.19733485,3992,3583,-0.33599672,-78.19720024,19.2441007011015,4,0.207855906707609
"39",175436,4025,540,-0.33610482,-78.19604229,4030,424,-0.33596925,-78.19596155,17.5651956347216,5,0.284653817923688
"40",175488,3983,16859,-0.33613284,-78.19919289,3984,16845,-0.33602443,-78.19930064,17.0149178461001,1,0.0587719558240009
"41",175489,3982,6162,-0.33613274,-78.19884282,3983,6134,-0.33599722,-78.19895058,19.2738659285843,1,0.0518837270999659
"42",175490,3982,4809,-0.33613273,-78.1988159,3983,4766,-0.33597008,-78.19884287,18.3533327211581,1,0.0544860170734647
"43",175491,3982,315,-0.33613272,-78.19876204,NA,NA,NA,NA,NA,NA,NA
"44",175492,3983,1488,-0.3361325,-78.19800805,3985,991,-0.33596983,-78.19798117,18.3538931449288,2,0.108968706759231
"45",175493,3983,47588,-0.33613248,-78.19795419,3985,47545,-0.33599691,-78.19787344,17.5657652407572,2,0.113857834975471
"46",175494,3986,333,-0.33613237,-78.1975772,NA,NA,NA,NA,NA,NA,NA
"47",175495,3988,3827,-0.33613231,-78.19736177,3991,3585,-0.33602383,-78.19722716,19.2447991689864,3,0.155886272112135
"48",175496,4024,543,-0.33613193,-78.19604229,4029,524,-0.33599636,-78.19596154,17.5657652395715,5,0.284644587457891
"49",175549,4032,314,-0.33616056,-78.20129329,NA,NA,NA,NA,NA,NA,NA
"50",175550,4027,362,-0.33616049,-78.20107786,4031,350,-0.33618765,-78.20123943,18.2379352146161,4,0.21932307319495
"51",175551,4026,390,-0.33616049,-78.20105094,4030,353,-0.33618764,-78.2012125,18.2366529211709,4,0.219338494694737
"52",175552,4025,392,-0.33616048,-78.20102401,4030,354,-0.33618763,-78.20118557,18.2366529225857,5,0.27417311834715
"53",175553,4024,393,-0.33616047,-78.20099708,4029,357,-0.33618763,-78.20115864,18.2368374432117,5,0.274170344258958
"54",175554,4023,394,-0.33616046,-78.20097015,4029,358,-0.33618762,-78.20113171,18.2368374418341,6,0.329004413135601
"55",175555,4022,395,-0.33616046,-78.20094322,4028,359,-0.33618761,-78.20110479,18.2377507051686,6,0.328987938095874
"56",175556,4020,403,-0.33616045,-78.20091629,4027,362,-0.33616049,-78.20107786,17.9855811162943,7,0.389200657723439
"57",175557,4019,404,-0.33616044,-78.20088937,4026,390,-0.33616049,-78.20105094,17.9855814263526,7,0.389200651013904
"58",175558,4018,405,-0.33616043,-78.20086244,4025,392,-0.33616048,-78.20102401,17.985581426371,7,0.389200651013505
"59",175559,4017,406,-0.33616042,-78.20083551,4024,393,-0.33616047,-78.20099708,17.985581423557,7,0.389200651074399
"60",175560,4016,407,-0.33616042,-78.20080858,4023,394,-0.33616046,-78.20097015,17.9855811149333,7,0.389200657752889
"61",175561,4015,408,-0.33616041,-78.20078165,4022,395,-0.33616046,-78.20094322,17.9855814249916,7,0.389200651043354
"62",175562,4013,523,-0.3361604,-78.20075472,4020,403,-0.33616045,-78.20091629,17.9855814235938,7,0.389200651073602
"63",175563,4012,525,-0.33616039,-78.2007278,4019,404,-0.33616044,-78.20088937,17.9855814250285,7,0.389200651042557
"64",175564,4011,526,-0.33616039,-78.20070087,4018,405,-0.33616043,-78.20086244,17.9855811135724,7,0.38920065778234
"65",175565,4010,527,-0.33616038,-78.20067394,4017,406,-0.33616042,-78.20083551,17.9855811164232,7,0.389200657720649
"66",175566,4009,528,-0.33616037,-78.20064701,4016,407,-0.33616042,-78.20080858,17.9855814264815,7,0.389200651011114
"67",175567,4008,529,-0.33616036,-78.20062008,4015,408,-0.33616041,-78.20078165,17.9855814264999,7,0.389200651010715
"68",175568,4007,530,-0.33616035,-78.20059315,4013,523,-0.3361604,-78.20075472,17.9855814265183,6,0.333600558008843
"69",175569,4005,531,-0.33616035,-78.20056623,4012,525,-0.33616039,-78.2007278,17.9855811150623,7,0.3892006577501
"70",175570,4004,532,-0.33616034,-78.2005393,4011,526,-0.33616039,-78.20070087,17.9855814265368,7,0.389200651009918
"71",175571,4003,533,-0.33616033,-78.20051237,4010,527,-0.33616038,-78.20067394,17.9855814265552,7,0.38920065100952
"72",175572,4002,534,-0.33616032,-78.20048544,4009,528,-0.33616037,-78.20064701,17.9855814265736,7,0.389200651009121
"73",175573,3983,16862,-0.33615995,-78.19919288,3984,16845,-0.33602443,-78.19930064,19.2738659077872,1,0.0518837271559501
"74",175574,3982,10973,-0.33615984,-78.19881589,3983,6140,-0.33605143,-78.19892363,17.0141331201415,1,0.0587746665045302
"75",175575,3982,321,-0.33615982,-78.19876203,NA,NA,NA,NA,NA,NA,NA
"76",175576,3983,49080,-0.33615961,-78.19800804,3985,47550,-0.33602403,-78.19790037,19.2728622354292,2,0.103772858206987
"77",175577,3983,47589,-0.3361596,-78.19798111,3985,47550,-0.33602403,-78.19790037,17.5651956103806,2,0.113861527327259
"78",175578,3986,454,-0.33615948,-78.19757719,NA,NA,NA,NA,NA,NA,NA
"79",175579,3987,3830,-0.33615943,-78.19738869,3990,3587,-0.33605095,-78.19725408,19.2447991365916,3,0.155886272374538
"80",175580,4023,544,-0.33615905,-78.19606921,4028,533,-0.33602348,-78.19598846,17.5657652275249,5,0.2846445876531
"81",175581,4035,410,-0.33615887,-78.19544986,NA,NA,NA,NA,NA,NA,NA
"82",175638,4031,349,-0.33618766,-78.20126636,NA,NA,NA,NA,NA,NA,NA
"83",175639,4031,350,-0.33618765,-78.20123943,NA,NA,NA,NA,NA,NA,NA
"84",175640,4030,353,-0.33618764,-78.2012125,NA,NA,NA,NA,NA,NA,NA
"85",175641,4030,354,-0.33618763,-78.20118557,NA,NA,NA,NA,NA,NA,NA
"86",175642,4029,357,-0.33618763,-78.20115864,NA,NA,NA,NA,NA,NA,NA
"87",175643,4029,358,-0.33618762,-78.20113171,4032,314,-0.33616056,-78.20129329,18.2371909775555,3,0.164499017622401
"88",175644,4028,359,-0.33618761,-78.20110479,4031,349,-0.33618766,-78.20126636,17.9855813763102,3,0.166800279470057
"89",175645,4000,682,-0.33618742,-78.20045851,4008,529,-0.33616036,-78.20062008,18.236093092329,8,0.438690456310798
