OBJECTID,pointid,FloAccu,Ele,lat,lon
1,175188,16844,3984,-0.33599733,-78.19932757
2,175189,6134,3983,-0.33599722,-78.19895058
3,175190,4786,3982,-0.33599718,-78.19881593
4,175191,992,3985,-0.33599694,-78.19798116
5,175192,366,3985,-0.33599693,-78.1979273
6,175193,47545,3985,-0.33599691,-78.19787344
7,175194,3583,3992,-0.33599672,-78.19720024
8,175195,524,4029,-0.33599636,-78.19596154
9,175246,16845,3984,-0.33602443,-78.19930064
10,175247,6135,3983,-0.33602433,-78.19892364
11,175248,4787,3982,-0.33602429,-78.19881593
12,175249,993,3984,-0.33602405,-78.19798115
13,175250,371,3984,-0.33602405,-78.19795422
14,175251,47550,3985,-0.33602403,-78.19790037
15,175252,3585,3991,-0.33602383,-78.19722716
16,175253,533,4028,-0.33602348,-78.19598846
17,175303,16851,3984,-0.33605154,-78.1992737
18,175304,6140,3983,-0.33605143,-78.19892363
19,175305,4806,3982,-0.3360514,-78.19881592
20,175306,1366,3984,-0.33605116,-78.19798114
21,175307,47564,3984,-0.33605115,-78.19792729
22,175308,3587,3990,-0.33605095,-78.19725408
23,175309,536,4027,-0.33605059,-78.19598845
24,175358,16855,3983,-0.33607864,-78.19924676
25,175359,6142,3982,-0.33607854,-78.1988967
26,175360,4807,3982,-0.33607851,-78.19881591
27,175361,1368,3984,-0.33607827,-78.19798113
28,175362,47566,3984,-0.33607826,-78.19792728
29,175363,3590,3989,-0.33607808,-78.19730793
30,175364,3589,3989,-0.33607807,-78.197281
31,175365,539,4026,-0.3360777,-78.19601537
32,175429,16857,3983,-0.33610574,-78.19921983
33,175430,6158,3982,-0.33610564,-78.19886976
34,175431,4808,3982,-0.33610562,-78.1988159
35,175432,307,3982,-0.33610561,-78.19876205
36,175433,1487,3983,-0.33610539,-78.19800806
37,175434,47579,3984,-0.33610537,-78.19792727
38,175435,3592,3988,-0.33610519,-78.19733485
39,175436,540,4025,-0.33610482,-78.19604229
