OBJECTID,pointid,FloAccu,ele,lat,lon
1,61801,48717,3981,-0.30699354,-78.21129167
2,62026,48729,3980,-0.30702065,-78.21129166
3,62144,48735,3979,-0.30704776,-78.21131858
4,62243,48736,3979,-0.30707487,-78.21131857
5,62323,48737,3979,-0.30710198,-78.21131857
6,62403,48738,3978,-0.30712909,-78.21131856
7,62480,48739,3978,-0.3071562,-78.21131855
8,62564,48740,3977,-0.30718331,-78.21131855
9,62650,48741,3977,-0.30721042,-78.21131854
10,62766,48809,3976,-0.30723753,-78.21131853
11,62849,48844,3975,-0.30726463,-78.2112916
12,63145,302,3975,-0.30731886,-78.21131851
13,63239,306,3974,-0.30734596,-78.21129157
14,67434,191130,3963,-0.30818657,-78.21209921
15,67435,191129,3963,-0.30818656,-78.21207228
16,67436,191128,3963,-0.30818656,-78.21204535
17,67437,191127,3963,-0.30818655,-78.21201843
18,67438,191126,3963,-0.30818654,-78.2119915
19,67439,191125,3963,-0.30818653,-78.21196457
20,67440,191124,3963,-0.30818653,-78.21193764
21,67441,191123,3963,-0.30818652,-78.21191071
22,67442,191122,3963,-0.30818651,-78.21188378
23,67443,191121,3963,-0.30818651,-78.21185685
24,67444,191120,3963,-0.3081865,-78.21182993
25,67445,191119,3963,-0.30818649,-78.211803
26,67446,191118,3963,-0.30818648,-78.21177607
27,67447,191117,3963,-0.30818648,-78.21174914
28,67448,191116,3963,-0.30818647,-78.21172221
29,67449,191115,3963,-0.30818646,-78.21169528
30,67450,191114,3963,-0.30818646,-78.21166835
31,67451,191113,3963,-0.30818645,-78.21164143
32,67452,191112,3963,-0.30818644,-78.2116145
33,67453,191109,3963,-0.30818643,-78.21158757
34,67454,191102,3963,-0.30818643,-78.21156064
35,67455,191095,3963,-0.30818642,-78.21153371
36,67456,191086,3963,-0.30818641,-78.21150678
37,67457,191076,3963,-0.30818641,-78.21147986
38,67458,191063,3963,-0.3081864,-78.21145293
39,67459,191026,3963,-0.30818639,-78.211426
40,67460,190996,3963,-0.30818639,-78.21139907
41,67461,190993,3963,-0.30818638,-78.21137214
42,67462,190990,3963,-0.30818637,-78.21134521
43,67463,190985,3963,-0.30818636,-78.21131828
44,67464,190970,3963,-0.30818636,-78.21129136
45,33097,499,4049,-0.29961929,-78.20957013
46,33098,425,4048,-0.29961928,-78.20951628
47,33099,376,4039,-0.29961901,-78.20846607
48,33100,478,4039,-0.29961898,-78.20835836
49,33101,342,4048,-0.29961854,-78.20666187
50,33195,501,4048,-0.2996464,-78.20957013
51,33196,426,4048,-0.29964639,-78.20951627
52,33197,430,4039,-0.29964611,-78.20843913
53,33198,480,4039,-0.29964609,-78.20835835
54,33199,344,4048,-0.29964565,-78.20666186
55,33316,503,4047,-0.29967351,-78.20957012
56,33317,427,4047,-0.29967349,-78.20951626
57,33318,431,4039,-0.29967322,-78.20843913
58,33319,488,4039,-0.2996732,-78.20835834
59,33320,387,4047,-0.29967277,-78.20668878
60,33418,504,4047,-0.29970062,-78.20957011
61,33419,428,4047,-0.2997006,-78.20951626
62,33420,432,4039,-0.29970033,-78.20843912
63,33421,859,4039,-0.29970031,-78.20835833
64,33422,519,4047,-0.29969988,-78.2067157
65,33579,505,4046,-0.29972773,-78.20957011
66,33580,429,4046,-0.29972771,-78.20951625
67,33581,670,4039,-0.29972744,-78.20843911
68,33582,910,4039,-0.29972742,-78.20838526
69,33583,762,4047,-0.29972702,-78.20682341
70,33584,695,4047,-0.29972702,-78.20679648
71,33585,688,4047,-0.29972701,-78.20676955
72,33586,687,4047,-0.299727,-78.20674263
73,33654,506,4046,-0.29975484,-78.2095701
74,33655,430,4046,-0.29975482,-78.20951624
75,33656,758,4039,-0.29975454,-78.20841218
76,33657,913,4039,-0.29975453,-78.20838525
77,33658,836,4046,-0.29975414,-78.20685033
78,33776,507,4045,-0.29978195,-78.20957009
79,33777,431,4045,-0.29978193,-78.20951624
80,33778,760,4039,-0.29978165,-78.20841217
81,33779,916,4039,-0.29978164,-78.20838524
82,33780,850,4046,-0.29978125,-78.20687725
83,33871,508,4044,-0.29980906,-78.20957009
84,33872,432,4044,-0.29980904,-78.20951623
85,33873,762,4039,-0.29980876,-78.20841216
86,33874,919,4039,-0.29980875,-78.20838524
87,33875,888,4046,-0.29980837,-78.20690417
88,34191,509,4044,-0.29983617,-78.20957008
89,34192,433,4044,-0.29983615,-78.20951622
90,34193,763,4039,-0.29983587,-78.20841216
91,34194,920,4039,-0.29983586,-78.20838523
92,34195,891,4046,-0.29983549,-78.2069311
93,34286,669,4043,-0.29986328,-78.20957007
94,34287,513,4043,-0.29986326,-78.20951622
95,34288,768,4038,-0.29986298,-78.20841215
96,34289,1012,4038,-0.29986297,-78.20838522
97,34290,899,4046,-0.29986261,-78.20698495
98,34291,894,4046,-0.2998626,-78.20695802
99,34394,670,4043,-0.29989038,-78.20957007
100,34395,514,4043,-0.29989037,-78.20951621
101,34396,770,4038,-0.29989009,-78.20841214
102,34397,1195,4038,-0.29989008,-78.20838522
103,34398,903,4046,-0.29988973,-78.20701187
104,34483,671,4043,-0.29991749,-78.20957006
105,34484,515,4043,-0.29991748,-78.2095162
106,34485,1972,4038,-0.2999172,-78.20841214
107,34486,1300,4046,-0.29991686,-78.20711957
108,34487,1286,4046,-0.29991686,-78.20709265
109,34488,1176,4046,-0.29991685,-78.20706572
110,34489,1175,4046,-0.29991684,-78.20703879
111,34581,300,4045,-0.29994469,-78.20992012
112,34582,672,4042,-0.2999446,-78.20957005
113,34583,613,4042,-0.29994459,-78.20951619
114,34584,1975,4038,-0.29994431,-78.20843906
115,34585,1325,4045,-0.29994398,-78.2071465
116,34687,391,4045,-0.2999718,-78.20992011
117,34688,673,4042,-0.29997171,-78.20957004
118,34689,627,4042,-0.29997171,-78.20954312
119,34690,1977,4038,-0.29997142,-78.20843905
120,34691,1355,4045,-0.29997109,-78.20714649
121,34969,397,4044,-0.29999891,-78.20989318
122,34970,674,4042,-0.29999882,-78.20957004
123,34971,628,4042,-0.29999882,-78.20954311
124,34972,1986,4038,-0.29999854,-78.20846597
