OBJECTID,pointid,FloAccu,lat,lon,ele
1,175188,16844,-0.33599733,-78.19932757,3984
2,175189,6134,-0.33599722,-78.19895058,3983
3,175190,4786,-0.33599718,-78.19881593,3982
4,175191,992,-0.33599694,-78.19798116,3985
5,175192,366,-0.33599693,-78.1979273,3985
6,175193,47545,-0.33599691,-78.19787344,3985
7,175194,3583,-0.33599672,-78.19720024,3992
8,175195,524,-0.33599636,-78.19596154,4029
9,175246,16845,-0.33602443,-78.19930064,3984
10,175247,6135,-0.33602433,-78.19892364,3983
11,175248,4787,-0.33602429,-78.19881593,3982
12,175249,993,-0.33602405,-78.19798115,3984
13,175250,371,-0.33602405,-78.19795422,3984
14,175251,47550,-0.33602403,-78.19790037,3985
15,175252,3585,-0.33602383,-78.19722716,3991
16,175253,533,-0.33602348,-78.19598846,4028
17,175303,16851,-0.33605154,-78.1992737,3984
18,175304,6140,-0.33605143,-78.19892363,3983
19,175305,4806,-0.3360514,-78.19881592,3982
20,175306,1366,-0.33605116,-78.19798114,3984
21,175307,47564,-0.33605115,-78.19792729,3984
22,175308,3587,-0.33605095,-78.19725408,3990
23,175309,536,-0.33605059,-78.19598845,4027
24,175358,16855,-0.33607864,-78.19924676,3983
25,175359,6142,-0.33607854,-78.1988967,3982
26,175360,4807,-0.33607851,-78.19881591,3982
27,175361,1368,-0.33607827,-78.19798113,3984
28,175362,47566,-0.33607826,-78.19792728,3984
29,175363,3590,-0.33607808,-78.19730793,3989
30,175364,3589,-0.33607807,-78.197281,3989
31,175365,539,-0.3360777,-78.19601537,4026
32,175429,16857,-0.33610574,-78.19921983,3983
33,175430,6158,-0.33610564,-78.19886976,3982
34,175431,4808,-0.33610562,-78.1988159,3982
35,175432,307,-0.33610561,-78.19876205,3982
36,175433,1487,-0.33610539,-78.19800806,3983
37,175434,47579,-0.33610537,-78.19792727,3984
38,175435,3592,-0.33610519,-78.19733485,3988
39,175436,540,-0.33610482,-78.19604229,4025
40,175488,16859,-0.33613284,-78.19919289,3983
41,175489,6162,-0.33613274,-78.19884282,3982
42,175490,4809,-0.33613273,-78.1988159,3982
43,175491,315,-0.33613272,-78.19876204,3982
44,175492,1488,-0.3361325,-78.19800805,3983
45,175493,47588,-0.33613248,-78.19795419,3983
46,175494,333,-0.33613237,-78.1975772,3986
47,175495,3827,-0.33613231,-78.19736177,3988
48,175496,543,-0.33613193,-78.19604229,4024
49,175549,314,-0.33616056,-78.20129329,4032
50,175550,362,-0.33616049,-78.20107786,4027
51,175551,390,-0.33616049,-78.20105094,4026
52,175552,392,-0.33616048,-78.20102401,4025
53,175553,393,-0.33616047,-78.20099708,4024
54,175554,394,-0.33616046,-78.20097015,4023
55,175555,395,-0.33616046,-78.20094322,4022
56,175556,403,-0.33616045,-78.20091629,4020
57,175557,404,-0.33616044,-78.20088937,4019
58,175558,405,-0.33616043,-78.20086244,4018
59,175559,406,-0.33616042,-78.20083551,4017
60,175560,407,-0.33616042,-78.20080858,4016
61,175561,408,-0.33616041,-78.20078165,4015
62,175562,523,-0.3361604,-78.20075472,4013
63,175563,525,-0.33616039,-78.2007278,4012
64,175564,526,-0.33616039,-78.20070087,4011
65,175565,527,-0.33616038,-78.20067394,4010
66,175566,528,-0.33616037,-78.20064701,4009
67,175567,529,-0.33616036,-78.20062008,4008
68,175568,530,-0.33616035,-78.20059315,4007
69,175569,531,-0.33616035,-78.20056623,4005
70,175570,532,-0.33616034,-78.2005393,4004
71,175571,533,-0.33616033,-78.20051237,4003
72,175572,534,-0.33616032,-78.20048544,4002
73,175573,16862,-0.33615995,-78.19919288,3983
74,175574,10973,-0.33615984,-78.19881589,3982
75,175575,321,-0.33615982,-78.19876203,3982
76,175576,49080,-0.33615961,-78.19800804,3983
77,175577,47589,-0.3361596,-78.19798111,3983
78,175578,454,-0.33615948,-78.19757719,3986
79,175579,3830,-0.33615943,-78.19738869,3987
80,175580,544,-0.33615905,-78.19606921,4023
81,175581,410,-0.33615887,-78.19544986,4035
82,175638,349,-0.33618766,-78.20126636,4031
83,175639,350,-0.33618765,-78.20123943,4031
84,175640,353,-0.33618764,-78.2012125,4030
85,175641,354,-0.33618763,-78.20118557,4030
86,175642,357,-0.33618763,-78.20115864,4029
87,175643,358,-0.33618762,-78.20113171,4029
88,175644,359,-0.33618761,-78.20110479,4028
89,175645,682,-0.33618742,-78.20045851,4000
90,175646,683,-0.33618742,-78.20043158,3999
91,175647,16865,-0.33618705,-78.19916595,3982
92,175648,10974,-0.33618695,-78.19881588,3982
93,175649,323,-0.33618693,-78.19876202,3982
94,175650,49126,-0.33618672,-78.19803496,3982
95,175651,468,-0.3361866,-78.19760411,3985
96,175652,3835,-0.33618655,-78.19744254,3987
97,175653,3833,-0.33618654,-78.19741561,3987
98,175654,545,-0.33618616,-78.19609613,4020
99,175655,535,-0.33618602,-78.19558449,4032
100,175656,501,-0.33618601,-78.19555756,4033
101,175657,500,-0.336186,-78.19553064,4033
102,175658,469,-0.33618599,-78.19550371,4034
103,175659,468,-0.33618598,-78.19547678,4034
104,175715,690,-0.33621452,-78.20040464,3997
105,175716,691,-0.33621451,-78.20037771,3996
106,175717,16868,-0.33621415,-78.19913901,3982
107,175718,10983,-0.33621406,-78.19881587,3982
108,175719,324,-0.33621404,-78.19876202,3982
109,175720,49127,-0.33621383,-78.19803495,3982
110,175721,469,-0.33621371,-78.1976041,3985
111,175722,3896,-0.33621367,-78.19746946,3986
112,175723,546,-0.33621328,-78.19612305,4017
113,175724,625,-0.33621314,-78.19563834,4031
114,175725,624,-0.33621313,-78.19561141,4031
115,175791,693,-0.33624161,-78.20035078,3994
116,175792,695,-0.3362416,-78.20032385,3993
117,175793,697,-0.3362416,-78.20029692,3992
118,175794,700,-0.33624159,-78.20026999,3991
119,175795,701,-0.33624158,-78.20024306,3991
120,175796,702,-0.33624157,-78.20021614,3990
121,175797,17051,-0.33624125,-78.19911208,3982
122,175798,11004,-0.33624117,-78.19881586,3982
123,175799,347,-0.33624115,-78.19876201,3982
124,175800,49128,-0.33624094,-78.19803494,3982
125,175801,470,-0.33624082,-78.19760409,3985
126,175802,3902,-0.33624079,-78.19752331,3986
127,175803,3900,-0.33624079,-78.19749638,3986
128,175804,552,-0.33624041,-78.1961769,4011
129,175805,547,-0.3362404,-78.19614997,4014
130,175806,665,-0.33624026,-78.19566526,4030
131,175867,714,-0.33626867,-78.2001892,3989
132,175868,715,-0.33626867,-78.20016227,3989
133,175869,17093,-0.33626836,-78.19908514,3982
134,175870,11490,-0.33626827,-78.19878893,3981
135,175871,49129,-0.33626805,-78.19803494,3982
136,175872,489,-0.33626793,-78.19760409,3985
137,175873,3905,-0.33626791,-78.19755023,3985
138,175874,560,-0.33626752,-78.19620382,4008
139,175875,672,-0.33626737,-78.19569218,4029
140,175948,720,-0.33629577,-78.20013534,3988
141,175949,304,-0.33629574,-78.20002762,3988
142,175950,17094,-0.33629546,-78.19908513,3982
143,175951,11491,-0.33629538,-78.19878892,3981
144,175952,49163,-0.33629516,-78.19803493,3981
145,175953,490,-0.33629504,-78.19760408,3985
146,175954,3907,-0.33629503,-78.19757715,3985
147,175955,308,-0.33629464,-78.19623074,4008
148,175956,562,-0.33629463,-78.19620381,4008
149,175957,762,-0.33629451,-78.19579989,4027
150,175958,761,-0.33629451,-78.19577296,4027
151,175959,713,-0.3362945,-78.19574603,4028
152,175960,712,-0.33629449,-78.1957191,4028
153,176023,822,-0.33632287,-78.2001084,3988
154,176024,308,-0.33632284,-78.20000069,3987
155,176025,309,-0.33632283,-78.19997376,3987
156,176026,17120,-0.33632257,-78.19908512,3982
157,176027,11492,-0.33632249,-78.19878891,3981
158,176028,49164,-0.33632227,-78.19803492,3981
159,176029,4399,-0.33632215,-78.19760407,3985
160,176030,309,-0.33632175,-78.19623073,4008
161,176031,563,-0.33632174,-78.1962038,4008
162,176032,842,-0.33632169,-78.1960153,4021
163,176033,819,-0.33632168,-78.19598838,4022
164,176034,818,-0.33632167,-78.19596145,4023
165,176035,817,-0.33632166,-78.19593452,4024
166,176036,816,-0.33632165,-78.19590759,4025
167,176037,815,-0.33632165,-78.19588066,4025
168,176038,800,-0.33632164,-78.19585374,4026
169,176039,799,-0.33632163,-78.19582681,4026
170,176082,440,-0.33635076,-78.20282815,4082
171,176083,830,-0.33634997,-78.20008146,3988
172,176084,833,-0.33634996,-78.20005453,3988
173,176085,311,-0.33634993,-78.19994682,3987
174,176086,323,-0.33634992,-78.19991989,3987
175,176087,17125,-0.33634968,-78.19908512,3982
176,176088,11508,-0.3363496,-78.19878891,3981
177,176089,49165,-0.33634938,-78.19803491,3981
178,176090,4403,-0.33634925,-78.19760406,3985
179,176091,316,-0.33634886,-78.19623072,4008
180,176092,564,-0.33634885,-78.19620379,4008
181,176093,857,-0.33634881,-78.19606915,4017
182,176094,855,-0.3363488,-78.19604222,4019
183,176135,452,-0.33637792,-78.20298972,4087
184,176136,455,-0.33637791,-78.20296279,4086
185,176137,458,-0.33637791,-78.20293586,4085
186,176138,461,-0.3363779,-78.20290893,4084
187,176139,464,-0.33637789,-78.202882,4083
188,176140,469,-0.33637788,-78.20285507,4082
189,176141,441,-0.33637787,-78.20280122,4081
190,176142,916,-0.33637707,-78.2000276,3987
191,176143,917,-0.33637706,-78.20000067,3987
192,176144,328,-0.33637703,-78.19989296,3986
193,176145,17145,-0.33637678,-78.19905818,3981
194,176146,11509,-0.33637671,-78.1987889,3981
195,176147,49166,-0.33637649,-78.19803491,3981
196,176148,4485,-0.33637637,-78.19763098,3984
197,176149,339,-0.33637612,-78.19676928,3996
198,176150,321,-0.33637597,-78.19623071,4008
199,176151,565,-0.33637596,-78.19620379,4008
200,176152,878,-0.33637593,-78.19609607,4014
201,176189,470,-0.33640498,-78.20282814,4081
202,176190,914,-0.33640498,-78.20280121,4080
203,176191,1118,-0.33640416,-78.19997373,3987
204,176192,1121,-0.33640415,-78.19994681,3987
205,176193,329,-0.33640413,-78.19986602,3986
206,176194,17146,-0.33640389,-78.19905817,3981
207,176195,11512,-0.33640382,-78.19878889,3981
208,176196,49167,-0.3364036,-78.1980349,3981
209,176197,4486,-0.33640348,-78.19763097,3984
210,176198,421,-0.33640323,-78.19676927,3996
211,176199,890,-0.33640307,-78.19620378,4007
212,176200,892,-0.33640304,-78.19612299,4011
213,176276,916,-0.33643208,-78.20277427,4079
214,176277,1136,-0.33643125,-78.19991987,3986
215,176278,330,-0.33643123,-78.19983909,3986
216,176279,17147,-0.336431,-78.19905816,3981
217,176280,11514,-0.33643093,-78.19878888,3981
218,176281,49168,-0.33643071,-78.19803489,3981
219,176282,4488,-0.33643059,-78.19763097,3984
220,176283,464,-0.33643036,-78.19682312,3995
221,176284,463,-0.33643035,-78.19679619,3995
222,176285,891,-0.33643018,-78.19620377,4007
223,176286,1048,-0.33643017,-78.19617684,4007
224,176287,918,-0.33643016,-78.19614991,4008
225,176358,917,-0.33645918,-78.20274734,4078
226,176359,1137,-0.33645835,-78.19989293,3986
227,176360,333,-0.33645834,-78.19983908,3986
228,176361,17236,-0.33645811,-78.19905816,3981
229,176362,11524,-0.33645803,-78.19876195,3980
230,176363,49206,-0.33645782,-78.19803488,3980
231,176364,4492,-0.33645771,-78.19765789,3983
232,176365,576,-0.33645748,-78.19687697,3994
233,176366,575,-0.33645747,-78.19685004,3994
234,176367,892,-0.33645729,-78.19620376,4007
235,176368,1050,-0.33645728,-78.19617683,4007
236,176457,1000,-0.33648628,-78.2027204,4076
237,176458,1145,-0.33648546,-78.199866,3986
238,176459,335,-0.33648544,-78.19981214,3985
239,176460,17239,-0.33648522,-78.19905815,3981
240,176461,11526,-0.33648514,-78.19878887,3980
241,176462,49207,-0.33648493,-78.19803488,3980
242,176463,4494,-0.33648482,-78.19765788,3983
243,176464,647,-0.33648462,-78.19698467,3992
244,176465,640,-0.33648461,-78.19695775,3992
245,176466,606,-0.33648461,-78.19693082,3993
246,176467,605,-0.3364846,-78.19690389,3993
247,176468,893,-0.3364844,-78.19620376,4007
248,176469,1051,-0.33648439,-78.19617683,4007
249,176519,1003,-0.33651339,-78.20272039,4075
250,176520,556,-0.3365127,-78.20032377,3993
251,176521,557,-0.33651269,-78.20029684,3992
252,176522,558,-0.33651268,-78.20026991,3991
253,176523,559,-0.33651267,-78.20024299,3990
254,176524,560,-0.33651267,-78.20021606,3990
255,176525,561,-0.33651266,-78.20018913,3989
256,176526,562,-0.33651265,-78.2001622,3989
257,176527,563,-0.33651264,-78.20013527,3988
258,176528,564,-0.33651264,-78.20010834,3988
259,176529,565,-0.33651263,-78.20008142,3988
260,176530,566,-0.33651262,-78.20005449,3988
261,176531,567,-0.33651261,-78.20002756,3987
262,176532,568,-0.3365126,-78.20000063,3987
263,176533,569,-0.3365126,-78.1999737,3987
264,176534,605,-0.33651259,-78.19994678,3986
265,176535,606,-0.33651258,-78.19991985,3986
266,176536,607,-0.33651257,-78.19989292,3986
267,176537,608,-0.33651256,-78.19986599,3986
268,176538,1756,-0.33651256,-78.19983906,3985
269,176539,1757,-0.33651255,-78.19981213,3985
270,176540,336,-0.33651254,-78.19978521,3985
271,176541,17245,-0.33651232,-78.19903121,3980
272,176542,11527,-0.33651225,-78.19878886,3980
273,176543,49208,-0.33651204,-78.19803487,3980
274,176544,4498,-0.33651193,-78.1976848,3982
275,176545,649,-0.33651174,-78.19701159,3991
276,176546,894,-0.33651151,-78.19620375,4007
277,176547,1052,-0.3365115,-78.19617682,4007
278,176698,1005,-0.33654049,-78.20269346,4073
279,176699,553,-0.33653982,-78.20037762,3996
280,176700,554,-0.33653981,-78.20035069,3995
281,176701,1759,-0.33653965,-78.1997852,3985
282,176702,2128,-0.33653964,-78.19975827,3985
283,176703,17246,-0.33653942,-78.19900428,3980
284,176704,11530,-0.33653936,-78.19878885,3980
285,176705,49209,-0.33653914,-78.19803486,3980
286,176706,4500,-0.33653905,-78.19771172,3982
287,176707,775,-0.33653888,-78.1971193,3989
288,176708,774,-0.33653887,-78.19709237,3989
289,176709,753,-0.33653886,-78.19706544,3990
290,176710,752,-0.33653886,-78.19703851,3990
291,176711,895,-0.33653861,-78.19620374,4007
292,176712,1053,-0.33653861,-78.19617681,4007
293,176789,1006,-0.3365676,-78.20269345,4072
294,176790,544,-0.33656697,-78.20051225,4003
295,176791,545,-0.33656696,-78.20048533,4002
296,176792,548,-0.33656695,-78.2004584,4000
297,176793,550,-0.33656695,-78.20043147,3999
298,176794,551,-0.33656694,-78.20040454,3998
299,176795,364,-0.3365668,-78.19991983,3986
300,176796,366,-0.33656679,-78.1998929,3986
301,176797,2133,-0.33656674,-78.19973133,3984
302,176798,17253,-0.33656653,-78.19897734,3980
303,176799,11532,-0.33656647,-78.19878884,3980
304,176800,49210,-0.33656625,-78.19803485,3980
305,176801,4502,-0.33656617,-78.19773864,3981
306,176802,787,-0.336566,-78.19717315,3988
307,176803,786,-0.336566,-78.19714622,3988
308,176804,896,-0.33656572,-78.19620373,4007
309,176805,1054,-0.33656572,-78.1961768,4007
310,176877,304,-0.33659507,-78.20393215,4118
311,176878,324,-0.33659506,-78.20390522,4117
312,176879,1007,-0.33659471,-78.20269344,4070
313,176880,411,-0.33659421,-78.20097003,4023
314,176881,412,-0.3365942,-78.2009431,4023
315,176882,414,-0.3365942,-78.20091617,4021
316,176883,415,-0.33659419,-78.20088924,4020
317,176884,416,-0.33659418,-78.20086231,4019
318,176885,417,-0.33659417,-78.20083539,4018
319,176886,418,-0.33659417,-78.20080846,4017
320,176887,419,-0.33659416,-78.20078153,4016
321,176888,420,-0.33659415,-78.2007546,4015
322,176889,537,-0.3365941,-78.2005661,4006
323,176890,538,-0.33659409,-78.20053917,4005
324,176891,377,-0.33659389,-78.19986597,3985
325,176892,2134,-0.33659385,-78.1997044,3984
326,176893,17296,-0.33659363,-78.19895041,3979
327,176894,11540,-0.33659359,-78.19881576,3979
328,176895,49211,-0.33659336,-78.19803484,3980
329,176896,4505,-0.33659329,-78.19779249,3981
330,176897,4503,-0.33659329,-78.19776556,3981
331,176898,794,-0.33659313,-78.197227,3987
332,176899,793,-0.33659312,-78.19720007,3987
333,176900,917,-0.33659283,-78.19620372,4006
334,176901,1055,-0.33659283,-78.1961768,4006
335,176950,328,-0.33662216,-78.20387828,4115
336,176951,1008,-0.33662182,-78.20269343,4069
337,176952,439,-0.33662125,-78.20072767,4013
338,176953,441,-0.33662124,-78.20070074,4012
339,176954,442,-0.33662124,-78.20067381,4011
340,176955,443,-0.33662123,-78.20064688,4010
341,176956,444,-0.33662122,-78.20061995,4009
342,176957,445,-0.33662121,-78.20059302,4008
343,176958,390,-0.33662099,-78.19983903,3985
344,176959,394,-0.33662099,-78.1998121,3985
345,176960,2135,-0.33662095,-78.19967746,3984
346,176961,17297,-0.33662073,-78.19892347,3979
347,176962,11541,-0.3366207,-78.19881576,3979
348,176963,49244,-0.33662047,-78.19803484,3979
349,176964,4507,-0.33662041,-78.19781941,3980
350,176965,801,-0.33662025,-78.19725392,3986
351,176966,918,-0.33661994,-78.19620372,4006
352,176967,1056,-0.33661993,-78.19617679,4006
353,176968,397,-0.33661993,-78.19614986,4006
354,177014,357,-0.33664926,-78.20385135,4113
355,177015,369,-0.33664926,-78.20382442,4112
356,177016,1009,-0.33664893,-78.20269343,4068
357,177017,548,-0.33664809,-78.19978517,3984
358,177018,2140,-0.33664805,-78.19965053,3984
359,177019,17298,-0.33664783,-78.19889653,3979
360,177020,11542,-0.33664781,-78.19881575,3979
361,177021,49245,-0.33664758,-78.19803483,3979
362,177022,4508,-0.33664753,-78.19784633,3980
363,177023,804,-0.33664736,-78.19728084,3986
364,177024,919,-0.33664705,-78.19620371,4006
365,177025,1057,-0.33664704,-78.19617678,4006
366,177026,411,-0.33664704,-78.19614985,4006
367,177117,375,-0.33667636,-78.20379748,4110
368,177118,1010,-0.33667604,-78.20269342,4066
369,177119,552,-0.33667519,-78.19975823,3984
370,177120,2142,-0.33667515,-78.19962359,3983
371,177121,17341,-0.33667493,-78.1988696,3979
372,177122,11543,-0.33667492,-78.19881574,3979
373,177123,49246,-0.33667469,-78.19803482,3979
374,177124,4601,-0.33667464,-78.19787325,3980
375,177125,806,-0.33667448,-78.19730776,3985
376,177126,920,-0.33667416,-78.1962037,4006
377,177127,1058,-0.33667415,-78.19617677,4006
378,177128,412,-0.33667414,-78.19614984,4006
379,177195,390,-0.33670346,-78.20377055,4108
380,177196,391,-0.33670345,-78.20374362,4107
381,177197,417,-0.33670344,-78.20371669,4105
382,177198,1011,-0.33670315,-78.20269341,4065
383,177199,3271,-0.3367024,-78.20010829,3988
384,177200,3272,-0.33670239,-78.20008136,3988
385,177201,3273,-0.33670238,-78.20005443,3988
