"","lat","lon","ele","Date","EOS_no","Flux_ave","Tract","Point","CO2_ppm_ave","DateTime","sampleID","DOC","TDN","ID","Notes"
"1",-78.19411738,-0.314737195,4263.58,2021-07-06,"EOS2",0.075,1,10,375.666666666667,2021-07-06 12:00:00,"EOS2_7-6-21_12:10",3.413,0.1029,"EOS ?","atenas pre second waterfall  - EDIT made some guesses - be extra causious here plz"
"2",-78.19411738,-0.314737195,4270.79,2021-07-06,"EOS1",1.075,1,5,439.278333333333,2021-07-06 12:15:00,"EOS1_7-6-21_13:10",3.958,0.09001,"EOS 1","? On time - EDIT made some guesses - be extra causious here plz"
"3",-78.19407203,-0.314768963,4266.904297,2021-07-05,"EOS1",0.11,1,1,330.024305555556,2021-07-05 13:00:00,"EOS1_7-5-21_12:55",3.866,0.1229,"EOS 1",""
"4",-78.19395502,-0.314868959,4274.375977,2021-07-05,"EOS1",0.0933333333333333,1,4,736.493,2021-07-05 14:00:00,NA,NA,NA,NA,NA
"5",-78.19380901,-0.314857978,4269.324219,2021-07-05,"EOS1",0.373333333333333,1,2,1004.30861111111,2021-07-05 13:30:00,NA,NA,NA,NA,NA
"6",-78.19372301,-0.315049002,4271.750488,2021-07-05,"EOS1",0.223333333333333,1,3,456.918888888889,2021-07-05 13:45:00,NA,NA,NA,NA,NA
"7",-78.19360675,-0.315125864,4267.43,2021-07-06,"EOS2",0.265,1,9,342.736111111111,2021-07-06 11:30:00,NA,NA,NA,NA,NA
"8",-78.19360591,-0.31512511,4270.79,2021-07-06,"EOS1",-0.01,1,4,141.173,2021-07-06 11:45:00,NA,NA,NA,NA,NA
"9",-78.19360499,-0.315152016,4276.964355,2021-07-05,"EOS1",0.08,1,5,238.915254237288,2021-07-05 14:15:00,"EOS1_7-5-21_14:25",3.018,0.07629,"EOS 1",""
"10",-78.19309068,-0.315244049,4294.83,2021-07-06,"EOS1",0.285,1,3,560.285918367347,2021-07-06 11:30:00,NA,NA,NA,NA,NA
"11",-78.19309068,-0.315244049,4294.83,2021-07-06,"EOS2",0.285,1,8,771.166666666667,2021-07-06 11:15:00,NA,NA,NA,NA,NA
"12",-78.1927269,-0.315568848,4299.15,2021-07-06,"EOS1",0.235,1,2,533.348,2021-07-06 11:00:00,NA,NA,NA,NA,NA
"13",-78.19256832,-0.316138566,4293.87,2021-07-06,"EOS1",0.245,1,1,624.008833333333,2021-07-06 10:45:00,NA,NA,NA,NA,NA
"14",-78.19256832,-0.316138566,4293.87,2021-07-06,"EOS2",0.11,1,7,611.416666666667,2021-07-06 11:00:00,NA,NA,NA,NA,NA
"15",-78.19219097,-0.31709603,4296.477539,2021-07-05,"EOS2",1.365,1,5,6951.76666666667,2021-07-05 14:30:00,"EOS2_7-5-21_14:35",2.809,0.101,"EOS 2",""
"16",-78.19217303,-0.317249,4298.240234,2021-07-05,"EOS2",0.085,1,3,683.35,2021-07-05 13:45:00,NA,NA,NA,NA,NA
"17",-78.19217085,-0.316536874,4276.08,2021-07-06,"EOS2",0.255,1,6,3068.05555555556,2021-07-06 10:30:00,"EOS2_7-6-21_10:35",2.405,0.1359,"EOS 2",""
"18",-78.19216599,-0.317527028,4050.879395,2021-07-05,"EOS2",0.0833333333333333,1,1,651.883333333333,2021-07-05 13:00:00,NA,NA,NA,NA,NA
"19",-78.19214696,-0.317130983,4301.711914,2021-07-05,"EOS2",0.055,1,4,750.575,2021-07-05 14:00:00,"EOS2_7-5-21_14:00",3.059,0.09726,"EOS 2",""
"20",-78.19211897,-0.317367017,4293.370117,2021-07-05,"EOS2",1,1,2,3097.73333333333,2021-07-05 13:15:00,"EOS2_7-5-21_13:25",3.226,0.125,"EOS 2",""
