"","lat","lon","ele","Date","EOS_no","Flux_ave","Tract","Point","VaisalaType","CO2_ppm_ave","GAVI_waterTempAve","BaroPress_kpa","AirTemp_c","Total_hPa","adjusted_ppm","DateTime","sampleID","DOC","TDN","ID","Notes"
"1",-78.19411738,-0.314737195,4263.58,2021-07-06,"EOS1",1.075,1,5,"new",908.316923076923,9.0615,62.3845,6.879,626.3334,1320.7707015686,2021-07-06 12:15:00,"EOS1_7-6-21_13:10",3.958,0.09001,"EOS 1","? On time - EDIT made some guesses - be extra causious here plz"
"2",-78.19407203,-0.314768963,4266.904297,2021-07-05,"EOS1",0.11,1,1,"new",708.646153846154,10.32225,62.4997,6.677,627.4854,1036.35566879124,2021-07-05 13:00:00,"EOS1_7-5-21_12:55",3.866,0.1229,"EOS 1",""
"3",-78.19395502,-0.314868959,4274.375977,2021-07-05,"EOS1",0.0933333333333333,1,4,"new",1573.82,9.54075,62.5076,6.67,627.5644,2291.74641659092,2021-07-05 14:00:00,NA,NA,NA,NA,NA
"4",-78.19380901,-0.314857978,4269.324219,2021-07-05,"EOS1",0.373333333333333,1,2,"new",2187.97384615385,10.0475,62.5,6.674,627.4884,3195.03734578038,2021-07-05 13:30:00,NA,NA,NA,NA,NA
"5",-78.19372301,-0.315049002,4271.750488,2021-07-05,"EOS1",0.223333333333333,1,3,"new",925.696923076923,9.78275,62.5062,6.673,627.5504,1349.7559324209,2021-07-05 13:45:00,NA,NA,NA,NA,NA
"6",-78.19360675,-0.315125864,4267.43,2021-07-06,"EOS2",0.075,1,10,"old",375.230769230769,9.195,62.379,6.884,626.2784,564.783392636424,2021-07-06 12:00:00,"EOS2_7-6-21_12:10",3.413,0.1029,"EOS ?","atenas pre second waterfall  - EDIT made some guesses - be extra causious here plz"
"7",-78.19360499,-0.315152016,4276.964355,2021-07-05,"EOS1",0.08,1,5,"new",495.256923076923,9.09625,62.5123,6.667,627.6114,719.408086957844,2021-07-05 14:15:00,"EOS1_7-5-21_14:25",3.018,0.07629,"EOS 1",""
"8",-78.19347298,-0.315074441,NA,2021-07-06,"EOS1",-0.01,1,4,"new",285.330769230769,9.195,62.379,6.884,626.2784,415.218011482274,2021-07-06 11:45:00,NA,NA,NA,NA,NA
"9",-78.19309068,-0.315244049,4294.83,2021-07-06,"EOS2",0.265,1,9,"old",347.923076923077,9.337,62.3951,6.89,626.4394,523.834987243184,2021-07-06 11:30:00,NA,NA,NA,NA,NA
"10",-78.19282858,-0.315411687,4307.32,2021-07-06,"EOS1",0.285,1,3,"new",1180.57692307692,9.4355,62.3798,6.894,626.2864,1720.22497584349,2021-07-06 11:30:00,NA,NA,NA,NA,NA
"11",-78.19273646,-0.315567004,4295.31,2021-07-06,"EOS2",0.285,1,8,"old",803.923076923077,9.504,62.3922,6.896,626.4104,1211.06086224367,2021-07-06 11:15:00,NA,NA,NA,NA,NA
"12",-78.19267376,-0.315762553,4309.73,2021-07-06,"EOS1",0.235,1,2,"new",1146.18769230769,9.504,62.3922,6.896,626.4104,1670.53985720247,2021-07-06 11:00:00,NA,NA,NA,NA,NA
"13",-78.19256832,-0.316138566,4293.87,2021-07-06,"EOS2",0.11,1,7,"old",616.769230769231,9.54875,62.4079,6.899,626.5674,929.117359300725,2021-07-06 11:00:00,NA,NA,NA,NA,NA
"14",-78.19233094,-0.316231772,4315.5,2021-07-06,"EOS1",0.245,1,1,"new",1421.80307692308,9.573,62.4164,6.9,626.6524,2072.54104208655,2021-07-06 10:45:00,NA,NA,NA,NA,NA
"15",-78.19219097,-0.31709603,4296.477539,2021-07-05,"EOS2",1.365,1,5,"old",7644.07692307692,9.09625,62.5123,6.667,627.6114,11487.4468863388,2021-07-05 14:30:00,"EOS2_7-5-21_14:35",2.809,0.101,"EOS 2",""
"16",-78.19217303,-0.317249,4298.240234,2021-07-05,"EOS2",0.085,1,3,"old",850.076923076923,9.78275,62.5062,6.673,627.5504,1280.3246363078,2021-07-05 13:45:00,NA,NA,NA,NA,NA
"17",-78.19217085,-0.316536874,4276.08,2021-07-06,"EOS2",0.255,1,6,"old",3250.84615384615,9.573,62.4164,6.9,626.6524,4897.1382654946,2021-07-06 10:30:00,"EOS2_7-6-21_10:35",2.405,0.1359,"EOS 2",""
"18",-78.19216599,-0.317527028,4050.879395,2021-07-05,"EOS2",0.0833333333333333,1,1,NA,NA,NA,NA,NA,NA,NA,2021-07-05 13:00:00,NA,NA,NA,NA,NA
"19",-78.19214696,-0.317130983,4301.711914,2021-07-05,"EOS2",0.055,1,4,"old",755.076923076923,9.31775,62.5029,6.669,627.5174,1135.61575429969,2021-07-05 14:00:00,"EOS2_7-5-21_14:00",3.059,0.09726,"EOS 2",""
"20",-78.19211897,-0.317367017,4293.370117,2021-07-05,"EOS2",1,1,2,"old",3554.46153846154,10.0475,62.5,6.674,627.4884,5358.24509546067,2021-07-05 13:15:00,"EOS2_7-5-21_13:25",3.226,0.125,"EOS 2",""
