,Lat,Lon,Date,EOS_no,Flux_ave,Tract,Point,CO2_ppm_ave,Date.as.fact
1,-78.19411738,-0.314737195,7/6/2021,EOS_1,1.075,1,5,439.2783333,7/6/2021
2,-78.194067,-0.314767,7/5/2021,EOS_1,0.11,1,1,330.0243056,7/5/2021
3,-78.19395,-0.314867,7/5/2021,EOS_1,0.093333333,1,4,736.493,7/5/2021
4,-78.1938,-0.314867,7/5/2021,EOS_1,0.373333333,1,2,1004.308611,7/5/2021
5,-78.193733,-0.315067,7/5/2021,EOS_1,0.223333333,1,3,456.9188889,7/5/2021
6,-78.19361304,-0.315116644,7/6/2021,EOS_1,-0.01,1,4,141.173,7/6/2021
7,-78.1936,-0.31515,7/5/2021,EOS_1,0.08,1,5,238.9152542,7/5/2021
8,-78.19357,-0.31514,7/6/2021,EOS_2,0.02,1,10,375.6666667,7/6/2021
9,-78.19308,-0.31523,7/6/2021,EOS_2,0.265,1,9,342.7361111,7/6/2021
10,-78.19307827,-0.315223429,7/6/2021,EOS_1,0.285,1,3,560.2859184,7/6/2021
11,-78.19275,-0.31558,7/6/2021,EOS_2,0.285,1,8,771.1666667,7/6/2021
12,-78.19267376,-0.315762553,7/6/2021,EOS_1,0.235,1,2,533.348,7/6/2021
13,-78.19256,-0.31613,7/6/2021,EOS_2,0.11,1,7,611.4166667,7/6/2021
14,-78.19233061,-0.316231688,7/6/2021,EOS_1,0.245,1,1,624.0088333,7/6/2021
15,-78.19219097,-0.31709603,7/5/2021,EOS_2,0.923333333,1,5,6951.766667,7/5/2021
16,-78.19217303,-0.317249,7/5/2021,EOS_2,0.026666667,1,3,683.35,7/5/2021
17,-78.19216599,-0.317527028,7/5/2021,EOS_2,0.083333333,1,1,651.8833333,7/5/2021
18,-78.19214696,-0.317130983,7/5/2021,EOS_2,0.0125,1,4,750.575,7/5/2021
19,-78.19212,-0.31653,7/6/2021,EOS_2,0.255,1,6,3068.055556,7/6/2021
20,-78.19211897,-0.317367017,7/5/2021,EOS_2,0.613333333,1,2,3097.733333,7/5/2021
