"","Lat","Lon","Date","EOS_no","Flux_ave","Tract","Point","VaisalaType","CO2_ppm_ave","GAVI_waterTempAve","BaroPress_kpa","AirTemp_c","Total_hPa","adjusted_ppm"
"1",-78.2038,-0.3317,2021-06-22,"EOS_1",-0.035,1,2,"new",204.091666666667,8.61025,62.4772,6.761,627.2604,227.657198451216
"2",-78.20378,-0.3315833,2021-06-22,"EOS_1",0.025,1,1,"new",215.0745,8.48775,62.4812,6.762,627.3004,239.807531791263
"3",-78.2036,-0.3314834,2021-06-22,"EOS_1",0.75,1,3,"new",210.532786885246,8.645,62.4641,6.759,627.1294,234.907999242723
"4",-78.20327,-0.3313166,2021-06-22,"EOS_1",0.17,1,4,"new",258.966166666667,8.70675,62.4585,6.7595,627.0734,289.024034152774
"5",-78.20317,-0.3312167,2021-06-23,"EOS_1",2.28,1,1,"old",924.727272727273,11.2285,62.4831,6.786,627.3194,1399.39449633392
"6",-78.20315,-0.3314833,2021-06-22,"EOS_1",0.43,1,5,"new",239.114814814815,8.73666666666667,62.45385,6.75816666666667,627.0269,266.909149893048
"7",-78.20314,-0.32817,2021-06-29,"EOS_2",3.7,6,4,"old",3776.49579831933,8.91011974789916,62.4671907563025,7.25197478991597,627.160307563025,5674.38653721183
"8",-78.203133,-0.3307,2021-06-23,"EOS_1",0.5,1,3,"old",1329.33928571429,11.5695446428571,62.4542142857143,6.78014285714286,627.030542857143,2014.39562880871
"9",-78.20313,-0.3309667,2021-06-23,"EOS_1",2.59,1,2,"old",961.553571428571,11.4305,62.4699,6.783,627.1874,1456.22636556234
"10",-78.20312,-0.3313,2021-06-22,"EOS_1",0.28,2,1,"new",595.990416666667,7.94996875,62.4763,6.740125,627.2514,663.505407156692
"11",-78.20308,-0.3305667,2021-06-23,"EOS_1",0.655,1,4,"old",2277.49090909091,11.45275,62.4457,6.775,626.9454,3450.18293088837
"12",-78.20303,-0.3311667,2021-06-22,"EOS_2",1.88,1,1,"old",902.583333333333,8.4675,62.4612,6.751,627.1004,1354.36457643877
"13",-78.20303,-0.3309333,2021-06-22,"EOS_1",0.665,2,3,"new",794.278644067797,7.56699576271186,62.5124508474576,6.7245593220339,627.612908474576,882.81215175999
"14",-78.20302,-0.3310667,2021-06-22,"EOS_1",0.46,2,2,"new",750.337234042553,7.7205,62.4907,6.735,627.3954,834.601469894546
"15",-78.20295,-0.3307333,2021-06-22,"EOS_1",0.975,2,4,"new",852.326041666667,7.38875,62.5181,6.714,627.6694,946.752115490906
"16",-78.20288,-0.33115,2021-06-22,"EOS_1",0.26,1,6,"new",260.178333333333,8.67725,62.454,6.756,627.0284,290.369017074705
"17",-78.20288,-0.3310167,2021-06-22,"EOS_1",1.315,1,7,"new",262.050166666667,8.554,62.45715,6.752,627.0599,292.338105549204
"18",-78.20275,-0.3311833,2021-06-22,"EOS_2",0.88,1,2,"old",693.833333333333,8.263625,62.46725,6.7465,627.1609,1040.39653326727
