Month,Day,Year,Time,Flux,Temperature (C),Soil sig,Soil STD,ATM sig,ATM STD,Mode,Soil VR,Soil VA,ATM VR,ATM VA,Tract,Description,Point,X,Y,WS,Notes
7,5,21,12:20:00,-0.46,25.2,236.44,2.922,262.32,3.718,0,1.24391,1.74072,1.24462,1.73926,NA,NA,NA,NA,NA,NA,NA
7,5,21,12:25:00,-0.17,23.8,218.26,6.229,228.01,5.356,0,1.24154,1.74318,1.24275,1.74268,NA,NA,NA,NA,NA,NA,NA
7,5,21,12:30:00,-0.19,23.1,196.39,12.288,206.81,8.662,0,1.24191,1.74639,1.24112,1.74443,NA,NA,NA,NA,NA,NA,NA
7,5,21,12:35:00,0.09,23.1,186.59,6.299,181.69,4.491,0,1.2432,1.7478,1.24262,1.74801,NA,NA,NA,NA,NA,NA,NA
7,5,21,12:40:00,-0.13,22.9,195.93,10.218,202.94,4.304,0,1.2432,1.74564,1.24216,1.7461,NA,NA,NA,NA,NA,NA,NA
7,5,21,12:45:00,0.34,24.3,199.99,20.588,181.04,6.985,0,1.24441,1.74476,1.244,1.74651,NA,NA,NA,NA,NA,NA,NA
7,5,21,12:50:00,0.03,26.1,184.23,4.643,182.35,1.378,0,1.24658,1.74343,1.24587,1.74451,NA,NA,NA,NA,NA,NA,NA
7,5,21,12:55:00,0.13,27.3,195.98,2.135,188.89,3.616,0,1.24804,1.74197,1.24725,1.74272,1,Starting above Antenas,1,-0.317527028,-78.19216599,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving
7,5,21,13:00:00,0.07,28.1,202.75,3.254,198.6,2.238,0,1.24854,1.7408,1.24816,1.74114,1,Starting above Antenas,1,-0.317527028,-78.19216599,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving
7,5,21,13:05:00,0.05,28.7,208.28,5.888,205.46,4.459,0,1.24962,1.73993,1.24908,1.73989,1,Starting above Antenas,1,-0.317527028,-78.19216599,NA,EOS or Vaisala came disconnected from battery around 1300; Vaisala kept floating up and moving
7,5,21,13:10:00,1.55,27.6,305.3,15.258,219.07,1.999,0,1.24745,1.73501,1.24691,1.73909,NA,NA,NA,NA,NA,NA,NA
7,5,21,13:15:00,1.63,27,294.71,10.262,204.1,3.459,0,1.24629,1.73564,1.2465,1.74139,1,Starting above Antenas,2,-0.317367017,-78.19211897,1325,NA
7,5,21,13:20:00,0.37,26.6,216.73,6.979,195.9,4.503,0,1.24533,1.73947,1.24591,1.74197,1,Starting above Antenas,2,-0.317367017,-78.19211897,1325,NA
7,5,21,13:25:00,-0.16,25.9,181.14,3.397,190.16,6.823,0,1.24445,1.74359,1.24475,1.74272,1,Starting above Antenas,2,-0.317367017,-78.19211897,1325,NA
7,5,21,13:30:00,-0.06,25.3,173.62,3.015,177.24,2.265,0,1.24437,1.74501,1.24441,1.74472,NA,NA,NA,NA,NA,NA,NA
7,5,21,13:35:00,0.18,25,188.22,2.701,178.22,12.104,0,1.24404,1.74414,1.24454,1.74493,NA,NA,NA,NA,NA,NA,NA
7,5,21,13:40:00,0.07,25,184.27,2.933,180.26,2.273,0,1.24404,1.74405,1.244,1.74476,1,Starting above Antenas,3,-0.317249,-78.19217303,NA,NA
7,5,21,13:45:00,0.1,25.1,181.92,2.23,176.44,1.299,0,1.2437,1.74376,1.24387,1.74455,1,Starting above Antenas,3,-0.317249,-78.19217303,NA,NA
7,5,21,13:50:00,-0.09,25,171.1,10.878,175.85,7.1,0,1.24258,1.74518,1.24475,1.74535,1,Starting above Antenas,3,-0.317249,-78.19217303,NA,NA
7,5,21,13:55:00,-0.11,25.3,176.94,3.759,183.2,3.189,0,1.2442,1.74347,1.24429,1.74451,NA,NA,NA,NA,NA,NA,NA
7,5,21,14:00:00,0.08,26.6,180.37,3.169,175.92,1.459,0,1.24533,1.74159,1.2452,1.74247,1,Starting above Antenas,4,-0.317130983,-78.19214696,1400,"Last point before wetland; EOS fell over, but was wiped off and put set back up from 1410-1415"
7,5,21,14:05:00,0.03,26.9,185.99,2.963,184.28,3.874,0,1.24541,1.74126,1.24554,1.74164,1,Starting above Antenas,4,-0.317130983,-78.19214696,1400,"Last point before wetland; EOS fell over, but was wiped off and put set back up from 1410-1416"
7,5,21,14:10:00,-0.18,26.4,198.65,2.959,208.65,19.484,0,1.2462,1.74218,1.24566,1.74172,1,Starting above Antenas,4,-0.317130983,-78.19214696,1400,"Last point before wetland; EOS fell over, but was wiped off and put set back up from 1410-1417"
7,5,21,14:15:00,0.12,27.2,194.74,10.439,188.12,5.203,0,1.24625,1.74139,1.24712,1.74284,1,Starting above Antenas,4,-0.317130983,-78.19214696,1400,"Last point before wetland; EOS fell over, but was wiped off and put set back up from 1410-1418"
7,5,21,14:20:00,1.21,26.4,286.18,15.639,218.91,5.664,0,1.24695,1.73459,1.24595,1.74101,NA,NA,NA,NA,NA,NA,NA
7,5,21,14:25:00,1.35,28.2,269.64,4.499,194.43,6.517,0,1.2485,1.73434,1.24733,1.74076,1,Starting above Antenas,5,-0.31709603,-78.19219097,1435,First point of wetland
7,5,21,14:30:00,1.38,29.5,279.71,3.456,202.72,4.612,0,1.24945,1.73193,1.24858,1.73822,1,Starting above Antenas,5,-0.31709603,-78.19219097,1435,First point of wetland
7,5,21,14:35:00,0.04,30.5,212.26,4.68,210.11,5.655,0,1.25108,1.73639,1.2502,1.73709,1,Starting above Antenas,5,-0.31709603,-78.19219097,1435,First point of wetland
