Month,Day,Year,Time,Flux,Temperature (C),Soil sig,Soil STD,ATM sig,ATM STD,Mode,Soil VR,Soil VA,ATM VR,ATM VA,Tract,Description,Point,X,Y,WaterSample
7,6,21,8:49:25,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA
7,6,21,8:50:00,0.03,17.4,373.98,15.279,372.46,6.081,0,1.23795,1.73989,1.23704,1.74076,NA,NA,NA,NA,NA,NA
7,6,21,8:55:00,0.01,20.9,340.28,6.814,339.71,10.564,0,1.24025,1.73718,1.23966,1.73764,NA,NA,NA,NA,NA,NA
7,6,21,9:00:00,-0.25,22.8,301.09,6.016,315.03,13.181,0,1.24175,1.73693,1.24187,1.7383,NA,NA,NA,NA,NA,NA
7,6,21,9:05:00,0.1,24,294.08,3.768,288.59,3.436,0,1.24304,1.73655,1.24308,1.7383,NA,NA,NA,NA,NA,NA
7,6,21,9:10:00,0.4,24.9,310.26,3.378,287.86,4.571,0,1.24404,1.73472,1.24379,1.73655,NA,NA,NA,NA,NA,NA
7,6,21,9:15:00,1.55,25.6,409.2,24.129,322.66,4.622,0,1.24541,1.72589,1.24479,1.7333,NA,NA,NA,NA,NA,NA
7,6,21,9:20:00,0.87,26.2,559.82,21.281,511.38,19.534,0,1.24595,1.71976,1.24558,1.7188,NA,NA,NA,NA,NA,NA
7,6,21,9:26:33,0,0,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA
7,6,21,9:30:00,4.35,26.8,779.47,196.748,537.07,28.386,0,1.24683,1.69376,1.24608,1.71493,NA,NA,NA,NA,NA,NA
7,6,21,9:35:00,-0.71,27,693.22,13.473,732.64,7.125,0,1.24691,1.70959,1.247,1.70672,NA,NA,NA,NA,NA,NA
7,6,21,9:40:00,-2.69,27.2,329.28,8.566,478.91,51.469,0,1.24654,1.73055,1.24679,1.72634,NA,NA,NA,NA,NA,NA
7,6,21,9:45:00,0.2,27.2,500.5,28.497,489.42,20.449,0,1.247,1.71772,1.24695,1.71968,NA,NA,NA,NA,NA,NA
7,6,21,9:50:00,2.6,27.3,561.11,61.547,416.49,9.447,0,1.24737,1.70989,1.24679,1.72472,NA,NA,NA,NA,NA,NA
7,6,21,9:55:00,2.07,27.3,821.47,36.864,706.25,5.381,0,1.24762,1.69697,1.24712,1.70672,NA,NA,NA,NA,NA,NA
7,6,21,10:00:00,-1.15,27.3,801.85,8.234,866.08,8.739,0,1.24766,1.70226,1.24766,1.69872,NA,NA,NA,NA,NA,NA
7,6,21,10:05:00,-3.34,27.3,636.48,113.299,822.47,11.098,0,1.2475,1.72414,1.24737,1.69909,NA,NA,NA,NA,NA,NA
7,6,21,10:10:00,-1.09,27.2,204.56,7.814,265.34,28.803,0,1.24683,1.74164,1.2467,1.73868,NA,NA,NA,NA,NA,NA
7,6,21,10:15:00,-0.06,26.7,187.4,5.821,190.82,9.25,0,1.24516,1.74255,1.24558,1.74172,NA,NA,NA,NA,NA,NA
7,6,21,10:20:00,-0.12,25.1,169.16,7.468,176.05,9.927,0,1.24233,1.74393,1.24295,1.74372,NA,NA,NA,NA,NA,NA
7,6,21,10:25:00,0.1,23.6,174.36,1.487,168.53,4.012,0,1.24095,1.74509,1.24158,1.74572,NA,NA,NA,NA,NA,NA
7,6,21,10:30:00,0.3,22.6,182.56,3.377,165.87,2.356,0,1.24045,1.74576,1.241,1.74726,1,before entering main channel outlet,6,-0.31653,-78.19212,1035
7,6,21,10:35:00,0.21,21.8,183.87,2.221,172.41,2.444,0,1.2402,1.74764,1.24037,1.74822,1,before entering main channel outlet,6,-0.31653,-78.19212,1035
7,6,21,10:40:00,-0.05,21,174.98,6.211,177.75,4.89,0,1.2392,1.7491,1.23962,1.74859,1,before entering main channel outlet,6,-0.31653,-78.19212,1035
