"Month","Day","Year","Time","Flux","Temperature (C)","CO2 Soil (ppm) ","CO2 Soil STD (ppm)","CO2 ATM (ppm)","CO2 ATM STD (ppm)","Mode"
07,07,21,09:39:22,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,1
07,07,21,09:40:00,  -0.95,  19.3,  138.59,  18.761,  192.58,  22.850,0
07,07,21,09:45:00,  -2.03,  22.6,  136.27,  12.375,  250.96,  38.716,0
07,07,21,09:49:41,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,2
07,07,21,09:50:13,  -0.02,  24.6,  118.63,   0.866,  119.76,   5.326,0
07,07,21,09:55:00,  -0.03,  25.4,   97.48,   3.998,   99.01,   3.307,0
07,07,21,10:00:00,  -0.22,  25.9,   96.20,   5.249,  108.82,   2.874,0
07,07,21,10:05:00,  -1.58,  25.9,  116.10,  11.380,  205.48,  30.683,0
07,07,21,10:10:00,  -0.17,  25.9,  117.51,   5.097,  126.96,   9.608,0
07,07,21,10:15:00,  -0.14,  26.2,  107.46,   1.682,  115.54,   1.509,0
07,07,21,10:20:00,   0.27,  26.2,  240.75,  65.482,  225.53,  27.914,0
07,07,21,10:25:00,   1.02,  25.9,  219.51,   7.787,  161.70,  12.559,0
07,07,21,10:30:00,   1.82,  25.6,  240.27,   4.564,  137.24,   4.148,0
07,07,21,10:35:00,   1.80,  25.3,  232.75,   4.779,  130.82,   4.398,0
07,07,21,10:40:00,  -0.58,  25.0,  115.90,   6.962,  148.63,  18.992,0
07,07,21,10:45:00,  -0.31,  24.9,  120.02,   3.514,  137.29,   2.808,0
07,07,21,10:50:00,  -0.66,  24.9,  124.96,   4.161,  162.36,  12.917,0
07,07,21,10:55:00,   0.09,  24.8,  123.19,   6.594,  118.18,   2.395,0
07,07,21,11:00:00,   0.77,  24.8,  158.42,   3.973,  114.91,   2.676,0
07,07,21,11:05:00,   0.80,  24.8,  160.61,   6.090,  115.30,   2.104,0
07,07,21,11:10:00,  -0.11,  24.6,  117.06,   4.701,  123.10,  17.808,0
07,07,21,11:15:00,   0.27,  24.8,  158.33,  38.256,  142.83,   5.689,0
07,07,21,11:20:00,  -0.02,  25.1,  120.30,   1.974,  121.28,   2.370,0
07,07,21,11:25:00,   0.08,  25.4,  124.24,   2.834,  119.90,   2.891,0
07,07,21,11:30:00,   0.11,  25.6,  124.59,   2.095,  118.10,   1.347,0
07,07,21,11:35:00,  -0.11,  25.8,  114.03,   1.323,  120.48,   4.121,0
07,07,21,11:40:00,  -0.14,  25.8,   99.89,   1.510,  107.64,   1.756,0
07,07,21,11:45:00,  -0.66,  26.5,  106.80,   4.037,  144.19,  28.405,0
07,07,21,11:50:00,   0.08,  27.0,  117.30,   3.094,  113.02,   4.302,0
07,07,21,11:55:00,   0.11,  27.4,  116.73,   3.384,  110.48,   6.648,0
07,07,21,12:00:00,   0.74,  27.5,  169.44,   1.907,  127.65,   3.139,0
07,07,21,12:05:00,   0.74,  27.3,  163.84,   2.744,  122.10,   2.403,0
07,07,21,12:10:00,   0.43,  27.0,  158.67,   1.408,  134.43,   5.374,0
07,07,21,12:15:00,   0.06,  26.7,  134.17,   9.957,  131.04,   4.121,0
07,07,21,12:20:00,  -0.27,  26.7,  100.95,   9.401,  115.95,   6.295,0
07,07,21,12:25:00,   0.69,  26.5,  150.16,   9.768,  110.85,   2.359,0
07,07,21,12:30:00,   1.18,  26.4,  181.49,   5.406,  114.74,   3.223,0
07,07,21,12:35:00,   1.19,  26.5,  187.36,   2.619,  120.19,   1.964,0
07,07,21,12:40:00,  -0.09,  27.2,  114.28,   6.928,  119.65,   6.829,0
07,07,21,12:45:00,   1.11,  27.6,  184.77,  14.422,  121.91,   1.147,0
07,07,21,12:50:00,   2.08,  28.1,  238.67,   6.802,  121.11,   3.364,0
07,07,21,12:55:00,   2.13,  28.5,  247.59,   2.243,  126.95,   2.859,0
07,07,21,13:00:00,   0.27,  28.8,  140.38,   6.129,  125.24,   6.465,0
07,07,21,13:05:00,   1.89,  28.9,  233.65,  15.199,  126.87,   2.755,0
07,07,21,13:10:00,   2.15,  29.2,  248.86,   8.138,  127.52,   0.966,0
07,07,21,13:15:00,   2.01,  29.2,  241.63,   4.990,  128.14,   3.984,0
07,07,21,13:20:00,  -0.23,  29.2,  108.27,   2.952,  121.53,   6.693,0
07,07,21,13:25:00,  -0.07,  28.4,  120.81,   6.353,  124.64,   7.258,0
07,07,21,13:30:00,   0.04,  27.6,  127.12,   3.338,  125.11,   4.451,0
07,07,21,13:35:00,   0.19,  27.0,  122.81,   2.738,  111.98,   0.875,0
07,07,21,13:40:00,   0.78,  26.4,  154.02,   3.788,  109.85,   2.438,0
07,07,21,13:45:00,  -0.34,  26.0,  109.17,   3.482,  128.63,  27.250,0
07,07,21,13:50:00,   0.54,  26.2,  145.08,  10.887,  114.44,   4.754,0
07,07,21,13:55:00,   1.14,  26.0,  206.07,  16.808,  141.71,   3.520,0
07,07,21,14:00:00,   1.31,  25.7,  210.40,   9.826,  136.03,   2.331,0
07,07,21,14:05:00,   2.15,  25.5,  254.89,   9.205,  133.42,   5.840,0
07,07,21,14:10:00,  -0.19,  25.3,  119.07,  13.655,  129.92,   4.839,0
07,07,21,14:15:00,  -0.08,  25.6,  103.65,   4.404,  108.18,   4.415,0
07,07,21,14:20:00,  -0.38,  25.8,  103.73,   8.762,  125.36,   4.739,0
