Month,Day,Year,Time,Flux,Temperature (C),CO2 Soil (ppm) ,CO2 Soil STD (ppm),CO2 ATM (ppm),CO2 ATM STD (ppm),Mode,Tract,Description,Point,lat,lon,ele,WS,Notes
7,7,21,10:10:00,-0.17,25.9,117.51,5.097,126.96,9.608,0,NA,NA,NA,NA,NA,,NA,NA
7,7,21,10:15:00,-0.14,26.2,107.46,1.682,115.54,1.509,0,NA,NA,NA,NA,NA,,NA,NA
7,7,21,10:20:00,0.27,26.2,240.75,65.482,225.53,27.914,0,NA,NA,NA,NA,NA,,NA,NA
7,7,21,10:25:00,1.02,25.9,219.51,7.787,161.7,12.559,0,NA,NA,NA,NA,NA,,NA,NA
7,7,21,10:30:00,1.82,25.6,240.27,4.564,137.24,4.148,0,1,"Starting above the wide, flat part of Lower Antenas",1,-0.34614603,-78.19987801,3770.019287,1040,Right at entrance to culvert
7,7,21,10:35:00,1.8,25.3,232.75,4.779,130.82,4.398,0,1,"Starting above the wide, flat part of Lower Antenas",1,-0.34614603,-78.19987801,3770.019287,1040,Right at entrance to culvert
7,7,21,10:40:00,-0.58,25,115.9,6.962,148.63,18.992,0,1,"Starting above the wide, flat part of Lower Antenas",1,NA,NA,,1040,Right at entrance to culvert
7,7,21,10:45:00,-0.31,24.9,120.02,3.514,137.29,2.808,0,NA,NA,NA,NA,NA,,NA,NA
7,7,21,10:50:00,-0.66,24.9,124.96,4.161,162.36,12.917,0,NA,NA,NA,NA,NA,,NA,NA
7,7,21,10:55:00,0.09,24.8,123.19,6.594,118.18,2.395,0,NA,NA,NA,NA,NA,,NA,NA
7,7,21,11:00:00,0.77,24.8,158.42,3.973,114.91,2.676,0,1,"Starting above the wide, flat part of Lower Antenas",2,-0.345861968,-78.19988103,3900.53125,NA,Below waterfall
7,7,21,11:05:00,0.8,24.8,160.61,6.09,115.3,2.104,0,1,"Starting above the wide, flat part of Lower Antenas",2,-0.345861968,-78.19988103,3900.53125,NA,Below waterfall
7,7,21,11:10:00,-0.11,24.6,117.06,4.701,123.1,17.808,0,1,"Starting above the wide, flat part of Lower Antenas",2,NA,NA,,NA,Below waterfall
7,7,21,11:15:00,0.27,24.8,158.33,38.256,142.83,5.689,0,NA,NA,NA,NA,NA,,NA,NA
7,7,21,11:20:00,-0.02,25.1,120.3,1.974,121.28,2.37,0,NA,NA,NA,NA,NA,,NA,NA
7,7,21,11:25:00,0.08,25.4,124.24,2.834,119.9,2.891,0,NA,NA,NA,NA,NA,,NA,NA
