Month,Day,Year,Time,Flux,Temperature (C),Soil sig,Soil STD,ATM sig,ATM STD,Mode,Soil VR,Soil VA,ATM VR,ATM VA,Tract,Description,Point,lat,lon,ele,WaterSample
7,7,21,9:40:24,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
7,7,21,9:41:02,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
7,7,21,9:41:12,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
7,7,21,9:48:32,0,0,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
7,7,21,9:50:00,-0.21,25.3,206.05,5.662,217.84,0.828,0,1.24437,1.74089,1.24375,1.74064,NA,NA,NA,NA,NA,NA,NA
7,7,21,9:55:00,0.1,26,216.19,2.897,210.4,3.663,0,1.24508,1.7408,1.24483,1.74064,NA,NA,NA,NA,NA,NA,NA
7,7,21,10:00:00,0,25.8,223.66,3.247,223.7,4.205,0,1.24504,1.74059,1.24529,1.74059,NA,NA,NA,NA,NA,NA,NA
7,7,21,10:05:00,0.05,25.8,231.25,5.597,228.38,6.501,0,1.24566,1.74085,1.24558,1.74055,NA,NA,NA,NA,NA,NA,NA
7,7,21,10:10:00,0.12,25.7,232.05,6.168,225.3,6.357,0,1.24554,1.74164,1.246,1.7413,NA,NA,NA,NA,NA,NA,NA
7,7,21,10:15:00,0.1,26,243.31,1.485,237.89,9.613,0,1.246,1.73951,1.24579,1.73964,NA,NA,NA,NA,NA,NA,NA
7,7,21,10:20:00,0.09,26.9,220.33,2.874,215.49,5.465,0,1.24641,1.73914,1.24591,1.74035,2,lower antenas site;in basin of main opened wetland,4,-0.346494969,-78.19986904,3909.583984,1020
7,7,21,10:25:00,0.07,27.6,214.23,4.134,210.06,3.055,0,1.24695,1.73909,1.24662,1.73947,2,lower antenas site;in basin of main opened wetland,4,-0.346494969,-78.19986904,3909.583984,1020
7,7,21,10:30:00,0.11,27.8,217.38,4.957,211.51,6.363,0,1.24675,1.73843,1.24708,1.73914,2,lower antenas site;in basin of main opened wetland,4,NA,NA,NA,1020
7,7,21,10:35:00,0.24,27.4,225.83,1.759,212.59,4.12,0,1.24666,1.73897,1.24608,1.73943,NA,NA,NA,NA,NA,NA,NA
7,7,21,10:40:00,0.09,27,220.05,2.777,215.21,3.143,0,1.24608,1.73947,1.2465,1.7398,2,lower antenas site;in basin of main opened wetland,5,-0.34634904,-78.19994297,3905.208008,NA
7,7,21,10:45:00,0.18,26.6,225.69,3.87,215.64,2.387,0,1.24579,1.74005,1.24558,1.74009,2,lower antenas site;in basin of main opened wetland,5,-0.34634904,-78.19994297,3905.208008,NA
7,7,21,10:50:00,1.07,26.2,276.22,14.713,216.83,3.761,0,1.24575,1.73576,1.24533,1.74068,2,lower antenas site;in basin of main opened wetland,5,NA,NA,NA,NA
7,7,21,10:55:00,0.77,25.7,300.8,35.32,257.72,9.086,0,1.24625,1.73601,1.24554,1.73876,NA,NA,NA,NA,NA,NA,NA
7,7,21,11:00:00,0.87,25.8,348.53,58.511,299.9,7.445,0,1.24616,1.73109,1.246,1.73751,NA,NA,NA,NA,NA,NA,NA
7,7,21,11:05:00,-1.3,25.9,261.3,15.471,333.69,16.235,0,1.247,1.74085,1.24683,1.73676,NA,NA,NA,NA,NA,NA,NA
7,7,21,11:10:00,-2.19,26.1,265.27,19.667,387.54,11.539,0,1.24658,1.74055,1.24675,1.72926,NA,NA,NA,NA,NA,NA,NA
7,7,21,11:15:00,0.01,26.8,269.13,9.533,268.76,36.041,0,1.24729,1.73814,1.24695,1.73389,NA,NA,NA,NA,NA,NA,NA
7,7,21,11:20:00,0.25,27.9,248.54,5.36,234.82,3.966,0,1.24775,1.73643,1.24762,1.73839,2,on the other side of the bridge road thing,6,-0.345181022,-78.19956503,3918.22998,NA
7,7,21,11:25:00,0.41,28.4,251.63,4.028,228.53,2.67,0,1.24825,1.73593,1.24779,1.73759,2,on the other side of the bridge road thing,6,-0.345181022,-78.19956503,3918.22998,NA
7,7,21,11:30:00,0.13,28.8,231.93,7.012,224.83,3.243,0,1.24812,1.73643,1.2477,1.73668,2,on the other side of the bridge road thing,6,NA,NA,NA,NA
7,7,21,11:35:00,-1.91,29.1,250.92,6.329,357.2,17.9,0,1.24841,1.73543,1.2485,1.72951,NA,NA,NA,NA,NA,NA,NA
7,7,21,11:40:00,0.28,29,255.17,3.019,239.44,3.409,0,1.24862,1.73472,1.24854,1.73647,2,on other side of bridge road thing,7,-0.34653,-78.19991,,NA
7,7,21,11:45:00,0.6,29.5,260.82,6.58,227.47,4.464,0,1.24908,1.73334,1.24837,1.73564,2,on other side of bridge road thing,7,-0.34653,-78.19991,,NA
7,7,21,11:50:00,0.23,29.8,262.75,22.556,250.13,12.376,0,1.2497,1.73118,1.24879,1.73193,2,on other side of bridge road thing,7,NA,NA,NA,NA
7,7,21,11:55:00,-0.84,30.8,233.9,10.525,280.71,29.626,0,1.25025,1.73418,1.24995,1.7268,NA,NA,NA,NA,NA,NA,NA
7,7,21,12:00:00,-0.07,31.1,230.82,4.942,234.69,3.1,0,1.25075,1.73389,1.25041,1.73397,NA,NA,NA,NA,NA,NA,NA
