Device Name:,,OM-CP-VOLT101A
Device Description:,,Voltage Data Logger
Serial Number:,,R37298
Device ID:,,Box05
,,
,,Channel 1
Date,Time,Voltage (ppm)
6/22/2021,9:58:16 AM,190.95
6/22/2021,9:58:21 AM,192.21
6/22/2021,9:58:26 AM,192.21
6/22/2021,9:58:31 AM,192.21
6/22/2021,9:58:36 AM,192.21
6/22/2021,9:58:41 AM,193.46
6/22/2021,9:58:46 AM,193.46
6/22/2021,9:58:51 AM,193.46
6/22/2021,9:58:56 AM,194.71
6/22/2021,9:59:01 AM,194.71
6/22/2021,9:59:06 AM,194.71
6/22/2021,9:59:11 AM,194.46
6/22/2021,9:59:16 AM,194.96
6/22/2021,9:59:21 AM,194.46
6/22/2021,9:59:26 AM,194.96
6/22/2021,9:59:31 AM,195.72
6/22/2021,9:59:36 AM,196.22
6/22/2021,9:59:41 AM,196.97
6/22/2021,9:59:46 AM,197.47
6/22/2021,9:59:51 AM,196.72
6/22/2021,9:59:56 AM,197.72
6/22/2021,10:00:01 AM,196.72
6/22/2021,10:00:06 AM,197.47
6/22/2021,10:00:11 AM,196.97
6/22/2021,10:00:16 AM,197.47
6/22/2021,10:00:21 AM,196.97
6/22/2021,10:00:26 AM,197.47
6/22/2021,10:00:31 AM,196.97
6/22/2021,10:00:36 AM,197.47
6/22/2021,10:00:41 AM,198.22
6/22/2021,10:00:46 AM,198.47
6/22/2021,10:00:51 AM,198.47
6/22/2021,10:00:56 AM,198.47
6/22/2021,10:01:01 AM,198.47
6/22/2021,10:01:06 AM,198.47
6/22/2021,10:01:11 AM,198.47
6/22/2021,10:01:16 AM,198.47
6/22/2021,10:01:21 AM,198.47
6/22/2021,10:01:26 AM,198.47
6/22/2021,10:01:31 AM,198.47
6/22/2021,10:01:36 AM,198.47
6/22/2021,10:01:41 AM,198.47
6/22/2021,10:01:46 AM,198.47
6/22/2021,10:01:51 AM,198.47
6/22/2021,10:01:56 AM,199.72
6/22/2021,10:02:01 AM,199.72
6/22/2021,10:02:06 AM,199.72
6/22/2021,10:02:11 AM,199.72
6/22/2021,10:02:16 AM,199.72
6/22/2021,10:02:21 AM,199.72
6/22/2021,10:02:26 AM,199.72
6/22/2021,10:02:31 AM,199.72
6/22/2021,10:02:36 AM,200.98
6/22/2021,10:02:41 AM,200.98
6/22/2021,10:02:46 AM,200.98
6/22/2021,10:02:51 AM,202.23
6/22/2021,10:02:56 AM,201.98
6/22/2021,10:03:01 AM,202.48
6/22/2021,10:03:06 AM,201.98
6/22/2021,10:03:11 AM,201.23
6/22/2021,10:03:16 AM,200.73
6/22/2021,10:03:21 AM,201.23
6/22/2021,10:03:26 AM,200.73
6/22/2021,10:03:31 AM,201.23
6/22/2021,10:03:36 AM,200.73
6/22/2021,10:03:41 AM,201.23
6/22/2021,10:03:46 AM,199.47
6/22/2021,10:03:51 AM,199.98
6/22/2021,10:03:56 AM,196.97
6/22/2021,10:04:01 AM,196.22
6/22/2021,10:04:06 AM,195.46
6/22/2021,10:04:11 AM,196.22
6/22/2021,10:04:16 AM,195.46
6/22/2021,10:04:21 AM,196.47
6/22/2021,10:04:26 AM,195.46
6/22/2021,10:04:31 AM,196.47
6/22/2021,10:04:36 AM,195.72
6/22/2021,10:04:41 AM,196.22
6/22/2021,10:04:46 AM,195.72
6/22/2021,10:04:51 AM,196.22
6/22/2021,10:04:56 AM,195.72
6/22/2021,10:05:01 AM,196.22
6/22/2021,10:05:06 AM,194.46
6/22/2021,10:05:11 AM,194.96
6/22/2021,10:05:16 AM,194.46
6/22/2021,10:05:21 AM,194.71
6/22/2021,10:05:26 AM,194.46
6/22/2021,10:05:31 AM,194.71
6/22/2021,10:05:36 AM,194.46
6/22/2021,10:05:41 AM,194.71
6/22/2021,10:05:46 AM,194.71
6/22/2021,10:05:51 AM,194.71
6/22/2021,10:05:56 AM,194.71
6/22/2021,10:06:01 AM,194.71
6/22/2021,10:06:06 AM,194.71
6/22/2021,10:06:11 AM,194.71
6/22/2021,10:06:16 AM,194.71
6/22/2021,10:06:21 AM,194.71
6/22/2021,10:06:26 AM,194.71
6/22/2021,10:06:31 AM,194.71
6/22/2021,10:06:36 AM,194.71
6/22/2021,10:06:41 AM,194.71
6/22/2021,10:06:46 AM,194.71
6/22/2021,10:06:51 AM,194.71
6/22/2021,10:06:56 AM,194.71
6/22/2021,10:07:01 AM,194.71
6/22/2021,10:07:06 AM,194.71
6/22/2021,10:07:11 AM,194.71
6/22/2021,10:07:16 AM,195.97
6/22/2021,10:07:21 AM,195.97
6/22/2021,10:07:26 AM,195.97
6/22/2021,10:07:31 AM,195.97
6/22/2021,10:07:36 AM,195.97
6/22/2021,10:07:41 AM,195.97
6/22/2021,10:07:46 AM,195.97
6/22/2021,10:07:51 AM,195.72
6/22/2021,10:07:56 AM,196.22
6/22/2021,10:08:01 AM,195.72
6/22/2021,10:08:06 AM,196.22
6/22/2021,10:08:11 AM,195.72
6/22/2021,10:08:16 AM,196.22
6/22/2021,10:08:21 AM,195.72
6/22/2021,10:08:26 AM,196.22
6/22/2021,10:08:31 AM,195.72
6/22/2021,10:08:36 AM,195.21
6/22/2021,10:08:41 AM,192.96
6/22/2021,10:08:46 AM,192.46
6/22/2021,10:08:51 AM,191.71
6/22/2021,10:08:56 AM,192.46
6/22/2021,10:09:01 AM,191.71
6/22/2021,10:09:06 AM,192.46
6/22/2021,10:09:11 AM,191.71
6/22/2021,10:09:16 AM,192.46
6/22/2021,10:09:21 AM,191.71
6/22/2021,10:09:26 AM,191.2
6/22/2021,10:09:31 AM,190.45
6/22/2021,10:09:36 AM,191.2
6/22/2021,10:09:41 AM,190.7
6/22/2021,10:09:46 AM,191.2
6/22/2021,10:09:51 AM,190.7
6/22/2021,10:09:56 AM,191.2
6/22/2021,10:10:01 AM,190.7
6/22/2021,10:10:06 AM,190.95
6/22/2021,10:10:11 AM,190.7
6/22/2021,10:10:16 AM,190.95
6/22/2021,10:10:21 AM,190.7
6/22/2021,10:10:26 AM,190.95
6/22/2021,10:10:31 AM,190.95
6/22/2021,10:10:36 AM,190.95
6/22/2021,10:10:41 AM,190.95
6/22/2021,10:10:46 AM,192.21
6/22/2021,10:10:51 AM,192.21
6/22/2021,10:10:56 AM,1
6/22/2021,10:11:01 AM,1
6/22/2021,10:11:06 AM,1
6/22/2021,10:11:11 AM,1
6/22/2021,10:11:16 AM,1
6/22/2021,10:11:21 AM,1
6/22/2021,10:11:26 AM,1
6/22/2021,10:11:31 AM,1
6/22/2021,10:11:36 AM,1
6/22/2021,10:11:41 AM,1
6/22/2021,10:11:46 AM,1
6/22/2021,10:11:51 AM,1
6/22/2021,10:11:56 AM,1
6/22/2021,10:12:01 AM,1
6/22/2021,10:12:06 AM,1
6/22/2021,10:12:11 AM,1
6/22/2021,10:12:16 AM,1
6/22/2021,10:12:21 AM,1
6/22/2021,10:12:26 AM,1
6/22/2021,10:12:31 AM,1
6/22/2021,10:12:36 AM,1
6/22/2021,10:12:41 AM,1
6/22/2021,10:12:46 AM,1
6/22/2021,10:12:51 AM,1
6/22/2021,10:12:56 AM,1
6/22/2021,10:13:01 AM,1
6/22/2021,10:13:06 AM,1
6/22/2021,10:13:11 AM,1
6/22/2021,10:13:16 AM,1
6/22/2021,10:13:21 AM,1
6/22/2021,10:13:26 AM,1
6/22/2021,10:13:31 AM,1
6/22/2021,10:13:36 AM,1
6/22/2021,10:13:41 AM,1
6/22/2021,10:13:46 AM,1
6/22/2021,10:13:51 AM,1
6/22/2021,10:13:56 AM,1
6/22/2021,10:14:01 AM,1
6/22/2021,10:14:06 AM,1
6/22/2021,10:14:11 AM,1
6/22/2021,10:14:16 AM,1
6/22/2021,10:14:21 AM,1
6/22/2021,10:14:26 AM,1
6/22/2021,10:14:31 AM,1
6/22/2021,10:14:36 AM,1
6/22/2021,10:14:41 AM,1
6/22/2021,10:14:46 AM,1
6/22/2021,10:14:51 AM,1
6/22/2021,10:14:56 AM,1
6/22/2021,10:15:01 AM,1
6/22/2021,10:15:06 AM,1
6/22/2021,10:15:11 AM,1
6/22/2021,10:15:16 AM,1
6/22/2021,10:15:21 AM,1
6/22/2021,10:15:26 AM,1
6/22/2021,10:15:31 AM,1
6/22/2021,10:15:36 AM,1
6/22/2021,10:15:41 AM,1
6/22/2021,10:15:46 AM,1
6/22/2021,10:15:51 AM,1
6/22/2021,10:15:56 AM,1
6/22/2021,10:16:01 AM,1
6/22/2021,10:16:06 AM,1
6/22/2021,10:16:11 AM,1
6/22/2021,10:16:16 AM,1
6/22/2021,10:16:21 AM,1
6/22/2021,10:16:26 AM,1
6/22/2021,10:16:31 AM,1
6/22/2021,10:16:36 AM,1
6/22/2021,10:16:41 AM,1
6/22/2021,10:16:46 AM,1
6/22/2021,10:16:51 AM,1
6/22/2021,10:16:56 AM,1
6/22/2021,10:17:01 AM,1
6/22/2021,10:17:06 AM,1
6/22/2021,10:17:11 AM,1
6/22/2021,10:17:16 AM,1
6/22/2021,10:17:21 AM,1
6/22/2021,10:17:26 AM,1
6/22/2021,10:17:31 AM,1
6/22/2021,10:17:36 AM,1
6/22/2021,10:17:41 AM,1
6/22/2021,10:17:46 AM,1
6/22/2021,10:17:51 AM,1
6/22/2021,10:17:56 AM,1
6/22/2021,10:18:01 AM,1
6/22/2021,10:18:06 AM,1
6/22/2021,10:18:11 AM,1
6/22/2021,10:18:16 AM,1
6/22/2021,10:18:21 AM,1
6/22/2021,10:18:26 AM,1
6/22/2021,10:18:31 AM,1
6/22/2021,10:18:36 AM,1
6/22/2021,10:18:41 AM,1
6/22/2021,10:18:46 AM,1
6/22/2021,10:18:51 AM,1
6/22/2021,10:18:56 AM,1
6/22/2021,10:19:01 AM,1
6/22/2021,10:19:06 AM,1
6/22/2021,10:19:11 AM,1
6/22/2021,10:19:16 AM,1
6/22/2021,10:19:21 AM,1
6/22/2021,10:19:26 AM,1
6/22/2021,10:19:31 AM,1
6/22/2021,10:19:36 AM,1
6/22/2021,10:19:41 AM,1
6/22/2021,10:19:46 AM,1
6/22/2021,10:19:51 AM,1
6/22/2021,10:19:56 AM,1.25
6/22/2021,10:20:01 AM,1
6/22/2021,10:20:06 AM,1
6/22/2021,10:20:11 AM,1
6/22/2021,10:20:16 AM,1
6/22/2021,10:20:21 AM,1
6/22/2021,10:20:26 AM,1
6/22/2021,10:20:31 AM,1
6/22/2021,10:20:36 AM,1
6/22/2021,10:20:41 AM,1
6/22/2021,10:20:46 AM,1
6/22/2021,10:20:51 AM,1
6/22/2021,10:20:56 AM,1
6/22/2021,10:21:01 AM,1
6/22/2021,10:21:06 AM,1
6/22/2021,10:21:11 AM,1
6/22/2021,10:21:16 AM,1
6/22/2021,10:21:21 AM,1
6/22/2021,10:21:26 AM,1
6/22/2021,10:21:31 AM,1
6/22/2021,10:21:36 AM,1
6/22/2021,10:21:41 AM,1
6/22/2021,10:21:46 AM,1
6/22/2021,10:21:51 AM,1
6/22/2021,10:21:56 AM,1
6/22/2021,10:22:01 AM,1
6/22/2021,10:22:06 AM,1
6/22/2021,10:22:11 AM,1
6/22/2021,10:22:16 AM,1
6/22/2021,10:22:21 AM,1
6/22/2021,10:22:26 AM,1
6/22/2021,10:22:31 AM,1
6/22/2021,10:22:36 AM,1
6/22/2021,10:22:41 AM,1
6/22/2021,10:22:46 AM,1
6/22/2021,10:22:51 AM,1
6/22/2021,10:22:56 AM,1
6/22/2021,10:23:01 AM,1
6/22/2021,10:23:06 AM,1
6/22/2021,10:23:11 AM,1
6/22/2021,10:23:16 AM,1
6/22/2021,10:23:21 AM,1
6/22/2021,10:23:26 AM,1
6/22/2021,10:23:31 AM,1
6/22/2021,10:23:36 AM,1
6/22/2021,10:23:41 AM,1
6/22/2021,10:23:46 AM,1
6/22/2021,10:23:51 AM,1
6/22/2021,10:23:56 AM,1
6/22/2021,10:24:01 AM,1
6/22/2021,10:24:06 AM,1
6/22/2021,10:24:11 AM,1
6/22/2021,10:24:16 AM,1
6/22/2021,10:24:21 AM,1
6/22/2021,10:24:26 AM,1
6/22/2021,10:24:31 AM,1
6/22/2021,10:24:36 AM,1
6/22/2021,10:24:41 AM,1
6/22/2021,10:24:46 AM,1
6/22/2021,10:24:51 AM,1
6/22/2021,10:24:56 AM,1
6/22/2021,10:25:01 AM,1
6/22/2021,10:25:06 AM,1
6/22/2021,10:25:11 AM,1
6/22/2021,10:25:16 AM,1
6/22/2021,10:25:21 AM,1
6/22/2021,10:25:26 AM,1
6/22/2021,10:25:31 AM,1
6/22/2021,10:25:36 AM,1
6/22/2021,10:25:41 AM,1
6/22/2021,10:25:46 AM,1
6/22/2021,10:25:51 AM,1.25
6/22/2021,10:25:56 AM,1
6/22/2021,10:26:01 AM,1
6/22/2021,10:26:06 AM,1
6/22/2021,10:26:11 AM,1
6/22/2021,10:26:16 AM,1
6/22/2021,10:26:21 AM,1
6/22/2021,10:26:26 AM,1
6/22/2021,10:26:31 AM,1
6/22/2021,10:26:36 AM,1
6/22/2021,10:26:41 AM,1
6/22/2021,10:26:46 AM,1
6/22/2021,10:26:51 AM,1
6/22/2021,10:26:56 AM,1
6/22/2021,10:27:01 AM,1
6/22/2021,10:27:06 AM,1
6/22/2021,10:27:11 AM,1
6/22/2021,10:27:16 AM,1
6/22/2021,10:27:21 AM,1
6/22/2021,10:27:26 AM,1
6/22/2021,10:27:31 AM,1
6/22/2021,10:27:36 AM,1
6/22/2021,10:27:41 AM,1
6/22/2021,10:27:46 AM,1
6/22/2021,10:27:51 AM,1
6/22/2021,10:27:56 AM,1
6/22/2021,10:28:01 AM,1
6/22/2021,10:28:06 AM,1
6/22/2021,10:28:11 AM,65.91
6/22/2021,10:28:16 AM,3.01
6/22/2021,10:28:21 AM,148.35
6/22/2021,10:28:26 AM,2.51
6/22/2021,10:28:31 AM,1
6/22/2021,10:28:36 AM,1
6/22/2021,10:28:41 AM,1
6/22/2021,10:28:46 AM,1
6/22/2021,10:28:51 AM,1
6/22/2021,10:28:56 AM,1
6/22/2021,10:29:01 AM,1
6/22/2021,10:29:06 AM,1
6/22/2021,10:29:11 AM,1
6/22/2021,10:29:16 AM,1
6/22/2021,10:29:21 AM,1
6/22/2021,10:29:26 AM,1
6/22/2021,10:29:31 AM,1
6/22/2021,10:29:36 AM,1.25
6/22/2021,10:29:41 AM,1
6/22/2021,10:29:46 AM,1
6/22/2021,10:29:51 AM,1
6/22/2021,10:29:56 AM,1
6/22/2021,10:30:01 AM,1
6/22/2021,10:30:06 AM,1
6/22/2021,10:30:11 AM,1
6/22/2021,10:30:16 AM,1
6/22/2021,10:30:21 AM,1
6/22/2021,10:30:26 AM,1
6/22/2021,10:30:31 AM,1
6/22/2021,10:30:36 AM,1
6/22/2021,10:30:41 AM,1
6/22/2021,10:30:46 AM,1
6/22/2021,10:30:51 AM,1
6/22/2021,10:30:56 AM,1
6/22/2021,10:31:01 AM,1
6/22/2021,10:31:06 AM,1
6/22/2021,10:31:11 AM,1
6/22/2021,10:31:16 AM,1
6/22/2021,10:31:21 AM,1
6/22/2021,10:31:26 AM,1
6/22/2021,10:31:31 AM,1
6/22/2021,10:31:36 AM,3.26
6/22/2021,10:31:41 AM,2.51
6/22/2021,10:31:46 AM,141.84
6/22/2021,10:31:51 AM,139.08
6/22/2021,10:31:56 AM,138.08
6/22/2021,10:32:01 AM,137.83
6/22/2021,10:32:06 AM,138.08
6/22/2021,10:32:11 AM,137.83
6/22/2021,10:32:16 AM,139.33
6/22/2021,10:32:21 AM,137.83
6/22/2021,10:32:26 AM,138.08
6/22/2021,10:32:31 AM,137.83
6/22/2021,10:32:36 AM,137.83
6/22/2021,10:32:41 AM,137.83
6/22/2021,10:32:46 AM,139.08
6/22/2021,10:32:51 AM,140.33
6/22/2021,10:32:56 AM,140.33
6/22/2021,10:33:01 AM,140.33
6/22/2021,10:33:06 AM,141.59
6/22/2021,10:33:11 AM,142.84
6/22/2021,10:33:16 AM,142.84
6/22/2021,10:33:21 AM,144.09
6/22/2021,10:33:26 AM,145.6
6/22/2021,10:33:31 AM,146.85
6/22/2021,10:33:36 AM,147.85
6/22/2021,10:33:41 AM,149.36
