Device Name:,,OM-CP-VOLT101A,,,,,,,,
Device Description:,,Voltage Data Logger,,,,,,,,
Serial Number:,,R37297,,,,,,,,
Device ID:,,MultiChannel,,,,,,,,
,,,,,,,,,,
,,Channel 1,,,,,,,,
Date,Time,Voltage (ppm),Adjusted ppm,Tract,Description,Point,X,Y,WaterSample,DIFF
6/23/2021,10:14:14 AM,44.1,441,NA,NA,NA,NA,NA,NA,
6/23/2021,10:14:19 AM,44.1,441,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:14:24 AM,44.1,441,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:14:29 AM,44.1,441,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:14:34 AM,44.6,446,NA,NA,NA,NA,NA,NA,5
6/23/2021,10:14:39 AM,44.6,446,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:14:44 AM,44.6,446,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:14:49 AM,44.6,446,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:14:54 AM,45.1,451,NA,NA,NA,NA,NA,NA,5
6/23/2021,10:14:59 AM,45.1,451,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:15:04 AM,44.6,446,NA,NA,NA,NA,NA,NA,-5
6/23/2021,10:15:09 AM,44.6,446,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:15:14 AM,44.6,446,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:15:19 AM,45.1,451,NA,NA,NA,NA,NA,NA,5
6/23/2021,10:15:24 AM,45.1,451,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:15:29 AM,45.1,451,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:15:34 AM,45.6,456,NA,NA,NA,NA,NA,NA,5
6/23/2021,10:15:39 AM,45.1,451,NA,NA,NA,NA,NA,NA,-5
6/23/2021,10:15:44 AM,45.1,451,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:15:49 AM,45.1,451,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:15:54 AM,45.1,451,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:15:59 AM,44.6,446,NA,NA,NA,NA,NA,NA,-5
6/23/2021,10:16:04 AM,44.6,446,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:16:09 AM,45.1,451,NA,NA,NA,NA,NA,NA,5
6/23/2021,10:16:14 AM,45.1,451,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:16:19 AM,45.6,456,NA,NA,NA,NA,NA,NA,5
6/23/2021,10:16:24 AM,45.6,456,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:16:29 AM,45.6,456,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:16:34 AM,45.1,451,NA,NA,NA,NA,NA,NA,-5
6/23/2021,10:16:39 AM,44.6,446,NA,NA,NA,NA,NA,NA,-5
6/23/2021,10:16:44 AM,44.1,441,NA,NA,NA,NA,NA,NA,-5
6/23/2021,10:16:49 AM,43.6,436,NA,NA,NA,NA,NA,NA,-5
6/23/2021,10:16:54 AM,43.6,436,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:16:59 AM,43.6,436,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:17:04 AM,43.6,436,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:17:09 AM,44.1,441,NA,NA,NA,NA,NA,NA,5
6/23/2021,10:17:14 AM,43.6,436,NA,NA,NA,NA,NA,NA,-5
6/23/2021,10:17:19 AM,43.6,436,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:17:24 AM,43.6,436,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:17:29 AM,43.6,436,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:17:34 AM,43.6,436,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:17:39 AM,44.1,441,NA,NA,NA,NA,NA,NA,5
6/23/2021,10:17:44 AM,44.1,441,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:17:49 AM,44.1,441,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:17:54 AM,44.6,446,NA,NA,NA,NA,NA,NA,5
6/23/2021,10:17:59 AM,44.1,441,NA,NA,NA,NA,NA,NA,-5
6/23/2021,10:18:04 AM,44.1,441,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:18:09 AM,43.6,436,NA,NA,NA,NA,NA,NA,-5
6/23/2021,10:18:14 AM,43.6,436,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:18:19 AM,43.6,436,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:18:24 AM,43.6,436,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:18:29 AM,43.6,436,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:18:34 AM,43.6,436,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:18:39 AM,43.6,436,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:18:44 AM,43.1,431,NA,NA,NA,NA,NA,NA,-5
6/23/2021,10:18:49 AM,43.1,431,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:18:54 AM,43.1,431,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:18:59 AM,43.1,431,NA,NA,NA,NA,NA,NA,0
6/23/2021,10:19:04 AM,44.1,441,NA,NA,NA,NA,NA,NA,10
