metadata																													
ID	name	desc	time	keywords	minlat	minlon	maxlat	maxlon																					
1			2021-07-01T16:48:47Z		-0.32983996	-78.20278552	-0.324336737	-78.19913671																					
																													
author																													
ID	name	email																											
																													
copyright																													
year	license	author																											
																													
link																													
metadataID	authorID	wptID	rteptID	trkptID	rteID	trkID	text	type	href																				
1							Garmin International		http://www.garmin.com																				
																													
rte																													
ID	name	cmt	desc	src	number	type	IsAutoNamed	DisplayColor	TransportationMode	TripName	Date	DayNumber																	
																													
rtept																													
ID	rteID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	DepartureTime	StopDuration	ArrivalTime	CalculationMode	ElevationMode	NamedRoad_Name	NamedRoad_Id	NamedRoad_ProductId	TransportationMode
																													
wpt																													
ID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	Proximity	Temperature	Depth	DisplayMode	Samples	Expiration	CreationTime			
																													
Address																													
wptID	StreetAddress1	StreetAddress2	City	State	Country	PostalCode																							
																													
PhoneNumber																													
wptID	Category	value																											
																													
Categories																													
wptID	Category																												
																													
trk																													
ID	name	cmt	desc	src	number	type	DisplayColor																						
1	29-JUN-21 14:03SYNOPTICS EOS2						Black																						
																													
trkseg																													
ID	trkID																												
1	1																												
																													
trkpt																													
ID	trksegID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	Temperature	Depth	wtemp	hr	cad				
1	1	-0.329137053	-78.20248562	3806.48	6/29/2021	14:28:09	9:28:09																						
2	1	-0.329573164	-78.20278293	3815.61	6/29/2021	14:28:28	9:28:28																						
3	1	-0.329575762	-78.20278385	3825.22	6/29/2021	14:28:29	9:28:29																						
4	1	-0.329577271	-78.2027851	3832.91	6/29/2021	14:28:30	9:28:30																						
5	1	-0.329579031	-78.20278435	3840.12	6/29/2021	14:28:31	9:28:31																						
6	1	-0.329579031	-78.20278326	3848.78	6/29/2021	14:28:32	9:28:32																						
7	1	-0.329578444	-78.20278552	3855.99	6/29/2021	14:28:33	9:28:33																						
8	1	-0.329577103	-78.20278494	3864.16	6/29/2021	14:28:34	9:28:34																						
9	1	-0.329574589	-78.20278091	3868.96	6/29/2021	14:28:35	9:28:35																						
10	1	-0.329572661	-78.20277597	3877.62	6/29/2021	14:28:36	9:28:36																						
11	1	-0.329571487	-78.20277086	3884.82	6/29/2021	14:28:37	9:28:37																						
12	1	-0.329570146	-78.20276666	3890.59	6/29/2021	14:28:38	9:28:38																						
13	1	-0.329570565	-78.20276231	3897.32	6/29/2021	14:28:39	9:28:39																						
14	1	-0.329570901	-78.20275912	3903.09	6/29/2021	14:28:40	9:28:40																						
15	1	-0.32957023	-78.20275736	3908.86	6/29/2021	14:28:41	9:28:41																						
16	1	-0.329568805	-78.20275501	3915.11	6/29/2021	14:28:42	9:28:42																						
17	1	-0.329568051	-78.20275258	3920.39	6/29/2021	14:28:43	9:28:43																						
18	1	-0.329567129	-78.20274998	3926.64	6/29/2021	14:28:44	9:28:44																						
19	1	-0.32956738	-78.20274898	3930.97	6/29/2021	14:28:45	9:28:45																						
20	1	-0.329566961	-78.20274856	3936.74	6/29/2021	14:28:46	9:28:46																						
21	1	-0.329566794	-78.20274923	3941.06	6/29/2021	14:28:47	9:28:47																						
22	1	-0.329566374	-78.20274806	3945.87	6/29/2021	14:28:48	9:28:48																						
23	1	-0.329565955	-78.20274672	3950.67	6/29/2021	14:28:49	9:28:49																						
24	1	-0.329565872	-78.20274546	3954.52	6/29/2021	14:28:50	9:28:50																						
25	1	-0.329567716	-78.20274496	3958.85	6/29/2021	14:28:51	9:28:51																						
26	1	-0.329568302	-78.20274378	3963.65	6/29/2021	14:28:52	9:28:52																						
27	1	-0.329568386	-78.20274294	3967.5	6/29/2021	14:28:53	9:28:53																						
28	1	-0.329568302	-78.20274177	3971.34	6/29/2021	14:28:54	9:28:54																						
29	1	-0.329568135	-78.20274244	3975.67	6/29/2021	14:28:55	9:28:55																						
30	1	-0.329567716	-78.20274403	3979.03	6/29/2021	14:28:56	9:28:56																						
31	1	-0.329567799	-78.20274588	3986.24	6/29/2021	14:28:58	9:28:58																						
32	1	-0.329568051	-78.20274789	3992.49	6/29/2021	14:29:00	9:29:00																						
33	1	-0.329568889	-78.20274772	3996.82	6/29/2021	14:29:02	9:29:02																						
34	1	-0.329569811	-78.20274705	4001.62	6/29/2021	14:29:03	9:29:03																						
35	1	-0.329568721	-78.20275032	4006.43	6/29/2021	14:29:05	9:29:05																						
36	1	-0.329568051	-78.20275149	4009.8	6/29/2021	14:29:06	9:29:06																						
37	1	-0.32957023	-78.20274898	4014.6	6/29/2021	14:29:08	9:29:08																						
38	1	-0.329569811	-78.2027499	4019.89	6/29/2021	14:29:10	9:29:10																						
39	1	-0.329571236	-78.20274739	4023.25	6/29/2021	14:29:12	9:29:12																						
40	1	-0.329570817	-78.20274571	4027.58	6/29/2021	14:29:14	9:29:14																						
41	1	-0.32957417	-78.20274546	4033.35	6/29/2021	14:29:17	9:29:17																						
42	1	-0.329574756	-78.20274604	4036.71	6/29/2021	14:29:19	9:29:19																						
43	1	-0.329568889	-78.20274227	4041.04	6/29/2021	14:29:21	9:29:21																						
44	1	-0.329563944	-78.20274454	4044.88	6/29/2021	14:29:24	9:29:24																						
45	1	-0.329561261	-78.20273498	4048.25	6/29/2021	14:29:27	9:29:27																						
46	1	-0.329561429	-78.20273113	4051.61	6/29/2021	14:29:29	9:29:29																						
47	1	-0.329561345	-78.20272911	4052.09	6/29/2021	14:29:30	9:29:30																						
48	1	-0.329566542	-78.20273674	4054.98	6/29/2021	14:29:33	9:29:33																						
49	1	-0.329558328	-78.20274688	4057.38	6/29/2021	14:29:36	9:29:36																						
50	1	-0.329558998	-78.20276013	4060.75	6/29/2021	14:29:41	9:29:41																						
51	1	-0.329561848	-78.20276423	4061.71	6/29/2021	14:29:43	9:29:43																						
52	1	-0.329561932	-78.20277337	4064.59	6/29/2021	14:29:46	9:29:46																						
53	1	-0.329566374	-78.20277153	4068.44	6/29/2021	14:29:52	9:29:52																						
54	1	-0.329572828	-78.20277002	4071.8	6/29/2021	14:29:58	9:29:58																						
55	1	-0.329575678	-78.20276029	4075.65	6/29/2021	14:30:10	9:30:10																						
56	1	-0.329577187	-78.2027551	4076.61	6/29/2021	14:30:23	9:30:23																						
57	1	-0.329577103	-78.20275392	4078.05	6/29/2021	14:30:25	9:30:25																						
58	1	-0.329575008	-78.2027587	4079.01	6/29/2021	14:30:54	9:30:54																						
59	1	-0.329565788	-78.20275594	4080.93	6/29/2021	14:31:14	9:31:14																						
60	1	-0.32955925	-78.202752	4078.05	6/29/2021	14:31:30	9:31:30																						
61	1	-0.329559753	-78.20274931	4080.45	6/29/2021	14:31:43	9:31:43																						
62	1	-0.329563022	-78.20274143	4075.65	6/29/2021	14:31:57	9:31:57																						
63	1	-0.329562686	-78.20274135	4076.61	6/29/2021	14:31:58	9:31:58																						
64	1	-0.329562351	-78.20274135	4081.41	6/29/2021	14:31:59	9:31:59																						
