Device Name:,,OM-CP-VOLT101A
Device Description:,,Voltage Data Logger
Serial Number:,,R37298
Device ID:,,SynopticNew
,,
,,Channel 1
Date,Time,Voltage (ppm)
6/29/2021,9:20:13 AM,169.9
6/29/2021,9:20:18 AM,169.4
6/29/2021,9:20:23 AM,169.4
6/29/2021,9:20:28 AM,169.4
6/29/2021,9:20:33 AM,168.15
6/29/2021,9:20:38 AM,168.4
6/29/2021,9:20:43 AM,167.65
6/29/2021,9:20:48 AM,169.65
6/29/2021,9:20:53 AM,169.15
6/29/2021,9:20:58 AM,169.4
6/29/2021,9:21:03 AM,169.4
6/29/2021,9:21:08 AM,169.4
6/29/2021,9:21:13 AM,169.65
6/29/2021,9:21:18 AM,170.41
6/29/2021,9:21:23 AM,176.17
6/29/2021,9:21:28 AM,159.13
6/29/2021,9:21:33 AM,156.87
6/29/2021,9:21:38 AM,156.87
6/29/2021,9:21:43 AM,158.13
6/29/2021,9:21:48 AM,158.13
6/29/2021,9:21:53 AM,159.13
6/29/2021,9:21:58 AM,159.63
6/29/2021,9:22:03 AM,158.88
6/29/2021,9:22:08 AM,162.14
6/29/2021,9:22:13 AM,164.39
6/29/2021,9:22:18 AM,165.64
6/29/2021,9:22:23 AM,166.9
6/29/2021,9:22:28 AM,168.15
6/29/2021,9:22:33 AM,169.65
6/29/2021,9:22:38 AM,168.9
6/29/2021,9:22:43 AM,171.91
6/29/2021,9:22:48 AM,171.91
6/29/2021,9:22:53 AM,173.16
6/29/2021,9:22:58 AM,173.16
6/29/2021,9:23:03 AM,171.91
6/29/2021,9:23:08 AM,172.16
6/29/2021,9:23:13 AM,171.66
6/29/2021,9:23:18 AM,172.41
6/29/2021,9:23:23 AM,171.66
6/29/2021,9:23:28 AM,171.91
6/29/2021,9:23:33 AM,171.91
6/29/2021,9:23:38 AM,171.91
6/29/2021,9:23:43 AM,172.16
6/29/2021,9:23:48 AM,172.91
6/29/2021,9:23:53 AM,173.66
6/29/2021,9:23:58 AM,172.91
6/29/2021,9:24:03 AM,173.16
6/29/2021,9:24:08 AM,173.16
6/29/2021,9:24:13 AM,173.16
6/29/2021,9:24:18 AM,173.41
6/29/2021,9:24:23 AM,172.91
6/29/2021,9:24:28 AM,173.66
6/29/2021,9:24:33 AM,172.91
6/29/2021,9:24:38 AM,173.16
6/29/2021,9:24:43 AM,173.16
6/29/2021,9:24:48 AM,173.16
6/29/2021,9:24:53 AM,174.67
6/29/2021,9:24:58 AM,174.16
6/29/2021,9:25:03 AM,173.66
6/29/2021,9:25:08 AM,172.91
6/29/2021,9:25:13 AM,173.16
6/29/2021,9:25:18 AM,173.16
6/29/2021,9:25:23 AM,173.16
6/29/2021,9:25:28 AM,173.41
6/29/2021,9:25:33 AM,172.91
6/29/2021,9:25:38 AM,173.66
6/29/2021,9:25:43 AM,172.91
6/29/2021,9:25:48 AM,173.16
6/29/2021,9:25:53 AM,173.16
6/29/2021,9:25:58 AM,171.91
6/29/2021,9:26:03 AM,171.91
6/29/2021,9:26:08 AM,171.66
6/29/2021,9:26:13 AM,172.16
6/29/2021,9:26:18 AM,171.66
6/29/2021,9:26:23 AM,172.16
6/29/2021,9:26:28 AM,171.91
6/29/2021,9:26:33 AM,171.91
6/29/2021,9:26:38 AM,171.91
6/29/2021,9:26:43 AM,171.66
6/29/2021,9:26:48 AM,172.16
6/29/2021,9:26:53 AM,171.41
6/29/2021,9:26:58 AM,172.16
6/29/2021,9:27:03 AM,171.91
6/29/2021,9:27:08 AM,171.91
6/29/2021,9:27:13 AM,173.16
6/29/2021,9:27:18 AM,173.16
6/29/2021,9:27:23 AM,173.41
6/29/2021,9:27:28 AM,172.91
6/29/2021,9:27:33 AM,173.66
6/29/2021,9:27:38 AM,172.91
6/29/2021,9:27:43 AM,173.16
6/29/2021,9:27:48 AM,173.16
6/29/2021,9:27:53 AM,173.16
6/29/2021,9:27:58 AM,173.41
6/29/2021,9:28:03 AM,171.66
6/29/2021,9:28:08 AM,172.41
6/29/2021,9:28:13 AM,173.16
6/29/2021,9:28:18 AM,173.16
6/29/2021,9:28:23 AM,173.16
6/29/2021,9:28:28 AM,173.16
6/29/2021,9:28:33 AM,173.41
6/29/2021,9:28:38 AM,172.91
6/29/2021,9:28:43 AM,173.66
6/29/2021,9:28:48 AM,172.91
6/29/2021,9:28:53 AM,173.16
6/29/2021,9:28:58 AM,173.16
6/29/2021,9:29:03 AM,173.16
6/29/2021,9:29:08 AM,173.41
6/29/2021,9:29:13 AM,172.91
6/29/2021,9:29:18 AM,173.66
6/29/2021,9:29:23 AM,173.16
6/29/2021,9:29:28 AM,173.16
6/29/2021,9:29:33 AM,173.16
6/29/2021,9:29:38 AM,173.16
6/29/2021,9:29:43 AM,174.67
6/29/2021,9:29:48 AM,174.16
6/29/2021,9:29:53 AM,174.92
6/29/2021,9:29:58 AM,174.41
6/29/2021,9:30:03 AM,175.67
6/29/2021,9:30:08 AM,176.92
6/29/2021,9:30:13 AM,178.17
6/29/2021,9:30:18 AM,178.42
6/29/2021,9:30:23 AM,177.92
6/29/2021,9:30:28 AM,178.67
6/29/2021,9:30:33 AM,178.17
6/29/2021,9:30:38 AM,178.42
6/29/2021,9:30:43 AM,176.92
6/29/2021,9:30:48 AM,175.67
6/29/2021,9:30:53 AM,174.67
6/29/2021,9:30:58 AM,174.16
6/29/2021,9:31:03 AM,174.92
6/29/2021,9:31:08 AM,174.16
6/29/2021,9:31:13 AM,174.67
6/29/2021,9:31:18 AM,174.41
6/29/2021,9:31:23 AM,174.41
6/29/2021,9:31:28 AM,173.66
6/29/2021,9:31:33 AM,172.91
6/29/2021,9:31:38 AM,173.66
6/29/2021,9:31:43 AM,172.91
6/29/2021,9:31:48 AM,173.16
6/29/2021,9:31:53 AM,173.16
6/29/2021,9:31:58 AM,171.91
6/29/2021,9:32:03 AM,171.91
6/29/2021,9:32:08 AM,171.66
6/29/2021,9:32:13 AM,172.41
6/29/2021,9:32:18 AM,171.66
6/29/2021,9:32:23 AM,171.91
6/29/2021,9:32:28 AM,171.91
6/29/2021,9:32:33 AM,170.66
6/29/2021,9:32:38 AM,170.66
6/29/2021,9:32:43 AM,170.41
6/29/2021,9:32:48 AM,171.16
6/29/2021,9:32:53 AM,170.41
6/29/2021,9:32:58 AM,171.91
6/29/2021,9:33:03 AM,171.91
6/29/2021,9:33:08 AM,171.91
6/29/2021,9:33:13 AM,170.91
6/29/2021,9:33:18 AM,170.41
6/29/2021,9:33:23 AM,171.16
6/29/2021,9:33:28 AM,170.41
6/29/2021,9:33:33 AM,170.66
6/29/2021,9:33:38 AM,170.66
6/29/2021,9:33:43 AM,170.66
6/29/2021,9:33:48 AM,172.16
6/29/2021,9:33:53 AM,171.66
6/29/2021,9:33:58 AM,172.41
6/29/2021,9:34:03 AM,171.66
6/29/2021,9:34:08 AM,171.91
6/29/2021,9:34:13 AM,171.91
6/29/2021,9:34:18 AM,171.91
6/29/2021,9:34:23 AM,172.16
6/29/2021,9:34:28 AM,171.41
6/29/2021,9:34:33 AM,172.16
6/29/2021,9:34:38 AM,171.91
6/29/2021,9:34:43 AM,171.91
6/29/2021,9:34:48 AM,171.91
6/29/2021,9:34:53 AM,184.44
6/29/2021,9:34:58 AM,192.46
6/29/2021,9:35:03 AM,192.96
6/29/2021,9:35:08 AM,192.46
6/29/2021,9:35:13 AM,190.95
6/29/2021,9:35:18 AM,188.95
6/29/2021,9:35:23 AM,187.2
6/29/2021,9:35:28 AM,185.69
6/29/2021,9:35:33 AM,184.94
6/29/2021,9:35:38 AM,182.94
6/29/2021,9:35:43 AM,182.18
6/29/2021,9:35:48 AM,181.93
6/29/2021,9:35:53 AM,181.93
6/29/2021,9:35:58 AM,180.68
6/29/2021,9:36:03 AM,179.43
6/29/2021,9:36:08 AM,178.42
6/29/2021,9:36:13 AM,176.67
6/29/2021,9:36:18 AM,177.17
6/29/2021,9:36:23 AM,175.67
6/29/2021,9:36:28 AM,174.41
6/29/2021,9:36:33 AM,174.41
6/29/2021,9:36:38 AM,174.41
6/29/2021,9:36:43 AM,174.92
6/29/2021,9:36:48 AM,172.91
6/29/2021,9:36:53 AM,173.41
6/29/2021,9:36:58 AM,173.16
6/29/2021,9:37:03 AM,171.91
6/29/2021,9:37:08 AM,171.91
6/29/2021,9:37:13 AM,171.66
6/29/2021,9:37:18 AM,171.91
6/29/2021,9:37:23 AM,171.41
6/29/2021,9:37:28 AM,170.91
6/29/2021,9:37:33 AM,169.4
6/29/2021,9:37:38 AM,169.4
6/29/2021,9:37:43 AM,169.4
6/29/2021,9:37:48 AM,169.15
6/29/2021,9:37:53 AM,169.9
6/29/2021,9:37:58 AM,167.9
6/29/2021,9:38:03 AM,168.4
6/29/2021,9:38:08 AM,168.15
6/29/2021,9:38:13 AM,168.15
6/29/2021,9:38:18 AM,166.9
6/29/2021,9:38:23 AM,167.9
6/29/2021,9:38:28 AM,172.41
6/29/2021,9:38:33 AM,171.66
6/29/2021,9:38:38 AM,172.16
6/29/2021,9:38:43 AM,170.66
6/29/2021,9:38:48 AM,170.66
6/29/2021,9:38:53 AM,170.91
6/29/2021,9:38:58 AM,170.41
6/29/2021,9:39:03 AM,171.16
6/29/2021,9:39:08 AM,171.66
6/29/2021,9:39:13 AM,171.91
6/29/2021,9:39:18 AM,171.91
6/29/2021,9:39:23 AM,171.91
6/29/2021,9:39:28 AM,172.16
6/29/2021,9:39:33 AM,171.66
6/29/2021,9:39:38 AM,172.41
6/29/2021,9:39:43 AM,172.91
6/29/2021,9:39:48 AM,171.91
6/29/2021,9:39:53 AM,171.91
6/29/2021,9:39:58 AM,171.91
6/29/2021,9:40:03 AM,172.16
6/29/2021,9:40:08 AM,171.66
6/29/2021,9:40:13 AM,171.41
6/29/2021,9:40:18 AM,170.66
6/29/2021,9:40:23 AM,171.91
6/29/2021,9:40:28 AM,171.91
6/29/2021,9:40:33 AM,171.91
6/29/2021,9:40:38 AM,172.16
6/29/2021,9:40:43 AM,171.66
6/29/2021,9:40:48 AM,172.16
6/29/2021,9:40:53 AM,171.91
6/29/2021,9:40:58 AM,171.91
6/29/2021,9:41:03 AM,171.91
6/29/2021,9:41:08 AM,171.66
6/29/2021,9:41:13 AM,172.16
6/29/2021,9:41:18 AM,171.41
6/29/2021,9:41:23 AM,172.16
6/29/2021,9:41:28 AM,171.91
6/29/2021,9:41:33 AM,171.91
6/29/2021,9:41:38 AM,171.91
6/29/2021,9:41:43 AM,171.66
6/29/2021,9:41:48 AM,171.16
6/29/2021,9:41:53 AM,170.41
6/29/2021,9:41:58 AM,170.66
6/29/2021,9:42:03 AM,170.66
6/29/2021,9:42:08 AM,170.66
6/29/2021,9:42:13 AM,170.91
6/29/2021,9:42:18 AM,170.41
6/29/2021,9:42:23 AM,171.16
6/29/2021,9:42:28 AM,170.66
6/29/2021,9:42:33 AM,170.66
6/29/2021,9:42:38 AM,170.66
6/29/2021,9:42:43 AM,170.66
6/29/2021,9:42:48 AM,169.65
6/29/2021,9:42:53 AM,168.9
6/29/2021,9:42:58 AM,169.65
6/29/2021,9:43:03 AM,169.4
6/29/2021,9:43:08 AM,169.4
6/29/2021,9:43:13 AM,169.4
6/29/2021,9:43:18 AM,169.15
6/29/2021,9:43:23 AM,169.9
6/29/2021,9:43:28 AM,169.15
6/29/2021,9:43:33 AM,169.65
6/29/2021,9:43:38 AM,168.15
6/29/2021,9:43:43 AM,168.15
6/29/2021,9:43:48 AM,168.15
6/29/2021,9:43:53 AM,167.9
6/29/2021,9:43:58 AM,168.65
6/29/2021,9:44:03 AM,167.9
6/29/2021,9:44:08 AM,168.15
6/29/2021,9:44:13 AM,168.15
6/29/2021,9:44:18 AM,168.15
6/29/2021,9:44:23 AM,168.4
6/29/2021,9:44:28 AM,167.9
6/29/2021,9:44:33 AM,168.65
6/29/2021,9:44:38 AM,167.9
6/29/2021,9:44:43 AM,168.15
6/29/2021,9:44:48 AM,168.15
6/29/2021,9:44:53 AM,168.15
6/29/2021,9:44:58 AM,168.4
6/29/2021,9:45:03 AM,169.15
6/29/2021,9:45:08 AM,170.66
6/29/2021,9:45:13 AM,170.66
6/29/2021,9:45:18 AM,169.4
6/29/2021,9:45:23 AM,169.4
6/29/2021,9:45:28 AM,169.4
6/29/2021,9:45:33 AM,169.65
6/29/2021,9:45:38 AM,168.9
6/29/2021,9:45:43 AM,169.65
6/29/2021,9:45:48 AM,169.4
6/29/2021,9:45:53 AM,171.91
6/29/2021,9:45:58 AM,174.41
6/29/2021,9:46:03 AM,174.41
6/29/2021,9:46:08 AM,174.92
6/29/2021,9:46:13 AM,171.66
6/29/2021,9:46:18 AM,172.16
6/29/2021,9:46:23 AM,166.9
6/29/2021,9:46:28 AM,166.9
6/29/2021,9:46:33 AM,169.4
6/29/2021,9:46:38 AM,170.66
6/29/2021,9:46:43 AM,172.41
6/29/2021,9:46:48 AM,171.66
6/29/2021,9:46:53 AM,173.41
6/29/2021,9:46:58 AM,175.92
6/29/2021,9:47:03 AM,181.93
6/29/2021,9:47:08 AM,185.94
6/29/2021,9:47:13 AM,184.44
6/29/2021,9:47:18 AM,182.43
6/29/2021,9:47:23 AM,177.92
6/29/2021,9:47:28 AM,174.67
6/29/2021,9:47:33 AM,173.16
6/29/2021,9:47:38 AM,173.16
6/29/2021,9:47:43 AM,171.91
6/29/2021,9:47:48 AM,169.15
6/29/2021,9:47:53 AM,184.94
6/29/2021,9:47:58 AM,244.83
6/29/2021,9:48:03 AM,207.24
6/29/2021,9:48:08 AM,194.71
6/29/2021,9:48:13 AM,152.86
6/29/2021,9:48:18 AM,154.37
6/29/2021,9:48:23 AM,177.92
6/29/2021,9:48:28 AM,181.18
6/29/2021,9:48:33 AM,180.68
6/29/2021,9:48:38 AM,183.19
6/29/2021,9:48:43 AM,179.43
6/29/2021,9:48:48 AM,178.17
6/29/2021,9:48:53 AM,179.68
6/29/2021,9:48:58 AM,178.93
6/29/2021,9:49:03 AM,177.17
6/29/2021,9:49:08 AM,175.67
6/29/2021,9:49:13 AM,176.92
6/29/2021,9:49:18 AM,175.67
6/29/2021,9:49:23 AM,174.41
6/29/2021,9:49:28 AM,173.66
6/29/2021,9:49:33 AM,170.41
6/29/2021,9:49:38 AM,169.65
6/29/2021,9:49:43 AM,169.4
6/29/2021,9:49:48 AM,169.4
6/29/2021,9:49:53 AM,169.4
6/29/2021,9:49:58 AM,170.41
6/29/2021,9:50:03 AM,171.16
6/29/2021,9:50:08 AM,166.65
6/29/2021,9:50:13 AM,163.14
6/29/2021,9:50:18 AM,163.14
6/29/2021,9:50:23 AM,163.14
6/29/2021,9:50:28 AM,159.38
6/29/2021,9:50:33 AM,141.34
6/29/2021,9:50:38 AM,121.79
6/29/2021,9:50:43 AM,142.84
6/29/2021,9:50:48 AM,184.44
6/29/2021,9:50:53 AM,228.79
6/29/2021,9:50:58 AM,292.7
6/29/2021,9:51:03 AM,348.83
6/29/2021,9:51:08 AM,395.94
6/29/2021,9:51:13 AM,419.5
6/29/2021,9:51:18 AM,482.15
6/29/2021,9:51:23 AM,513.97
6/29/2021,9:51:28 AM,558.08
6/29/2021,9:51:33 AM,578.38
6/29/2021,9:51:38 AM,608.95
6/29/2021,9:51:43 AM,635.01
6/29/2021,9:51:48 AM,671.85
6/29/2021,9:51:53 AM,687.64
6/29/2021,9:51:58 AM,705.93
6/29/2021,9:52:03 AM,717.96
6/29/2021,9:52:08 AM,722.22
6/29/2021,9:52:13 AM,728.98
6/29/2021,9:52:18 AM,729.74
6/29/2021,9:52:23 AM,729.99
6/29/2021,9:52:28 AM,729.99
6/29/2021,9:52:33 AM,727.48
6/29/2021,9:52:38 AM,726.48
6/29/2021,9:52:43 AM,716.95
6/29/2021,9:52:48 AM,713.95
6/29/2021,9:52:53 AM,709.69
6/29/2021,9:52:58 AM,703.92
6/29/2021,9:53:03 AM,697.16
6/29/2021,9:53:08 AM,686.13
6/29/2021,9:53:13 AM,681.12
6/29/2021,9:53:18 AM,671.6
6/29/2021,9:53:23 AM,667.09
6/29/2021,9:53:28 AM,659.32
6/29/2021,9:53:33 AM,654.31
6/29/2021,9:53:38 AM,646.79
