"Month","Day","Year","Time","Flux","Temperature (C)","CO2 Soil (ppm) ","CO2 Soil STD (ppm)","CO2 ATM (ppm)","CO2 ATM STD (ppm)","Mode"
06,29,21,08:59:01,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,1
06,29,21,08:59:30,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,2
06,29,21,09:10:22,  -1.30,  23.4,  119.96,  17.332,  193.71,  10.897,0
06,29,21,09:15:00,  -0.39,  24.8,   65.28,   3.632,   87.19,   9.379,0
06,29,21,09:20:00,  -0.12,  25.7,   48.18,   3.051,   54.78,   3.129,0
06,29,21,09:25:00,  -0.09,  26.1,   34.67,   1.398,   39.94,   2.587,0
06,29,21,09:30:00,   0.04,  26.0,   30.49,   0.663,   28.12,   2.076,0
06,29,21,09:35:00,   0.06,  25.5,   32.05,   2.159,   28.57,   1.335,0
06,29,21,09:40:00,   0.23,  26.2,   52.40,   3.603,   39.32,   4.036,0
06,29,21,09:45:00,  -0.01,  27.5,   63.29,   3.966,   63.58,   4.997,0
06,29,21,09:50:00,   0.23,  26.4,   81.94,   5.324,   69.04,   2.806,0
06,29,21,09:55:00,   0.41,  25.4,   82.36,   2.411,   59.17,   3.394,0
06,29,21,10:00:00,   0.28,  24.6,   72.66,   2.265,   56.95,   2.774,0
06,29,21,10:05:00,   0.11,  24.1,   58.39,   4.455,   52.42,   5.647,0
06,29,21,10:10:00,   0.49,  24.0,   83.52,  16.626,   56.06,   5.697,0
06,29,21,10:15:00,   1.18,  23.9,  132.48,   4.736,   65.91,   2.066,0
06,29,21,10:20:00,   1.12,  24.0,  134.98,   1.754,   71.76,   1.628,0
06,29,21,10:25:00,  -0.21,  24.3,   61.12,   3.146,   73.08,   2.105,0
06,29,21,10:30:00,   0.13,  24.1,   63.31,   8.567,   56.00,   7.621,0
06,29,21,10:35:00,   0.25,  23.8,   76.49,   2.356,   62.40,   3.719,0
06,29,21,10:40:00,   0.26,  23.6,   72.05,   1.800,   57.58,   3.175,0
