OBJECTID,lat,lon,Sample_ID,SampleType,Z
1,None,None,1,upstream_pourpoints,4103.271973
3,None,None,2,upstream_pourpoints,4098.472727
4,None,None,3,upstream_pourpoints,4098.301342
5,None,None,4,upstream_pourpoints,4096.61433
6,None,None,5,upstream_pourpoints,4095.338452
7,None,None,6,upstream_pourpoints,4094.57341
8,None,None,7,upstream_pourpoints,4090.399472
9,None,None,8,upstream_pourpoints,4086.44025
10,None,None,9,upstream_pourpoints,4080.59955
12,None,None,10,upstream_pourpoints,4078.130079
13,None,None,11,upstream_pourpoints,4072.396731
15,None,None,12,upstream_pourpoints,4072.296999
16,None,None,13,upstream_pourpoints,4069.762124
17,None,None,14,upstream_pourpoints,4069.714225
21,None,None,15,upstream_pourpoints,4067.735501
22,None,None,16,upstream_pourpoints,4068.264503
23,None,None,17,upstream_pourpoints,4066.425166
24,None,None,18,upstream_pourpoints,4066.283479
25,None,None,19,upstream_pourpoints,4065.204126
29,None,None,20,upstream_pourpoints,4062.830216
31,None,None,21,upstream_pourpoints,4058.607843
32,None,None,22,upstream_pourpoints,4058.421859
33,None,None,23,upstream_pourpoints,4056.538831
34,0,-78,22,SamplePoints,4053.587007
35,0,-78,23,SamplePoints,4053.169407
36,0,-78,21,SamplePoints,4055.218788
37,0,-78,20,SamplePoints,4060.140437
38,0,-78,19,SamplePoints,4061.601841
39,0,-78,18,SamplePoints,4062.607299
40,0,-78,17,SamplePoints,4063.515175
41,0,-78,16,SamplePoints,4066.440083
42,0,-78,15,SamplePoints,4066.816484
43,0,-78,14,SamplePoints,4067.990914
44,0,-78,13,SamplePoints,4068.749954
45,0,-78,12,SamplePoints,4069.792066
46,0,-78,11,SamplePoints,4071.16097
47,0,-78,10,SamplePoints,4074.431582
48,0,-78,9,SamplePoints,4076.280062
49,0,-78,8,SamplePoints,4080.818199
50,0,-78,7,SamplePoints,4083.062917
51,0,-78,6,SamplePoints,4088.696265
52,0,-78,4,SamplePoints,4094.283028
53,0,-78,3,SamplePoints,4097.38701
54,0,-78,2,SamplePoints,4099.761836
55,0,-78,1,SamplePoints,4099.620358
56,0,-78,5,SamplePoints,4090.398386
