OBJECTID,lat,lon,Sample_ID,SampleType,Z
1,None,None,1,upstream_pourpoints,4105.888763
2,None,None,2,upstream_pourpoints,4104.511737
3,None,None,3,upstream_pourpoints,4095.849504
4,None,None,4,upstream_pourpoints,4093.813564
5,None,None,5,upstream_pourpoints,4090.968891
6,None,None,6,upstream_pourpoints,4089.241516
7,None,None,7,upstream_pourpoints,4087.42532
8,None,None,8,upstream_pourpoints,4083.940608
9,None,None,9,upstream_pourpoints,4081.369525
10,None,None,10,upstream_pourpoints,4076.977283
11,None,None,11,upstream_pourpoints,4076.027301
12,None,None,12,upstream_pourpoints,4074.77132
13,None,None,13,upstream_pourpoints,4073.584098
14,0,-78,13,SamplePoints,4068.51448
15,0,-78,12,SamplePoints,4074.382816
16,0,-78,11,SamplePoints,4075.523647
17,0,-78,9,SamplePoints,4079.617157
18,0,-78,10,SamplePoints,4076.441964
19,0,-78,8,SamplePoints,4081.825071
20,0,-78,7,SamplePoints,4085.402766
21,0,-78,6,SamplePoints,4087.630456
22,0,-78,5,SamplePoints,4089.235519
23,0,-78,4,SamplePoints,4092.099653
24,0,-78,1,SamplePoints,4102.622366
25,0,-78,3,SamplePoints,4094.537159
26,0,-78,2,SamplePoints,4101.204909
