Device Name:,,OM-CP-VOLT101A
Device Description:,,Voltage Data Logger
Serial Number:,,R37298
Device ID:,,SynopticNew
,,
,,Channel 1
Date,Time,Voltage (ppm)
7/9/2021,9:30:00 AM,212.76
7/9/2021,9:30:05 AM,212
7/9/2021,9:30:10 AM,211.25
7/9/2021,9:30:15 AM,210.5
7/9/2021,9:30:20 AM,209
7/9/2021,9:30:25 AM,209
7/9/2021,9:30:30 AM,206.74
7/9/2021,9:30:35 AM,204.99
7/9/2021,9:30:40 AM,204.49
7/9/2021,9:30:45 AM,203.99
7/9/2021,9:30:50 AM,203.99
7/9/2021,9:30:55 AM,203.99
7/9/2021,9:31:00 AM,203.73
7/9/2021,9:31:05 AM,204.49
7/9/2021,9:31:10 AM,203.73
7/9/2021,9:31:15 AM,203.99
7/9/2021,9:31:20 AM,203.99
7/9/2021,9:31:25 AM,203.99
7/9/2021,9:31:30 AM,204.24
7/9/2021,9:31:35 AM,203.73
7/9/2021,9:31:40 AM,204.49
7/9/2021,9:31:45 AM,203.99
7/9/2021,9:31:50 AM,203.99
7/9/2021,9:31:55 AM,203.99
7/9/2021,9:32:00 AM,203.73
7/9/2021,9:32:05 AM,204.49
7/9/2021,9:32:10 AM,203.73
7/9/2021,9:32:15 AM,204.24
7/9/2021,9:32:20 AM,203.99
7/9/2021,9:32:25 AM,205.24
7/9/2021,9:32:30 AM,206.74
7/9/2021,9:32:35 AM,206.24
7/9/2021,9:32:40 AM,206.99
7/9/2021,9:32:45 AM,207.49
7/9/2021,9:32:50 AM,207.74
7/9/2021,9:32:55 AM,207.74
7/9/2021,9:33:00 AM,207.74
7/9/2021,9:33:05 AM,206.74
7/9/2021,9:33:10 AM,205.99
7/9/2021,9:33:15 AM,205.49
7/9/2021,9:33:20 AM,205.24
7/9/2021,9:33:25 AM,205.24
7/9/2021,9:33:30 AM,203.99
7/9/2021,9:33:35 AM,203.73
7/9/2021,9:33:40 AM,203.23
7/9/2021,9:33:45 AM,202.48
7/9/2021,9:33:50 AM,202.73
7/9/2021,9:33:55 AM,202.73
7/9/2021,9:34:00 AM,202.73
7/9/2021,9:34:05 AM,202.98
7/9/2021,9:34:10 AM,202.23
7/9/2021,9:34:15 AM,203.23
7/9/2021,9:34:20 AM,202.73
7/9/2021,9:34:25 AM,202.73
7/9/2021,9:34:30 AM,202.73
7/9/2021,9:34:35 AM,202.73
7/9/2021,9:34:40 AM,202.98
7/9/2021,9:34:45 AM,201.23
7/9/2021,9:34:50 AM,201.73
7/9/2021,9:34:55 AM,201.48
7/9/2021,9:35:00 AM,201.48
7/9/2021,9:35:05 AM,203.99
7/9/2021,9:35:10 AM,206.24
7/9/2021,9:35:15 AM,209.5
7/9/2021,9:35:20 AM,213.76
7/9/2021,9:35:25 AM,220.27
7/9/2021,9:35:30 AM,222.78
7/9/2021,9:35:35 AM,224.03
7/9/2021,9:35:40 AM,224.28
7/9/2021,9:35:45 AM,223.78
7/9/2021,9:35:50 AM,224.53
7/9/2021,9:35:55 AM,224.03
7/9/2021,9:36:00 AM,225.29
7/9/2021,9:36:05 AM,225.29
7/9/2021,9:36:10 AM,225.29
7/9/2021,9:36:15 AM,225.79
7/9/2021,9:36:20 AM,233.81
7/9/2021,9:36:25 AM,238.07
7/9/2021,9:36:30 AM,243.08
7/9/2021,9:36:35 AM,246.09
7/9/2021,9:36:40 AM,248.09
7/9/2021,9:36:45 AM,248.84
7/9/2021,9:36:50 AM,247.09
7/9/2021,9:36:55 AM,241.57
7/9/2021,9:37:00 AM,240.57
7/9/2021,9:37:05 AM,239.07
7/9/2021,9:37:10 AM,239.07
7/9/2021,9:37:15 AM,238.32
7/9/2021,9:37:20 AM,237.56
7/9/2021,9:37:25 AM,241.83
7/9/2021,9:37:30 AM,244.33
7/9/2021,9:37:35 AM,247.84
7/9/2021,9:37:40 AM,249.09
7/9/2021,9:37:45 AM,248.84
7/9/2021,9:37:50 AM,249.59
7/9/2021,9:37:55 AM,248.84
7/9/2021,9:38:00 AM,249.34
7/9/2021,9:38:05 AM,247.84
7/9/2021,9:38:10 AM,249.09
7/9/2021,9:38:15 AM,253.1
7/9/2021,9:38:20 AM,258.87
7/9/2021,9:38:25 AM,264.63
7/9/2021,9:38:30 AM,267.89
7/9/2021,9:38:35 AM,271.14
7/9/2021,9:38:40 AM,273.15
7/9/2021,9:38:45 AM,272.9
7/9/2021,9:38:50 AM,273.4
7/9/2021,9:38:55 AM,272.65
7/9/2021,9:39:00 AM,270.64
7/9/2021,9:39:05 AM,268.14
7/9/2021,9:39:10 AM,266.63
7/9/2021,9:39:15 AM,265.63
7/9/2021,9:39:20 AM,265.13
7/9/2021,9:39:25 AM,264.63
7/9/2021,9:39:30 AM,262.88
7/9/2021,9:39:35 AM,263.13
7/9/2021,9:39:40 AM,263.13
7/9/2021,9:39:45 AM,261.62
7/9/2021,9:39:50 AM,262.12
7/9/2021,9:39:55 AM,261.37
7/9/2021,9:40:00 AM,261.87
7/9/2021,9:40:05 AM,261.87
7/9/2021,9:40:10 AM,260.37
7/9/2021,9:40:15 AM,260.62
7/9/2021,9:40:20 AM,256.36
7/9/2021,9:40:25 AM,254.61
7/9/2021,9:40:30 AM,251.6
7/9/2021,9:40:35 AM,250.6
7/9/2021,9:40:40 AM,250.6
7/9/2021,9:40:45 AM,249.09
7/9/2021,9:40:50 AM,249.59
7/9/2021,9:40:55 AM,246.34
7/9/2021,9:41:00 AM,245.58
7/9/2021,9:41:05 AM,242.83
7/9/2021,9:41:10 AM,241.57
7/9/2021,9:41:15 AM,239.32
7/9/2021,9:41:20 AM,235.06
7/9/2021,9:41:25 AM,230.8
7/9/2021,9:41:30 AM,226.29
7/9/2021,9:41:35 AM,224.03
7/9/2021,9:41:40 AM,224.03
7/9/2021,9:41:45 AM,222.78
7/9/2021,9:41:50 AM,222.03
7/9/2021,9:41:55 AM,221.28
7/9/2021,9:42:00 AM,220.52
7/9/2021,9:42:05 AM,220.27
7/9/2021,9:42:10 AM,219.02
7/9/2021,9:42:15 AM,219.27
7/9/2021,9:42:20 AM,220.02
7/9/2021,9:42:25 AM,222.03
7/9/2021,9:42:30 AM,225.29
7/9/2021,9:42:35 AM,231.8
7/9/2021,9:42:40 AM,236.56
7/9/2021,9:42:45 AM,240.07
7/9/2021,9:42:50 AM,242.08
7/9/2021,9:42:55 AM,245.08
7/9/2021,9:43:00 AM,248.09
7/9/2021,9:43:05 AM,251.6
7/9/2021,9:43:10 AM,254.1
7/9/2021,9:43:15 AM,255.61
7/9/2021,9:43:20 AM,255.11
7/9/2021,9:43:25 AM,254.61
7/9/2021,9:43:30 AM,254.1
7/9/2021,9:43:35 AM,254.1
7/9/2021,9:43:40 AM,252.85
7/9/2021,9:43:45 AM,252.85
7/9/2021,9:43:50 AM,252.1
7/9/2021,9:43:55 AM,251.35
7/9/2021,9:44:00 AM,251.85
7/9/2021,9:44:05 AM,251.6
7/9/2021,9:44:10 AM,251.6
7/9/2021,9:44:15 AM,251.85
7/9/2021,9:44:20 AM,250.09
7/9/2021,9:44:25 AM,250.85
7/9/2021,9:44:30 AM,250.35
7/9/2021,9:44:35 AM,250.35
7/9/2021,9:44:40 AM,250.6
7/9/2021,9:44:45 AM,250.35
7/9/2021,9:44:50 AM,250.85
7/9/2021,9:44:55 AM,248.84
7/9/2021,9:45:00 AM,249.09
7/9/2021,9:45:05 AM,249.09
7/9/2021,9:45:10 AM,250.35
7/9/2021,9:45:15 AM,251.85
7/9/2021,9:45:20 AM,251.35
7/9/2021,9:45:25 AM,258.36
7/9/2021,9:45:30 AM,263.38
7/9/2021,9:45:35 AM,270.64
7/9/2021,9:45:40 AM,275.4
7/9/2021,9:45:45 AM,275.4
7/9/2021,9:45:50 AM,277.16
7/9/2021,9:45:55 AM,276.66
7/9/2021,9:46:00 AM,276.91
7/9/2021,9:46:05 AM,276.91
7/9/2021,9:46:10 AM,275.4
7/9/2021,9:46:15 AM,277.16
7/9/2021,9:46:20 AM,278.91
7/9/2021,9:46:25 AM,279.41
7/9/2021,9:46:30 AM,279.41
7/9/2021,9:46:35 AM,278.16
7/9/2021,9:46:40 AM,273.15
7/9/2021,9:46:45 AM,269.14
7/9/2021,9:46:50 AM,269.64
7/9/2021,9:46:55 AM,266.63
7/9/2021,9:47:00 AM,264.38
7/9/2021,9:47:05 AM,261.87
7/9/2021,9:47:10 AM,261.62
7/9/2021,9:47:15 AM,262.12
7/9/2021,9:47:20 AM,261.37
7/9/2021,9:47:25 AM,261.87
7/9/2021,9:47:30 AM,261.87
7/9/2021,9:47:35 AM,261.62
7/9/2021,9:47:40 AM,260.62
7/9/2021,9:47:45 AM,260.12
7/9/2021,9:47:50 AM,259.62
7/9/2021,9:47:55 AM,259.12
7/9/2021,9:48:00 AM,254.1
7/9/2021,9:48:05 AM,251.85
7/9/2021,9:48:10 AM,248.84
7/9/2021,9:48:15 AM,248.34
7/9/2021,9:48:20 AM,247.59
7/9/2021,9:48:25 AM,247.84
7/9/2021,9:48:30 AM,246.59
7/9/2021,9:48:35 AM,246.59
7/9/2021,9:48:40 AM,245.58
7/9/2021,9:48:45 AM,243.83
7/9/2021,9:48:50 AM,244.33
7/9/2021,9:48:55 AM,244.08
7/9/2021,9:49:00 AM,244.08
7/9/2021,9:49:05 AM,244.33
7/9/2021,9:49:10 AM,246.34
7/9/2021,9:49:15 AM,248.34
7/9/2021,9:49:20 AM,250.35
7/9/2021,9:49:25 AM,252.85
7/9/2021,9:49:30 AM,256.86
7/9/2021,9:49:35 AM,262.88
7/9/2021,9:49:40 AM,266.63
7/9/2021,9:49:45 AM,266.38
7/9/2021,9:49:50 AM,266.88
7/9/2021,9:49:55 AM,266.63
7/9/2021,9:50:00 AM,264.38
7/9/2021,9:50:05 AM,263.13
7/9/2021,9:50:10 AM,262.62
7/9/2021,9:50:15 AM,263.38
7/9/2021,9:50:20 AM,262.88
7/9/2021,9:50:25 AM,263.13
7/9/2021,9:50:30 AM,265.63
7/9/2021,9:50:35 AM,267.14
7/9/2021,9:50:40 AM,268.39
7/9/2021,9:50:45 AM,268.89
7/9/2021,9:50:50 AM,269.39
7/9/2021,9:50:55 AM,269.14
7/9/2021,9:51:00 AM,267.89
7/9/2021,9:51:05 AM,268.14
7/9/2021,9:51:10 AM,266.38
7/9/2021,9:51:15 AM,262.12
7/9/2021,9:51:20 AM,256.61
7/9/2021,9:51:25 AM,250.35
7/9/2021,9:51:30 AM,245.33
7/9/2021,9:51:35 AM,240.32
7/9/2021,9:51:40 AM,236.06
7/9/2021,9:51:45 AM,235.06
7/9/2021,9:51:50 AM,234.06
7/9/2021,9:51:55 AM,234.06
7/9/2021,9:52:00 AM,236.56
7/9/2021,9:52:05 AM,239.32
7/9/2021,9:52:10 AM,242.58
7/9/2021,9:52:15 AM,244.58
7/9/2021,9:52:20 AM,245.33
7/9/2021,9:52:25 AM,247.84
7/9/2021,9:52:30 AM,253.1
7/9/2021,9:52:35 AM,255.61
7/9/2021,9:52:40 AM,263.38
7/9/2021,9:52:45 AM,276.16
7/9/2021,9:52:50 AM,281.92
7/9/2021,9:52:55 AM,290.69
7/9/2021,9:53:00 AM,296.96
7/9/2021,9:53:05 AM,312.24
7/9/2021,9:53:10 AM,326.53
7/9/2021,9:53:15 AM,341.06
7/9/2021,9:53:20 AM,347.08
7/9/2021,9:53:25 AM,350.83
7/9/2021,9:53:30 AM,351.08
7/9/2021,9:53:35 AM,350.58
7/9/2021,9:53:40 AM,342.06
7/9/2021,9:53:45 AM,328.28
7/9/2021,9:53:50 AM,314.75
7/9/2021,9:53:55 AM,306.98
7/9/2021,9:54:00 AM,295.7
7/9/2021,9:54:05 AM,290.94
7/9/2021,9:54:10 AM,283.93
7/9/2021,9:54:15 AM,281.92
7/9/2021,9:54:20 AM,279.41
7/9/2021,9:54:25 AM,279.41
7/9/2021,9:54:30 AM,278.16
7/9/2021,9:54:35 AM,277.66
7/9/2021,9:54:40 AM,278.41
7/9/2021,9:54:45 AM,276.91
7/9/2021,9:54:50 AM,276.91
7/9/2021,9:54:55 AM,275.66
7/9/2021,9:55:00 AM,270.39
7/9/2021,9:55:05 AM,262.12
7/9/2021,9:55:10 AM,255.36
7/9/2021,9:55:15 AM,244.08
7/9/2021,9:55:20 AM,239.07
7/9/2021,9:55:25 AM,236.56
7/9/2021,9:55:30 AM,235.56
7/9/2021,9:55:35 AM,232.55
7/9/2021,9:55:40 AM,231.05
7/9/2021,9:55:45 AM,227.79
7/9/2021,9:55:50 AM,226.54
7/9/2021,9:55:55 AM,225.54
7/9/2021,9:56:00 AM,225.04
7/9/2021,9:56:05 AM,225.79
7/9/2021,9:56:10 AM,225.29
7/9/2021,9:56:15 AM,224.03
7/9/2021,9:56:20 AM,224.03
7/9/2021,9:56:25 AM,223.78
7/9/2021,9:56:30 AM,222.03
7/9/2021,9:56:35 AM,218.52
7/9/2021,9:56:40 AM,216.51
7/9/2021,9:56:45 AM,215.26
7/9/2021,9:56:50 AM,214.01
7/9/2021,9:56:55 AM,213.01
7/9/2021,9:57:00 AM,209.75
7/9/2021,9:57:05 AM,209.25
7/9/2021,9:57:10 AM,209
7/9/2021,9:57:15 AM,207.74
7/9/2021,9:57:20 AM,207.74
7/9/2021,9:57:25 AM,204.99
7/9/2021,9:57:30 AM,203.23
7/9/2021,9:57:35 AM,198.72
7/9/2021,9:57:40 AM,196.97
7/9/2021,9:57:45 AM,196.47
7/9/2021,9:57:50 AM,196.22
7/9/2021,9:57:55 AM,196.72
7/9/2021,9:58:00 AM,195.97
7/9/2021,9:58:05 AM,197.72
7/9/2021,9:58:10 AM,198.97
7/9/2021,9:58:15 AM,198.97
7/9/2021,9:58:20 AM,199.22
7/9/2021,9:58:25 AM,198.47
7/9/2021,9:58:30 AM,199.22
7/9/2021,9:58:35 AM,198.97
7/9/2021,9:58:40 AM,198.97
7/9/2021,9:58:45 AM,198.97
7/9/2021,9:58:50 AM,198.72
7/9/2021,9:58:55 AM,197.97
7/9/2021,9:59:00 AM,197.47
7/9/2021,9:59:05 AM,196.47
7/9/2021,9:59:10 AM,193.96
7/9/2021,9:59:15 AM,192.46
7/9/2021,9:59:20 AM,192.96
7/9/2021,9:59:25 AM,192.21
7/9/2021,9:59:30 AM,192.71
7/9/2021,9:59:35 AM,192.71
7/9/2021,9:59:40 AM,192.71
7/9/2021,9:59:45 AM,192.71
7/9/2021,9:59:50 AM,190.95
7/9/2021,9:59:55 AM,191.71
7/9/2021,10:00:00 AM,191.2
7/9/2021,10:00:05 AM,190.2
7/9/2021,10:00:10 AM,190.2
7/9/2021,10:00:15 AM,189.95
7/9/2021,10:00:20 AM,190.45
7/9/2021,10:00:25 AM,189.7
7/9/2021,10:00:30 AM,190.2
7/9/2021,10:00:35 AM,190.2
7/9/2021,10:00:40 AM,189.95
7/9/2021,10:00:45 AM,190.45
7/9/2021,10:00:50 AM,189.7
7/9/2021,10:00:55 AM,190.45
7/9/2021,10:01:00 AM,190.2
7/9/2021,10:01:05 AM,190.2
7/9/2021,10:01:10 AM,190.2
7/9/2021,10:01:15 AM,189.7
7/9/2021,10:01:20 AM,190.45
7/9/2021,10:01:25 AM,188.7
7/9/2021,10:01:30 AM,187.7
7/9/2021,10:01:35 AM,186.44
7/9/2021,10:01:40 AM,186.19
7/9/2021,10:01:45 AM,186.69
7/9/2021,10:01:50 AM,185.94
7/9/2021,10:01:55 AM,186.44
7/9/2021,10:02:00 AM,187.7
7/9/2021,10:02:05 AM,187.7
7/9/2021,10:02:10 AM,186.44
7/9/2021,10:02:15 AM,185.94
7/9/2021,10:02:20 AM,186.69
7/9/2021,10:02:25 AM,186.19
7/9/2021,10:02:30 AM,187.7
7/9/2021,10:02:35 AM,187.7
7/9/2021,10:02:40 AM,187.45
7/9/2021,10:02:45 AM,188.95
7/9/2021,10:02:50 AM,188.7
7/9/2021,10:02:55 AM,190.2
7/9/2021,10:03:00 AM,190.2
7/9/2021,10:03:05 AM,192.46
7/9/2021,10:03:10 AM,194.21
7/9/2021,10:03:15 AM,194.71
7/9/2021,10:03:20 AM,197.97
7/9/2021,10:03:25 AM,200.23
