Device Name:,,OM-CP-VOLT101A,,,,,,,,
Device Description:,,Voltage Data Logger,,,,,,,,
Serial Number:,,R37298,,,,,,,,
Device ID:,,SynopticNew,,,,,,,,
,,,,,,,,,,
,,Channel 1,,,,,,,,
Date,Time,Voltage (ppm),Tract,Description,Point,XCoordinate,Ycoordinate,WaterSample,Notes,Notes_2
6/29/2021,9:55:58 AM,564.84,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,9:56:03 AM,563.09,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,9:56:08 AM,562.59,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,9:56:13 AM,560.83,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,9:56:18 AM,559.58,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,9:56:23 AM,557.07,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,9:56:28 AM,557.07,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,9:56:33 AM,556.32,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,9:56:38 AM,552.81,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,9:56:43 AM,552.31,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,9:56:48 AM,550.81,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,9:56:53 AM,550.81,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,9:56:58 AM,548.55,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,9:57:03 AM,548.05,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,9:57:08 AM,546.05,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,9:57:13 AM,544.29,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,9:57:18 AM,543.29,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,9:57:23 AM,542.04,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,9:57:28 AM,539.53,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,9:57:33 AM,538.28,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,9:57:38 AM,535.27,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,9:57:43 AM,534.77,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,9:57:48 AM,533.02,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,9:57:53 AM,541.54,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,9:57:58 AM,607.7,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,9:58:03 AM,677.86,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,9:58:08 AM,711.44,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,9:58:13 AM,759.56,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,9:58:18 AM,787.12,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
6/29/2021,9:58:23 AM,820.95,1,"Starting after last point on 2021-06-23 above road, near guard station",1,NA,NA,957,NA,
