Serial_number:
2020435
Project ID:

Location:
BelowLake_Downstream
BelowLake_Downstream
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,BelowLake_Downstream,TEMPERATURE
8/20/2021,12:00:00 pm,0,63.2656,7.341
8/20/2021,12:15:00 pm,0,63.1971,7.596
8/20/2021,12:30:00 pm,0,63.1900,7.801
8/20/2021,12:45:00 pm,0,63.1423,8.004
8/20/2021,01:00:00 pm,0,63.1644,8.209
8/20/2021,01:15:00 pm,0,63.1800,8.422
8/20/2021,01:30:00 pm,0,63.1892,8.576
8/20/2021,01:45:00 pm,0,63.1775,8.701
8/20/2021,02:00:00 pm,0,63.1776,9.020
8/20/2021,02:15:00 pm,0,63.1861,9.296
8/20/2021,02:30:00 pm,0,63.1797,9.454
8/20/2021,02:45:00 pm,0,63.0634,9.655
8/20/2021,03:00:00 pm,0,63.0786,9.899
8/20/2021,03:15:00 pm,0,63.0835,10.158
8/20/2021,03:30:00 pm,0,63.0986,10.340
8/20/2021,03:45:00 pm,0,63.1053,10.412
8/20/2021,04:00:00 pm,0,63.0975,10.451
8/20/2021,04:15:00 pm,0,63.0908,10.481
8/20/2021,04:30:00 pm,0,63.0911,10.470
8/20/2021,04:45:00 pm,0,63.0983,10.413
8/20/2021,05:00:00 pm,0,63.0988,10.299
8/20/2021,05:15:00 pm,0,63.0836,10.158
8/20/2021,05:30:00 pm,0,63.0649,10.017
8/20/2021,05:45:00 pm,0,63.0736,9.850
8/20/2021,06:00:00 pm,0,63.0628,9.627
8/20/2021,06:15:00 pm,0,63.0525,9.384
8/20/2021,06:30:00 pm,0,63.0320,9.121
8/20/2021,06:45:00 pm,0,63.0029,8.816
8/20/2021,07:00:00 pm,0,62.9772,8.502
8/20/2021,07:15:00 pm,0,62.9607,8.209
8/20/2021,07:30:00 pm,0,62.9555,7.955
8/20/2021,07:45:00 pm,0,62.9594,7.726
8/20/2021,08:00:00 pm,0,62.9625,7.520
8/20/2021,08:15:00 pm,0,62.9633,7.336
8/20/2021,08:30:00 pm,0,62.9679,7.173
8/20/2021,08:45:00 pm,0,62.9689,7.021
8/20/2021,09:00:00 pm,0,62.9654,6.860
8/20/2021,09:15:00 pm,0,62.9814,6.701
8/20/2021,09:30:00 pm,0,62.9909,6.550
8/20/2021,09:45:00 pm,0,63.0044,6.409
8/20/2021,10:00:00 pm,0,63.0109,6.282
8/20/2021,10:15:00 pm,0,63.0214,6.149
8/20/2021,10:30:00 pm,0,63.0164,6.009
8/20/2021,10:45:00 pm,0,63.0103,5.887
8/20/2021,11:00:00 pm,0,63.0123,5.775
8/20/2021,11:15:00 pm,0,63.0065,5.657
8/20/2021,11:30:00 pm,0,63.0067,5.546
8/20/2021,11:45:00 pm,0,63.0076,5.448
8/21/2021,12:00:00 am,0,62.9977,5.364
8/21/2021,12:15:00 am,0,62.9800,5.278
8/21/2021,12:30:00 am,0,62.9737,5.195
8/21/2021,12:45:00 am,0,62.9655,5.116
8/21/2021,01:00:00 am,0,62.9436,5.044
8/21/2021,01:15:00 am,0,62.9227,4.978
8/21/2021,01:30:00 am,0,62.9084,4.924
8/21/2021,01:45:00 am,0,62.8904,4.878
8/21/2021,02:00:00 am,0,62.8874,4.836
8/21/2021,02:15:00 am,0,62.8759,4.793
8/21/2021,02:30:00 am,0,62.8586,4.754
8/21/2021,02:45:00 am,0,62.8401,4.720
8/21/2021,03:00:00 am,0,62.8276,4.675
8/21/2021,03:15:00 am,0,62.8156,4.628
8/21/2021,03:30:00 am,0,62.8034,4.580
8/21/2021,03:45:00 am,0,62.7952,4.532
8/21/2021,04:00:00 am,0,62.7824,4.480
8/21/2021,04:15:00 am,0,62.7758,4.424
8/21/2021,04:30:00 am,0,62.7767,4.367
8/21/2021,04:45:00 am,0,62.7737,4.322
8/21/2021,05:00:00 am,0,62.7727,4.285
8/21/2021,05:15:00 am,0,62.7852,4.264
8/21/2021,05:30:00 am,0,62.7896,4.246
8/21/2021,05:45:00 am,0,62.8006,4.225
8/21/2021,06:00:00 am,0,62.8001,4.207
8/21/2021,06:15:00 am,0,62.8090,4.198
8/21/2021,06:30:00 am,0,62.8102,4.198
8/21/2021,06:45:00 am,0,62.8137,4.213
8/21/2021,07:00:00 am,0,62.8207,4.237
8/21/2021,07:15:00 am,0,62.8345,4.260
8/21/2021,07:30:00 am,0,62.8427,4.280
8/21/2021,07:45:00 am,0,62.8674,4.297
8/21/2021,08:00:00 am,0,62.8857,4.328
8/21/2021,08:15:00 am,0,62.9063,4.374
8/21/2021,08:30:00 am,0,62.9243,4.421
8/21/2021,08:45:00 am,0,62.9394,4.477
8/21/2021,09:00:00 am,0,62.9542,4.531
8/21/2021,09:15:00 am,0,62.9618,4.606
8/21/2021,09:30:00 am,0,62.9764,4.725
8/21/2021,09:45:00 am,0,62.9919,4.840
8/21/2021,10:00:00 am,0,63.0097,4.957
8/21/2021,10:15:00 am,0,63.0341,5.120
8/21/2021,10:30:00 am,0,63.0523,5.302
8/21/2021,10:45:00 am,0,63.0655,5.438
8/21/2021,11:00:00 am,0,63.0755,5.584
8/21/2021,11:15:00 am,0,63.0786,5.757
8/21/2021,11:30:00 am,0,63.0950,6.027
8/21/2021,11:45:00 am,0,63.1088,6.455
8/21/2021,12:00:00 pm,0,63.1174,6.819
8/21/2021,12:15:00 pm,0,63.0085,7.064
8/21/2021,12:30:00 pm,0,63.0387,7.363
8/21/2021,12:45:00 pm,0,63.0738,7.679
8/21/2021,01:00:00 pm,0,63.0685,7.822
8/21/2021,01:15:00 pm,0,63.0697,7.898
8/21/2021,01:30:00 pm,0,63.0547,7.943
8/21/2021,01:45:00 pm,0,63.0420,7.960
8/21/2021,02:00:00 pm,0,63.0289,7.990
8/21/2021,02:15:00 pm,0,63.0126,8.033
8/21/2021,02:30:00 pm,0,63.0110,8.161
8/21/2021,02:45:00 pm,0,63.0052,8.314
8/21/2021,03:00:00 pm,0,63.0151,8.432
8/21/2021,03:15:00 pm,0,62.9978,8.423
8/21/2021,03:30:00 pm,0,62.9837,8.396
8/21/2021,03:45:00 pm,0,62.9892,8.391
