Serial_number:
2020437
Project ID:

Location:
BelowLake_upstream
BelowLake_upstream
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,BelowLake_upstream,TEMPERATURE
8/20/2021,12:00:00 pm,0,65.2042,5.753
8/20/2021,12:15:00 pm,0,65.1942,5.748
8/20/2021,12:30:00 pm,0,65.1783,5.742
8/20/2021,12:45:00 pm,0,65.1731,5.739
8/20/2021,01:00:00 pm,0,65.1602,5.735
8/20/2021,01:15:00 pm,0,65.1521,5.734
8/20/2021,01:30:00 pm,0,65.1464,5.731
8/20/2021,01:45:00 pm,0,65.1305,5.731
8/20/2021,02:00:00 pm,0,65.1030,5.731
8/20/2021,02:15:00 pm,0,65.0949,5.732
8/20/2021,02:30:00 pm,0,65.0814,5.732
8/20/2021,02:45:00 pm,0,65.0587,5.734
8/20/2021,03:00:00 pm,0,65.0313,5.737
8/20/2021,03:15:00 pm,0,65.0049,5.740
8/20/2021,03:30:00 pm,0,65.0031,5.745
8/20/2021,03:45:00 pm,0,65.0030,5.749
8/20/2021,04:00:00 pm,0,65.0004,5.755
8/20/2021,04:15:00 pm,0,64.9914,5.762
8/20/2021,04:30:00 pm,0,64.9893,5.770
8/20/2021,04:45:00 pm,0,65.0035,5.778
8/20/2021,05:00:00 pm,0,65.0079,5.787
8/20/2021,05:15:00 pm,0,65.0084,5.796
8/20/2021,05:30:00 pm,0,65.0029,5.806
8/20/2021,05:45:00 pm,0,65.0192,5.818
8/20/2021,06:00:00 pm,0,65.0285,5.830
8/20/2021,06:15:00 pm,0,65.0294,5.843
8/20/2021,06:30:00 pm,0,65.0442,5.856
8/20/2021,06:45:00 pm,0,65.0498,5.870
8/20/2021,07:00:00 pm,0,65.0629,5.885
8/20/2021,07:15:00 pm,0,65.0781,5.900
8/20/2021,07:30:00 pm,0,65.0860,5.916
8/20/2021,07:45:00 pm,0,65.0911,5.932
8/20/2021,08:00:00 pm,0,65.1010,5.949
8/20/2021,08:15:00 pm,0,65.1072,5.965
8/20/2021,08:30:00 pm,0,65.1129,5.981
8/20/2021,08:45:00 pm,0,65.1235,5.998
8/20/2021,09:00:00 pm,0,65.1310,6.015
8/20/2021,09:15:00 pm,0,65.1481,6.030
8/20/2021,09:30:00 pm,0,65.1640,6.046
8/20/2021,09:45:00 pm,0,65.1793,6.061
8/20/2021,10:00:00 pm,0,65.1851,6.076
8/20/2021,10:15:00 pm,0,65.1940,6.090
8/20/2021,10:30:00 pm,0,65.1952,6.104
8/20/2021,10:45:00 pm,0,65.1963,6.116
8/20/2021,11:00:00 pm,0,65.2037,6.129
8/20/2021,11:15:00 pm,0,65.2008,6.139
8/20/2021,11:30:00 pm,0,65.2039,6.151
8/20/2021,11:45:00 pm,0,65.2053,6.160
8/21/2021,12:00:00 am,0,65.2023,6.169
8/21/2021,12:15:00 am,0,65.1784,6.177
8/21/2021,12:30:00 am,0,65.1836,6.185
8/21/2021,12:45:00 am,0,65.1731,6.191
8/21/2021,01:00:00 am,0,65.1463,6.197
8/21/2021,01:15:00 am,0,65.1286,6.202
8/21/2021,01:30:00 am,0,65.1149,6.207
8/21/2021,01:45:00 am,0,65.0992,6.210
8/21/2021,02:00:00 am,0,65.0953,6.213
8/21/2021,02:15:00 am,0,65.0856,6.216
8/21/2021,02:30:00 am,0,65.0685,6.218
8/21/2021,02:45:00 am,0,65.0526,6.219
8/21/2021,03:00:00 am,0,65.0439,6.219
8/21/2021,03:15:00 am,0,65.0336,6.218
8/21/2021,03:30:00 am,0,65.0243,6.217
8/21/2021,03:45:00 am,0,65.0160,6.217
8/21/2021,04:00:00 am,0,65.0034,6.215
8/21/2021,04:15:00 am,0,65.0049,6.213
8/21/2021,04:30:00 am,0,65.0047,6.210
8/21/2021,04:45:00 am,0,65.0075,6.207
8/21/2021,05:00:00 am,0,65.0085,6.203
8/21/2021,05:15:00 am,0,65.0225,6.200
8/21/2021,05:30:00 am,0,65.0200,6.197
8/21/2021,05:45:00 am,0,65.0398,6.193
8/21/2021,06:00:00 am,0,65.0325,6.189
8/21/2021,06:15:00 am,0,65.0354,6.185
