Serial_number:
2020442
Project ID:

Location:

LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/10/2021,01:45:00 pm,0,6.6867,16.788
6/10/2021,02:00:00 pm,0,6.6738,9.293
6/10/2021,02:15:00 pm,0,6.6713,9.099
6/10/2021,02:30:00 pm,0,6.6718,9.069
6/10/2021,02:45:00 pm,0,6.6690,9.083
6/10/2021,03:00:00 pm,0,6.6687,9.110
6/10/2021,03:15:00 pm,0,6.6690,9.144
6/10/2021,03:30:00 pm,0,6.6691,9.184
6/10/2021,03:45:00 pm,0,6.6675,9.226
6/10/2021,04:00:00 pm,0,6.6654,9.269
6/10/2021,04:15:00 pm,0,6.6622,9.312
6/10/2021,04:30:00 pm,0,6.6625,9.356
6/10/2021,04:45:00 pm,0,6.6642,9.395
6/10/2021,05:00:00 pm,0,6.6663,9.435
6/10/2021,05:15:00 pm,0,6.6667,9.474
6/10/2021,05:30:00 pm,0,6.6670,9.510
6/10/2021,05:45:00 pm,0,6.6686,9.546
6/10/2021,06:00:00 pm,0,6.6691,9.580
6/10/2021,06:15:00 pm,0,6.6696,9.614
6/10/2021,06:30:00 pm,0,6.6706,9.645
6/10/2021,06:45:00 pm,0,6.6731,9.674
6/10/2021,07:00:00 pm,0,6.6734,9.701
6/10/2021,07:15:00 pm,0,6.6745,9.729
6/10/2021,07:30:00 pm,0,6.6756,9.754
6/10/2021,07:45:00 pm,0,6.6765,9.777
6/10/2021,08:00:00 pm,0,6.6775,9.799
6/10/2021,08:15:00 pm,0,6.6785,9.820
6/10/2021,08:30:00 pm,0,6.6805,9.839
6/10/2021,08:45:00 pm,0,6.6804,9.856
6/10/2021,09:00:00 pm,0,6.6810,9.870
6/10/2021,09:15:00 pm,0,6.6813,9.885
6/10/2021,09:30:00 pm,0,6.6808,9.894
6/10/2021,09:45:00 pm,0,6.6804,9.904
6/10/2021,10:00:00 pm,0,6.6813,9.909
6/10/2021,10:15:00 pm,0,6.6827,9.915
6/10/2021,10:30:00 pm,0,6.6823,9.916
6/10/2021,10:45:00 pm,0,6.6818,9.917
6/10/2021,11:00:00 pm,0,6.6805,9.915
6/10/2021,11:15:00 pm,0,6.6792,9.912
6/10/2021,11:30:00 pm,0,6.6779,9.905
6/10/2021,11:45:00 pm,0,6.6777,9.897
6/11/2021,12:00:00 am,0,6.6765,9.886
6/11/2021,12:15:00 am,0,6.6777,9.873
6/11/2021,12:30:00 am,0,6.6774,9.859
6/11/2021,12:45:00 am,0,6.6757,9.842
6/11/2021,01:00:00 am,0,6.6736,9.824
6/11/2021,01:15:00 am,0,6.6715,9.804
6/11/2021,01:30:00 am,0,6.6699,9.782
6/11/2021,01:45:00 am,0,6.6708,9.758
6/11/2021,02:00:00 am,0,6.6716,9.732
6/11/2021,02:15:00 am,0,6.6713,9.706
6/11/2021,02:30:00 am,0,6.6711,9.678
6/11/2021,02:45:00 am,0,6.6691,9.649
6/11/2021,03:00:00 am,0,6.6682,9.619
6/11/2021,03:15:00 am,0,6.6659,9.589
6/11/2021,03:30:00 am,0,6.6633,9.556
6/11/2021,03:45:00 am,0,6.6609,9.525
6/11/2021,04:00:00 am,0,6.6594,9.491
6/11/2021,04:15:00 am,0,6.6598,9.459
6/11/2021,04:30:00 am,0,6.6603,9.424
6/11/2021,04:45:00 am,0,6.6598,9.389
6/11/2021,05:00:00 am,0,6.6603,9.355
6/11/2021,05:15:00 am,0,6.6599,9.319
6/11/2021,05:30:00 am,0,6.6581,9.283
6/11/2021,05:45:00 am,0,6.6578,9.247
6/11/2021,06:00:00 am,0,6.6587,9.210
6/11/2021,06:15:00 am,0,6.6586,9.173
6/11/2021,06:30:00 am,0,6.6600,9.136
6/11/2021,06:45:00 am,0,6.6623,9.098
6/11/2021,07:00:00 am,0,6.6637,9.060
6/11/2021,07:15:00 am,0,6.6643,9.021
6/11/2021,07:30:00 am,0,6.6651,8.982
6/11/2021,07:45:00 am,0,6.6673,8.944
6/11/2021,08:00:00 am,0,6.6683,8.906
6/11/2021,08:15:00 am,0,6.6681,8.869
6/11/2021,08:30:00 am,0,6.6704,8.833
6/11/2021,08:45:00 am,0,6.6691,8.798
6/11/2021,09:00:00 am,0,6.6673,8.765
6/11/2021,09:15:00 am,0,6.6689,8.732
6/11/2021,09:30:00 am,0,6.6712,8.702
6/11/2021,09:45:00 am,0,6.6741,8.672
6/11/2021,10:00:00 am,0,6.6741,8.644
6/11/2021,10:15:00 am,0,6.6744,8.617
6/11/2021,10:30:00 am,0,6.6734,8.591
6/11/2021,10:45:00 am,0,6.6715,8.567
6/11/2021,11:00:00 am,0,6.6689,8.544
6/11/2021,11:15:00 am,0,6.6688,8.522
6/11/2021,11:30:00 am,0,6.6695,8.503
6/11/2021,11:45:00 am,0,6.6676,8.489
6/11/2021,12:00:00 pm,0,6.6679,8.477
6/11/2021,12:15:00 pm,0,6.6665,8.468
6/11/2021,12:30:00 pm,0,6.6663,8.463
6/11/2021,12:45:00 pm,0,6.6660,8.460
6/11/2021,01:00:00 pm,0,6.6654,8.461
6/11/2021,01:15:00 pm,0,6.6648,8.464
6/11/2021,01:30:00 pm,0,6.6631,8.471
6/11/2021,01:45:00 pm,0,6.6622,8.479
6/11/2021,02:00:00 pm,0,6.6611,8.490
6/11/2021,02:15:00 pm,0,6.6597,8.503
6/11/2021,02:30:00 pm,0,6.6589,8.518
6/11/2021,02:45:00 pm,0,6.6573,8.535
6/11/2021,03:00:00 pm,0,6.6561,8.555
6/11/2021,03:15:00 pm,0,6.6540,8.577
6/11/2021,03:30:00 pm,0,6.6535,8.602
6/11/2021,03:45:00 pm,0,6.6536,8.629
6/11/2021,04:00:00 pm,0,6.6544,8.657
6/11/2021,04:15:00 pm,0,6.6547,8.688
6/11/2021,04:30:00 pm,0,6.6553,8.718
6/11/2021,04:45:00 pm,0,6.6553,8.748
6/11/2021,05:00:00 pm,0,6.6562,8.779
6/11/2021,05:15:00 pm,0,6.6575,8.807
6/11/2021,05:30:00 pm,0,6.6576,8.835
6/11/2021,05:45:00 pm,0,6.6581,8.862
6/11/2021,06:00:00 pm,0,6.6578,8.887
6/11/2021,06:15:00 pm,0,6.6582,8.911
6/11/2021,06:30:00 pm,0,6.6581,8.933
6/11/2021,06:45:00 pm,0,6.6619,8.954
6/11/2021,07:00:00 pm,0,6.6638,8.973
6/11/2021,07:15:00 pm,0,6.6651,8.990
6/11/2021,07:30:00 pm,0,6.6655,9.005
