Serial_number:
2020432
Project ID:

Location:

LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/10/2021,01:45:00 pm,0,6.3829,17.549
6/10/2021,02:00:00 pm,0,7.2252,7.878
6/10/2021,02:15:00 pm,0,7.2214,7.779
6/10/2021,02:30:00 pm,0,7.2215,7.759
6/10/2021,02:45:00 pm,0,7.2186,7.748
6/10/2021,03:00:00 pm,0,7.2177,7.741
6/10/2021,03:15:00 pm,0,7.2179,7.737
6/10/2021,03:30:00 pm,0,7.2172,7.733
6/10/2021,03:45:00 pm,0,7.2162,7.730
6/10/2021,04:00:00 pm,0,7.2140,7.728
6/10/2021,04:15:00 pm,0,7.2111,7.727
6/10/2021,04:30:00 pm,0,7.2117,7.725
6/10/2021,04:45:00 pm,0,7.2134,7.724
6/10/2021,05:00:00 pm,0,7.2154,7.723
6/10/2021,05:15:00 pm,0,7.2153,7.721
6/10/2021,05:30:00 pm,0,7.2158,7.721
6/10/2021,05:45:00 pm,0,7.2176,7.720
6/10/2021,06:00:00 pm,0,7.2186,7.720
6/10/2021,06:15:00 pm,0,7.2192,7.719
6/10/2021,06:30:00 pm,0,7.2207,7.718
6/10/2021,06:45:00 pm,0,7.2226,7.718
6/10/2021,07:00:00 pm,0,7.2233,7.718
6/10/2021,07:15:00 pm,0,7.2243,7.718
6/10/2021,07:30:00 pm,0,7.2261,7.717
6/10/2021,07:45:00 pm,0,7.2264,7.717
6/10/2021,08:00:00 pm,0,7.2277,7.717
6/10/2021,08:15:00 pm,0,7.2291,7.715
6/10/2021,08:30:00 pm,0,7.2313,7.716
6/10/2021,08:45:00 pm,0,7.2311,7.716
6/10/2021,09:00:00 pm,0,7.2318,7.716
6/10/2021,09:15:00 pm,0,7.2320,7.716
6/10/2021,09:30:00 pm,0,7.2316,7.715
6/10/2021,09:45:00 pm,0,7.2317,7.715
6/10/2021,10:00:00 pm,0,7.2322,7.715
6/10/2021,10:15:00 pm,0,7.2336,7.715
6/10/2021,10:30:00 pm,0,7.2329,7.715
6/10/2021,10:45:00 pm,0,7.2322,7.715
6/10/2021,11:00:00 pm,0,7.2315,7.715
6/10/2021,11:15:00 pm,0,7.2303,7.715
6/10/2021,11:30:00 pm,0,7.2291,7.715
6/10/2021,11:45:00 pm,0,7.2286,7.714
6/11/2021,12:00:00 am,0,7.2282,7.714
6/11/2021,12:15:00 am,0,7.2288,7.714
6/11/2021,12:30:00 am,0,7.2285,7.714
6/11/2021,12:45:00 am,0,7.2267,7.714
6/11/2021,01:00:00 am,0,7.2247,7.714
6/11/2021,01:15:00 am,0,7.2229,7.714
6/11/2021,01:30:00 am,0,7.2208,7.714
6/11/2021,01:45:00 am,0,7.2223,7.714
6/11/2021,02:00:00 am,0,7.2232,7.714
6/11/2021,02:15:00 am,0,7.2227,7.714
6/11/2021,02:30:00 am,0,7.2232,7.715
6/11/2021,02:45:00 am,0,7.2204,7.714
6/11/2021,03:00:00 am,0,7.2189,7.714
6/11/2021,03:15:00 am,0,7.2179,7.714
6/11/2021,03:30:00 am,0,7.2150,7.714
6/11/2021,03:45:00 am,0,7.2120,7.714
6/11/2021,04:00:00 am,0,7.2118,7.714
6/11/2021,04:15:00 am,0,7.2127,7.714
6/11/2021,04:30:00 am,0,7.2132,7.714
6/11/2021,04:45:00 am,0,7.2122,7.714
6/11/2021,05:00:00 am,0,7.2131,7.713
6/11/2021,05:15:00 am,0,7.2129,7.714
6/11/2021,05:30:00 am,0,7.2122,7.714
6/11/2021,05:45:00 am,0,7.2119,7.713
6/11/2021,06:00:00 am,0,7.2132,7.714
6/11/2021,06:15:00 am,0,7.2129,7.714
6/11/2021,06:30:00 am,0,7.2141,7.713
6/11/2021,06:45:00 am,0,7.2171,7.714
6/11/2021,07:00:00 am,0,7.2182,7.713
6/11/2021,07:15:00 am,0,7.2182,7.714
6/11/2021,07:30:00 am,0,7.2202,7.714
6/11/2021,07:45:00 am,0,7.2235,7.713
6/11/2021,08:00:00 am,0,7.2254,7.713
6/11/2021,08:15:00 am,0,7.2251,7.714
6/11/2021,08:30:00 am,0,7.2278,7.713
6/11/2021,08:45:00 am,0,7.2258,7.713
6/11/2021,09:00:00 am,0,7.2246,7.713
6/11/2021,09:15:00 am,0,7.2269,7.713
6/11/2021,09:30:00 am,0,7.2287,7.713
6/11/2021,09:45:00 am,0,7.2318,7.713
6/11/2021,10:00:00 am,0,7.2316,7.713
6/11/2021,10:15:00 am,0,7.2317,7.713
6/11/2021,10:30:00 am,0,7.2312,7.713
6/11/2021,10:45:00 am,0,7.2296,7.713
6/11/2021,11:00:00 am,0,7.2268,7.712
6/11/2021,11:15:00 am,0,7.2276,7.712
6/11/2021,11:30:00 am,0,7.2279,7.713
6/11/2021,11:45:00 am,0,7.2259,7.713
6/11/2021,12:00:00 pm,0,7.2262,7.712
6/11/2021,12:15:00 pm,0,7.2250,7.712
6/11/2021,12:30:00 pm,0,7.2243,7.712
6/11/2021,12:45:00 pm,0,7.2246,7.712
6/11/2021,01:00:00 pm,0,7.2235,7.712
6/11/2021,01:15:00 pm,0,7.2229,7.712
6/11/2021,01:30:00 pm,0,7.2211,7.712
6/11/2021,01:45:00 pm,0,7.2201,7.712
6/11/2021,02:00:00 pm,0,7.2184,7.711
6/11/2021,02:15:00 pm,0,7.2175,7.711
6/11/2021,02:30:00 pm,0,7.2168,7.711
6/11/2021,02:45:00 pm,0,7.2163,7.711
6/11/2021,03:00:00 pm,0,7.2164,7.711
6/11/2021,03:15:00 pm,0,7.2143,7.710
6/11/2021,03:30:00 pm,0,7.2128,7.711
6/11/2021,03:45:00 pm,0,7.2139,7.711
6/11/2021,04:00:00 pm,0,7.2125,7.711
6/11/2021,04:15:00 pm,0,7.2116,7.711
6/11/2021,04:30:00 pm,0,7.2123,7.711
6/11/2021,04:45:00 pm,0,7.2124,7.710
6/11/2021,05:00:00 pm,0,7.2134,7.710
6/11/2021,05:15:00 pm,0,7.2147,7.710
6/11/2021,05:30:00 pm,0,7.2142,7.711
6/11/2021,05:45:00 pm,0,7.2148,7.711
6/11/2021,06:00:00 pm,0,7.2147,7.711
6/11/2021,06:15:00 pm,0,7.2154,7.710
6/11/2021,06:30:00 pm,0,7.2155,7.710
6/11/2021,06:45:00 pm,0,7.2192,7.710
6/11/2021,07:00:00 pm,0,7.2220,7.710
6/11/2021,07:15:00 pm,0,7.2236,7.710
6/11/2021,07:30:00 pm,0,7.2236,7.710
6/11/2021,07:45:00 pm,0,7.2250,7.710
6/11/2021,08:00:00 pm,0,7.2271,7.710
6/11/2021,08:15:00 pm,0,7.2273,7.710
6/11/2021,08:30:00 pm,0,7.2281,7.709
6/11/2021,08:45:00 pm,0,7.2291,7.710
6/11/2021,09:00:00 pm,0,7.2290,7.710
6/11/2021,09:15:00 pm,0,7.2301,7.709
6/11/2021,09:30:00 pm,0,7.2290,7.709
6/11/2021,09:45:00 pm,0,7.2296,7.709
6/11/2021,10:00:00 pm,0,7.2299,7.709
6/11/2021,10:15:00 pm,0,7.2303,7.709
6/11/2021,10:30:00 pm,0,7.2323,7.709
6/11/2021,10:45:00 pm,0,7.2326,7.710
6/11/2021,11:00:00 pm,0,7.2325,7.710
6/11/2021,11:15:00 pm,0,7.2311,7.709
6/11/2021,11:30:00 pm,0,7.2314,7.709
6/11/2021,11:45:00 pm,0,7.2301,7.709
6/12/2021,12:00:00 am,0,7.2288,7.709
6/12/2021,12:15:00 am,0,7.2269,7.709
6/12/2021,12:30:00 am,0,7.2262,7.709
6/12/2021,12:45:00 am,0,7.2253,7.709
6/12/2021,01:00:00 am,0,7.2237,7.709
6/12/2021,01:15:00 am,0,7.2200,7.709
6/12/2021,01:30:00 am,0,7.2197,7.709
6/12/2021,01:45:00 am,0,7.2180,7.709
6/12/2021,02:00:00 am,0,7.2183,7.709
6/12/2021,02:15:00 am,0,7.2175,7.710
6/12/2021,02:30:00 am,0,7.2150,7.708
6/12/2021,02:45:00 am,0,7.2149,7.709
6/12/2021,03:00:00 am,0,7.2148,7.709
6/12/2021,03:15:00 am,0,7.2143,7.709
6/12/2021,03:30:00 am,0,7.2150,7.709
6/12/2021,03:45:00 am,0,7.2139,7.709
6/12/2021,04:00:00 am,0,7.2132,7.709
6/12/2021,04:15:00 am,0,7.2131,7.709
6/12/2021,04:30:00 am,0,7.2122,7.708
6/12/2021,04:45:00 am,0,7.2113,7.708
6/12/2021,05:00:00 am,0,7.2111,7.709
6/12/2021,05:15:00 am,0,7.2102,7.708
6/12/2021,05:30:00 am,0,7.2112,7.709
6/12/2021,05:45:00 am,0,7.2121,7.709
6/12/2021,06:00:00 am,0,7.2113,7.709
6/12/2021,06:15:00 am,0,7.2122,7.708
6/12/2021,06:30:00 am,0,7.2144,7.708
6/12/2021,06:45:00 am,0,7.2159,7.708
6/12/2021,07:00:00 am,0,7.2180,7.708
6/12/2021,07:15:00 am,0,7.2193,7.708
6/12/2021,07:30:00 am,0,7.2213,7.708
6/12/2021,07:45:00 am,0,7.2220,7.708
6/12/2021,08:00:00 am,0,7.2222,7.708
6/12/2021,08:15:00 am,0,7.2235,7.708
6/12/2021,08:30:00 am,0,7.2236,7.708
6/12/2021,08:45:00 am,0,7.2241,7.707
6/12/2021,09:00:00 am,0,7.2240,7.707
6/12/2021,09:15:00 am,0,7.2241,7.707
6/12/2021,09:30:00 am,0,7.2247,7.707
6/12/2021,09:45:00 am,0,7.2248,7.706
6/12/2021,10:00:00 am,0,7.2253,7.706
6/12/2021,10:15:00 am,0,7.2246,7.707
6/12/2021,10:30:00 am,0,7.2256,7.707
6/12/2021,10:45:00 am,0,7.2275,7.707
6/12/2021,11:00:00 am,0,7.2271,7.706
6/12/2021,11:15:00 am,0,7.2249,7.706
6/12/2021,11:30:00 am,0,7.2240,7.706
6/12/2021,11:45:00 am,0,7.2229,7.706
6/12/2021,12:00:00 pm,0,7.2224,7.706
6/12/2021,12:15:00 pm,0,7.2211,7.705
6/12/2021,12:30:00 pm,0,7.2203,7.706
6/12/2021,12:45:00 pm,0,7.2192,7.706
6/12/2021,01:00:00 pm,0,7.2167,7.705
6/12/2021,01:15:00 pm,0,7.2140,7.705
6/12/2021,01:30:00 pm,0,7.2131,7.705
6/12/2021,01:45:00 pm,0,7.2107,7.705
6/12/2021,02:00:00 pm,0,7.2097,7.705
6/12/2021,02:15:00 pm,0,7.2089,7.705
6/12/2021,02:30:00 pm,0,7.2071,7.705
6/12/2021,02:45:00 pm,0,7.2048,7.705
6/12/2021,03:00:00 pm,0,7.2032,7.704
6/12/2021,03:15:00 pm,0,7.2003,7.704
6/12/2021,03:30:00 pm,0,7.2008,7.704
6/12/2021,03:45:00 pm,0,7.1998,7.704
6/12/2021,04:00:00 pm,0,7.1982,7.704
6/12/2021,04:15:00 pm,0,7.1978,7.705
6/12/2021,04:30:00 pm,0,7.1977,7.704
6/12/2021,04:45:00 pm,0,7.1983,7.704
6/12/2021,05:00:00 pm,0,7.1996,7.704
6/12/2021,05:15:00 pm,0,7.2010,7.704
6/12/2021,05:30:00 pm,0,7.2020,7.704
6/12/2021,05:45:00 pm,0,7.2027,7.705
6/12/2021,06:00:00 pm,0,7.2031,7.704
6/12/2021,06:15:00 pm,0,7.2029,7.704
6/12/2021,06:30:00 pm,0,7.2055,7.704
6/12/2021,06:45:00 pm,0,7.2079,7.704
6/12/2021,07:00:00 pm,0,7.2084,7.704
6/12/2021,07:15:00 pm,0,7.2100,7.704
6/12/2021,07:30:00 pm,0,7.2121,7.703
6/12/2021,07:45:00 pm,0,7.2150,7.704
6/12/2021,08:00:00 pm,0,7.2169,7.704
6/12/2021,08:15:00 pm,0,7.2179,7.704
6/12/2021,08:30:00 pm,0,7.2220,7.704
6/12/2021,08:45:00 pm,0,7.2244,7.703
6/12/2021,09:00:00 pm,0,7.2242,7.703
6/12/2021,09:15:00 pm,0,7.2254,7.703
6/12/2021,09:30:00 pm,0,7.2252,7.703
6/12/2021,09:45:00 pm,0,7.2256,7.703
6/12/2021,10:00:00 pm,0,7.2256,7.703
6/12/2021,10:15:00 pm,0,7.2290,7.704
6/12/2021,10:30:00 pm,0,7.2311,7.704
6/12/2021,10:45:00 pm,0,7.2304,7.703
6/12/2021,11:00:00 pm,0,7.2300,7.703
6/12/2021,11:15:00 pm,0,7.2303,7.703
6/12/2021,11:30:00 pm,0,7.2302,7.704
6/12/2021,11:45:00 pm,0,7.2281,7.703
6/13/2021,12:00:00 am,0,7.2276,7.704
6/13/2021,12:15:00 am,0,7.2261,7.704
6/13/2021,12:30:00 am,0,7.2259,7.704
6/13/2021,12:45:00 am,0,7.2304,7.704
6/13/2021,01:00:00 am,0,7.2362,7.703
6/13/2021,01:15:00 am,0,7.2366,7.703
6/13/2021,01:30:00 am,0,7.2358,7.704
6/13/2021,01:45:00 am,0,7.2360,7.704
6/13/2021,02:00:00 am,0,7.2360,7.703
6/13/2021,02:15:00 am,0,7.2351,7.703
6/13/2021,02:30:00 am,0,7.2346,7.703
6/13/2021,02:45:00 am,0,7.2348,7.704
6/13/2021,03:00:00 am,0,7.2344,7.703
6/13/2021,03:15:00 am,0,7.2336,7.704
6/13/2021,03:30:00 am,0,7.2325,7.703
6/13/2021,03:45:00 am,0,7.2307,7.703
6/13/2021,04:00:00 am,0,7.2300,7.703
6/13/2021,04:15:00 am,0,7.2300,7.703
6/13/2021,04:30:00 am,0,7.2303,7.703
6/13/2021,04:45:00 am,0,7.2292,7.703
6/13/2021,05:00:00 am,0,7.2291,7.703
6/13/2021,05:15:00 am,0,7.2290,7.704
6/13/2021,05:30:00 am,0,7.2298,7.703
6/13/2021,05:45:00 am,0,7.2322,7.703
6/13/2021,06:00:00 am,0,7.2337,7.703
6/13/2021,06:15:00 am,0,7.2351,7.704
6/13/2021,06:30:00 am,0,7.2357,7.703
6/13/2021,06:45:00 am,0,7.2359,7.703
6/13/2021,07:00:00 am,0,7.2377,7.703
6/13/2021,07:15:00 am,0,7.2373,7.703
6/13/2021,07:30:00 am,0,7.2384,7.704
6/13/2021,07:45:00 am,0,7.2396,7.703
6/13/2021,08:00:00 am,0,7.2417,7.703
6/13/2021,08:15:00 am,0,7.2439,7.703
6/13/2021,08:30:00 am,0,7.2452,7.703
6/13/2021,08:45:00 am,0,7.2461,7.704
6/13/2021,09:00:00 am,0,7.2458,7.703
6/13/2021,09:15:00 am,0,7.2451,7.703
6/13/2021,09:30:00 am,0,7.2454,7.703
6/13/2021,09:45:00 am,0,7.2449,7.703
6/13/2021,10:00:00 am,0,7.2440,7.703
6/13/2021,10:15:00 am,0,7.2438,7.703
6/13/2021,10:30:00 am,0,7.2434,7.702
6/13/2021,10:45:00 am,0,7.2424,7.702
6/13/2021,11:00:00 am,0,7.2411,7.702
6/13/2021,11:15:00 am,0,7.2407,7.701
6/13/2021,11:30:00 am,0,7.2409,7.701
6/13/2021,11:45:00 am,0,7.2385,7.701
6/13/2021,12:00:00 pm,0,7.2365,7.700
6/13/2021,12:15:00 pm,0,7.2353,7.701
6/13/2021,12:30:00 pm,0,7.2336,7.700
6/13/2021,12:45:00 pm,0,7.2317,7.699
6/13/2021,01:00:00 pm,0,7.2308,7.699
6/13/2021,01:15:00 pm,0,7.2299,7.698
6/13/2021,01:30:00 pm,0,7.2272,7.699
6/13/2021,01:45:00 pm,0,7.2255,7.698
6/13/2021,02:00:00 pm,0,7.2248,7.699
6/13/2021,02:15:00 pm,0,7.2236,7.698
6/13/2021,02:30:00 pm,0,7.2224,7.698
6/13/2021,02:45:00 pm,0,7.2208,7.698
6/13/2021,03:00:00 pm,0,7.2203,7.696
6/13/2021,03:15:00 pm,0,7.2198,7.697
6/13/2021,03:30:00 pm,0,7.2199,7.697
6/13/2021,03:45:00 pm,0,7.2194,7.696
6/13/2021,04:00:00 pm,0,7.2197,7.696
6/13/2021,04:15:00 pm,0,7.2195,7.696
6/13/2021,04:30:00 pm,0,7.2190,7.696
6/13/2021,04:45:00 pm,0,7.2193,7.696
6/13/2021,05:00:00 pm,0,7.2193,7.695
6/13/2021,05:15:00 pm,0,7.2196,7.695
6/13/2021,05:30:00 pm,0,7.2198,7.695
6/13/2021,05:45:00 pm,0,7.2209,7.695
6/13/2021,06:00:00 pm,0,7.2222,7.695
6/13/2021,06:15:00 pm,0,7.2220,7.695
6/13/2021,06:30:00 pm,0,7.2228,7.696
6/13/2021,06:45:00 pm,0,7.2239,7.695
6/13/2021,07:00:00 pm,0,7.2251,7.695
6/13/2021,07:15:00 pm,0,7.2264,7.695
6/13/2021,07:30:00 pm,0,7.2278,7.695
6/13/2021,07:45:00 pm,0,7.2293,7.696
6/13/2021,08:00:00 pm,0,7.2288,7.695
6/13/2021,08:15:00 pm,0,7.2304,7.695
6/13/2021,08:30:00 pm,0,7.2308,7.695
6/13/2021,08:45:00 pm,0,7.2319,7.695
6/13/2021,09:00:00 pm,0,7.2323,7.694
6/13/2021,09:15:00 pm,0,7.2327,7.695
6/13/2021,09:30:00 pm,0,7.2319,7.695
6/13/2021,09:45:00 pm,0,7.2320,7.695
6/13/2021,10:00:00 pm,0,7.2323,7.695
6/13/2021,10:15:00 pm,0,7.2331,7.695
6/13/2021,10:30:00 pm,0,7.2340,7.695
6/13/2021,10:45:00 pm,0,7.2366,7.695
6/13/2021,11:00:00 pm,0,7.2372,7.696
6/13/2021,11:15:00 pm,0,7.2375,7.694
6/13/2021,11:30:00 pm,0,7.2372,7.695
6/13/2021,11:45:00 pm,0,7.2356,7.694
6/14/2021,12:00:00 am,0,7.2345,7.694
6/14/2021,12:15:00 am,0,7.2325,7.695
6/14/2021,12:30:00 am,0,7.2308,7.695
6/14/2021,12:45:00 am,0,7.2289,7.695
6/14/2021,01:00:00 am,0,7.2281,7.695
6/14/2021,01:15:00 am,0,7.2271,7.695
6/14/2021,01:30:00 am,0,7.2265,7.695
6/14/2021,01:45:00 am,0,7.2251,7.695
6/14/2021,02:00:00 am,0,7.2237,7.695
