Date,Time,ms,LEVEL,TEMPERATURE,Baro,Corrected WL,Q
6/10/2021,7:29:00 AM,0,77.4758,17.605,,,
6/10/2021,7:44:00 AM,0,77.4893,17.261,,,
6/10/2021,7:59:00 AM,0,77.5369,17.489,,,
6/10/2021,8:14:00 AM,0,77.5377,16.924,,,
6/10/2021,8:29:00 AM,0,77.5447,17.168,,,
6/10/2021,8:44:00 AM,0,77.5591,17.336,,,
6/10/2021,8:59:00 AM,0,77.5657,17.598,,,
6/10/2021,9:14:00 AM,0,77.5579,17.631,,,
6/10/2021,9:29:00 AM,0,77.5515,17.988,,,
6/10/2021,9:44:00 AM,0,77.5577,18.014,,,
6/10/2021,9:59:00 AM,0,76.6847,17.043,,,
6/10/2021,10:14:00 AM,0,76.6506,16.903,,,
6/10/2021,11:45:00 AM,0,64.1385,9.889,,,
6/10/2021,12:00:00 PM,0,64.1342,9.677,,,
6/10/2021,12:15:00 PM,0,64.1292,9.708,,,
6/10/2021,12:30:00 PM,0,64.1242,9.729,,,
6/10/2021,12:45:00 PM,0,64.1134,9.758,,,
6/10/2021,1:00:00 PM,0,64.1037,9.821,,,
6/10/2021,1:15:00 PM,0,64.0862,9.934,,,
6/10/2021,1:30:00 PM,0,64.0828,10.059,,,
6/10/2021,1:45:00 PM,0,64.0681,10.109,,,
6/10/2021,2:00:00 PM,0,64.033,10.086,,,
6/10/2021,2:15:00 PM,0,63.9994,10.045,,,
6/10/2021,2:30:00 PM,0,63.9951,10.044,,,
6/10/2021,2:45:00 PM,0,63.9731,10.074,,,
6/10/2021,3:00:00 PM,0,63.9606,10.135,,,
6/10/2021,3:15:00 PM,0,63.959,10.184,,,
6/10/2021,3:30:00 PM,0,63.9498,10.188,,,
6/10/2021,3:45:00 PM,0,63.9389,10.19,,,
6/10/2021,4:00:00 PM,0,63.9146,10.174,,,
6/10/2021,4:15:00 PM,0,63.8785,10.139,,,
6/10/2021,4:30:00 PM,0,63.8797,10.082,,,
6/10/2021,4:45:00 PM,0,63.8949,10.036,,,
6/10/2021,5:00:00 PM,0,63.9189,9.992,,,
6/10/2021,5:15:00 PM,0,63.9266,9.946,,,
6/10/2021,5:30:00 PM,0,63.9139,9.899,,,
6/10/2021,5:45:00 PM,0,63.9186,9.842,,,
6/10/2021,6:00:00 PM,0,63.9211,9.787,,,
6/10/2021,6:15:00 PM,0,63.9258,9.738,,,
6/10/2021,6:30:00 PM,0,63.9398,9.694,,,
6/10/2021,6:45:00 PM,0,63.9519,9.651,,,
6/10/2021,7:00:00 PM,0,63.9612,9.615,,,
6/10/2021,7:15:00 PM,0,63.9718,9.58,,,
6/10/2021,7:30:00 PM,0,63.9849,9.548,,,
6/10/2021,7:45:00 PM,0,63.9899,9.519,,,
6/10/2021,8:00:00 PM,0,64.0001,9.496,,,
6/10/2021,8:15:00 PM,0,64.0095,9.477,,,
6/10/2021,8:30:00 PM,0,64.0303,9.465,,,
6/10/2021,8:45:00 PM,0,64.0287,9.456,,,
6/10/2021,9:00:00 PM,0,64.0317,9.446,,,
6/10/2021,9:15:00 PM,0,64.0362,9.435,,,
6/10/2021,9:30:00 PM,0,64.0336,9.426,,,
6/10/2021,9:45:00 PM,0,64.028,9.419,,,
6/10/2021,10:00:00 PM,0,64.031,9.414,,,
6/10/2021,10:15:00 PM,0,64.0506,9.406,,,
6/10/2021,10:30:00 PM,0,64.0445,9.397,,,
6/10/2021,10:45:00 PM,0,64.0376,9.38,,,
6/10/2021,11:00:00 PM,0,64.0274,9.353,,,
6/10/2021,11:15:00 PM,0,64.0135,9.323,,,
6/10/2021,11:30:00 PM,0,64.0029,9.294,,,
6/10/2021,11:45:00 PM,0,64.0024,9.272,,,
6/11/2021,12:00:00 AM,0,63.9914,9.254,,,
6/11/2021,12:15:00 AM,0,64.0049,9.234,,,
6/11/2021,12:30:00 AM,0,63.9958,9.209,,,
6/11/2021,12:45:00 AM,0,63.9816,9.183,,,
6/11/2021,1:00:00 AM,0,63.9604,9.156,,,
6/11/2021,1:15:00 AM,0,63.9423,9.129,,,
