Serial_number:
2020431
Project ID:

Location:

LEVEL
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/11/2021,10:30:00 am,0,64.0381,8.813
6/11/2021,10:45:00 am,0,64.0282,8.751
6/11/2021,11:00:00 am,0,63.9921,8.774
6/11/2021,11:15:00 am,0,64.0025,8.807
6/11/2021,11:30:00 am,0,64.0041,8.865
6/11/2021,11:45:00 am,0,63.9867,8.933
6/11/2021,12:00:00 pm,0,63.9932,8.977
6/11/2021,12:15:00 pm,0,63.9846,9.006
6/11/2021,12:30:00 pm,0,63.9753,9.040
6/11/2021,12:45:00 pm,0,63.9787,9.073
6/11/2021,01:00:00 pm,0,63.9737,9.101
6/11/2021,01:15:00 pm,0,63.9679,9.109
6/11/2021,01:30:00 pm,0,63.9503,9.107
6/11/2021,01:45:00 pm,0,63.9432,9.120
6/11/2021,02:00:00 pm,0,63.9280,9.130
6/11/2021,02:15:00 pm,0,63.9174,9.135
6/11/2021,02:30:00 pm,0,63.9135,9.161
6/11/2021,02:45:00 pm,0,63.8969,9.203
6/11/2021,03:00:00 pm,0,63.8828,9.248
6/11/2021,03:15:00 pm,0,63.8678,9.292
6/11/2021,03:30:00 pm,0,63.8619,9.331
6/11/2021,03:45:00 pm,0,63.8646,9.372
6/11/2021,04:00:00 pm,0,63.8731,9.391
6/11/2021,04:15:00 pm,0,63.8757,9.376
6/11/2021,04:30:00 pm,0,63.8812,9.342
6/11/2021,04:45:00 pm,0,63.8752,9.294
6/11/2021,05:00:00 pm,0,63.8803,9.244
6/11/2021,05:15:00 pm,0,63.8904,9.199
6/11/2021,05:30:00 pm,0,63.8869,9.157
6/11/2021,05:45:00 pm,0,63.8895,9.115
6/11/2021,06:00:00 pm,0,63.8902,9.069
6/11/2021,06:15:00 pm,0,63.8916,9.024
6/11/2021,06:30:00 pm,0,63.8936,8.983
6/11/2021,06:45:00 pm,0,63.9259,8.950
6/11/2021,07:00:00 pm,0,63.9462,8.921
6/11/2021,07:15:00 pm,0,63.9593,8.899
6/11/2021,07:30:00 pm,0,63.9576,8.883
6/11/2021,07:45:00 pm,0,63.9772,8.865
6/11/2021,08:00:00 pm,0,63.9942,8.852
6/11/2021,08:15:00 pm,0,63.9928,8.842
6/11/2021,08:30:00 pm,0,64.0012,8.834
6/11/2021,08:45:00 pm,0,64.0205,8.825
6/11/2021,09:00:00 pm,0,64.0235,8.812
6/11/2021,09:15:00 pm,0,64.0264,8.802
6/11/2021,09:30:00 pm,0,64.0187,8.789
6/11/2021,09:45:00 pm,0,64.0254,8.774
6/11/2021,10:00:00 pm,0,64.0290,8.756
6/11/2021,10:15:00 pm,0,64.0417,8.740
6/11/2021,10:30:00 pm,0,64.0473,8.724
6/11/2021,10:45:00 pm,0,64.0501,8.711
6/11/2021,11:00:00 pm,0,64.0406,8.698
6/11/2021,11:15:00 pm,0,64.0324,8.685
6/11/2021,11:30:00 pm,0,64.0295,8.667
6/11/2021,11:45:00 pm,0,64.0201,8.643
6/12/2021,12:00:00 am,0,64.0071,8.618
6/12/2021,12:15:00 am,0,63.9913,8.589
6/12/2021,12:30:00 am,0,63.9876,8.562
6/12/2021,12:45:00 am,0,63.9801,8.542
6/12/2021,01:00:00 am,0,63.9628,8.530
6/12/2021,01:15:00 am,0,63.9427,8.522
6/12/2021,01:30:00 am,0,63.9357,8.515
6/12/2021,01:45:00 am,0,63.9219,8.507
6/12/2021,02:00:00 am,0,63.9084,8.500
6/12/2021,02:15:00 am,0,63.8992,8.492
6/12/2021,02:30:00 am,0,63.8848,8.481
6/12/2021,02:45:00 am,0,63.8728,8.470
6/12/2021,03:00:00 am,0,63.8705,8.457
6/12/2021,03:15:00 am,0,63.8642,8.446
6/12/2021,03:30:00 am,0,63.8630,8.438
6/12/2021,03:45:00 am,0,63.8505,8.429
6/12/2021,04:00:00 am,0,63.8375,8.423
6/12/2021,04:15:00 am,0,63.8363,8.415
6/12/2021,04:30:00 am,0,63.8323,8.407
6/12/2021,04:45:00 am,0,63.8297,8.399
6/12/2021,05:00:00 am,0,63.8390,8.388
6/12/2021,05:15:00 am,0,63.8391,8.372
6/12/2021,05:30:00 am,0,63.8488,8.354
6/12/2021,05:45:00 am,0,63.8647,8.338
6/12/2021,06:00:00 am,0,63.8568,8.322
6/12/2021,06:15:00 am,0,63.8680,8.306
6/12/2021,06:30:00 am,0,63.8892,8.291
6/12/2021,06:45:00 am,0,63.9062,8.280
6/12/2021,07:00:00 am,0,63.9252,8.270
6/12/2021,07:15:00 am,0,63.9347,8.262
6/12/2021,07:30:00 am,0,63.9478,8.256
6/12/2021,07:45:00 am,0,63.9571,8.256
6/12/2021,08:00:00 am,0,63.9599,8.261
6/12/2021,08:15:00 am,0,63.9775,8.268
6/12/2021,08:30:00 am,0,63.9818,8.276
6/12/2021,08:45:00 am,0,63.9864,8.283
6/12/2021,09:00:00 am,0,63.9884,8.295
6/12/2021,09:15:00 am,0,63.9959,8.311
6/12/2021,09:30:00 am,0,64.0018,8.337
6/12/2021,09:45:00 am,0,64.0020,8.369
6/12/2021,10:00:00 am,0,64.0136,8.406
6/12/2021,10:15:00 am,0,64.0113,8.444
6/12/2021,10:30:00 am,0,64.0111,8.478
6/12/2021,10:45:00 am,0,64.0127,8.504
6/12/2021,11:00:00 am,0,64.0075,8.521
6/12/2021,11:15:00 am,0,63.9922,8.532
6/12/2021,11:30:00 am,0,63.9923,8.545
6/12/2021,11:45:00 am,0,63.9880,8.561
6/12/2021,12:00:00 pm,0,63.9909,8.578
6/12/2021,12:15:00 pm,0,63.9802,8.598
6/12/2021,12:30:00 pm,0,63.9669,8.624
6/12/2021,12:45:00 pm,0,63.9641,8.651
6/12/2021,01:00:00 pm,0,63.9494,8.669
6/12/2021,01:15:00 pm,0,63.9247,8.685
6/12/2021,01:30:00 pm,0,63.9128,8.710
6/12/2021,01:45:00 pm,0,63.8947,8.753
6/12/2021,02:00:00 pm,0,63.8904,8.806
6/12/2021,02:15:00 pm,0,63.8841,8.852
6/12/2021,02:30:00 pm,0,63.8612,8.896
6/12/2021,02:45:00 pm,0,63.8519,8.947
6/12/2021,03:00:00 pm,0,63.8357,9.006
6/12/2021,03:15:00 pm,0,63.8227,9.069
6/12/2021,03:30:00 pm,0,63.8265,9.129
6/12/2021,03:45:00 pm,0,63.8244,9.167
6/12/2021,04:00:00 pm,0,63.8062,9.171
6/12/2021,04:15:00 pm,0,63.8065,9.173
6/12/2021,04:30:00 pm,0,63.8071,9.165
6/12/2021,04:45:00 pm,0,63.8145,9.160
6/12/2021,05:00:00 pm,0,63.8261,9.156
6/12/2021,05:15:00 pm,0,63.8366,9.147
6/12/2021,05:30:00 pm,0,63.8468,9.131
6/12/2021,05:45:00 pm,0,63.8543,9.101
6/12/2021,06:00:00 pm,0,63.8577,9.055
6/12/2021,06:15:00 pm,0,63.8465,9.001
6/12/2021,06:30:00 pm,0,63.8665,8.956
6/12/2021,06:45:00 pm,0,63.8867,8.912
6/12/2021,07:00:00 pm,0,63.8835,8.879
6/12/2021,07:15:00 pm,0,63.8842,8.846
6/12/2021,07:30:00 pm,0,63.8849,8.817
6/12/2021,07:45:00 pm,0,63.9033,8.788
6/12/2021,08:00:00 pm,0,63.9129,8.766
6/12/2021,08:15:00 pm,0,63.9192,8.744
6/12/2021,08:30:00 pm,0,63.9327,8.728
6/12/2021,08:45:00 pm,0,63.9471,8.716
6/12/2021,09:00:00 pm,0,63.9486,8.704
6/12/2021,09:15:00 pm,0,63.9679,8.693
6/12/2021,09:30:00 pm,0,63.9658,8.685
6/12/2021,09:45:00 pm,0,63.9656,8.677
6/12/2021,10:00:00 pm,0,63.9566,8.669
6/12/2021,10:15:00 pm,0,63.9658,8.663
6/12/2021,10:30:00 pm,0,63.9788,8.654
6/12/2021,10:45:00 pm,0,63.9685,8.643
6/12/2021,11:00:00 pm,0,63.9813,8.634
6/12/2021,11:15:00 pm,0,63.9905,8.626
6/12/2021,11:30:00 pm,0,64.0008,8.619
6/12/2021,11:45:00 pm,0,63.9864,8.613
6/13/2021,12:00:00 am,0,63.9765,8.603
6/13/2021,12:15:00 am,0,63.9659,8.593
6/13/2021,12:30:00 am,0,63.9637,8.584
6/13/2021,12:45:00 am,0,63.9630,8.572
6/13/2021,01:00:00 am,0,63.9576,8.558
6/13/2021,01:15:00 am,0,63.9520,8.538
6/13/2021,01:30:00 am,0,63.9447,8.521
6/13/2021,01:45:00 am,0,63.9475,8.503
6/13/2021,02:00:00 am,0,63.9493,8.484
6/13/2021,02:15:00 am,0,63.9401,8.464
6/13/2021,02:30:00 am,0,63.9389,8.442
6/13/2021,02:45:00 am,0,63.9503,8.395
6/13/2021,03:00:00 am,0,63.9511,8.347
6/13/2021,03:15:00 am,0,63.9651,8.280
6/13/2021,03:30:00 am,0,63.9666,8.216
6/13/2021,03:45:00 am,0,63.9750,8.143
6/13/2021,04:00:00 am,0,63.9844,8.012
6/13/2021,04:15:00 am,0,63.9958,7.836
6/13/2021,04:30:00 am,0,64.0156,7.679
6/13/2021,04:45:00 am,0,64.0294,7.501
6/13/2021,05:00:00 am,0,64.0445,7.379
6/13/2021,05:15:00 am,0,64.0595,7.202
6/13/2021,05:30:00 am,0,64.0741,7.100
6/13/2021,05:45:00 am,0,64.1038,7.000
6/13/2021,06:00:00 am,0,64.1167,6.933
6/13/2021,06:15:00 am,0,64.1246,6.869
6/13/2021,06:30:00 am,0,64.1363,6.835
6/13/2021,06:45:00 am,0,64.1471,6.803
6/13/2021,07:00:00 am,0,64.1651,6.780
6/13/2021,07:15:00 am,0,64.1756,6.767
6/13/2021,07:30:00 am,0,64.1919,6.779
6/13/2021,07:45:00 am,0,64.2062,6.799
6/13/2021,08:00:00 am,0,64.2233,6.797
6/13/2021,08:15:00 am,0,64.2358,6.803
6/13/2021,08:30:00 am,0,64.2438,6.814
6/13/2021,08:45:00 am,0,64.2523,6.823
6/13/2021,09:00:00 am,0,64.2594,6.864
6/13/2021,09:15:00 am,0,64.2729,6.926
6/13/2021,09:30:00 am,0,64.2823,6.989
6/13/2021,09:45:00 am,0,64.2873,7.067
6/13/2021,10:00:00 am,0,64.2905,7.163
6/13/2021,10:15:00 am,0,64.2932,7.257
6/13/2021,10:30:00 am,0,64.3010,7.342
6/13/2021,10:45:00 am,0,64.3000,7.433
6/13/2021,11:00:00 am,0,64.2991,7.557
6/13/2021,11:15:00 am,0,64.3022,7.713
6/13/2021,11:30:00 am,0,64.3039,7.906
6/13/2021,11:45:00 am,0,64.2925,8.064
6/13/2021,12:00:00 pm,0,64.2813,8.257
6/13/2021,12:15:00 pm,0,64.2698,8.486
6/13/2021,12:30:00 pm,0,64.2616,8.741
6/13/2021,12:45:00 pm,0,64.2524,9.001
6/13/2021,01:00:00 pm,0,64.2489,9.346
6/13/2021,01:15:00 pm,0,64.2496,9.537
6/13/2021,01:30:00 pm,0,64.2308,9.761
6/13/2021,01:45:00 pm,0,64.2242,9.974
6/13/2021,02:00:00 pm,0,64.2195,10.124
6/13/2021,02:15:00 pm,0,64.2135,10.223
6/13/2021,02:30:00 pm,0,64.2044,10.338
6/13/2021,02:45:00 pm,0,64.1857,10.408
6/13/2021,03:00:00 pm,0,64.1784,10.387
6/13/2021,03:15:00 pm,0,64.1758,10.311
6/13/2021,03:30:00 pm,0,64.1770,10.238
6/13/2021,03:45:00 pm,0,64.1687,10.168
6/13/2021,04:00:00 pm,0,64.1664,10.089
6/13/2021,04:15:00 pm,0,64.1665,10.010
6/13/2021,04:30:00 pm,0,64.1575,9.947
6/13/2021,04:45:00 pm,0,64.1558,9.898
6/13/2021,05:00:00 pm,0,64.1592,9.846
6/13/2021,05:15:00 pm,0,64.1603,9.778
6/13/2021,05:30:00 pm,0,64.1566,9.714
6/13/2021,05:45:00 pm,0,64.1620,9.651
6/13/2021,06:00:00 pm,0,64.1664,9.588
6/13/2021,06:15:00 pm,0,64.1662,9.526
6/13/2021,06:30:00 pm,0,64.1832,9.461
6/13/2021,06:45:00 pm,0,64.1862,9.393
6/13/2021,07:00:00 pm,0,64.1922,9.334
6/13/2021,07:15:00 pm,0,64.1983,9.278
6/13/2021,07:30:00 pm,0,64.2079,9.224
6/13/2021,07:45:00 pm,0,64.2124,9.171
6/13/2021,08:00:00 pm,0,64.2060,9.122
6/13/2021,08:15:00 pm,0,64.2233,9.078
6/13/2021,08:30:00 pm,0,64.2262,9.039
6/13/2021,08:45:00 pm,0,64.2343,9.003
6/13/2021,09:00:00 pm,0,64.2368,8.967
6/13/2021,09:15:00 pm,0,64.2364,8.934
6/13/2021,09:30:00 pm,0,64.2257,8.904
6/13/2021,09:45:00 pm,0,64.2264,8.874
6/13/2021,10:00:00 pm,0,64.2240,8.845
6/13/2021,10:15:00 pm,0,64.2347,8.817
6/13/2021,10:30:00 pm,0,64.2397,8.786
6/13/2021,10:45:00 pm,0,64.2362,8.747
6/13/2021,11:00:00 pm,0,64.2387,8.707
6/13/2021,11:15:00 pm,0,64.2360,8.667
6/13/2021,11:30:00 pm,0,64.2334,8.633
6/13/2021,11:45:00 pm,0,64.2262,8.604
6/14/2021,12:00:00 am,0,64.2113,8.577
6/14/2021,12:15:00 am,0,64.1941,8.551
6/14/2021,12:30:00 am,0,64.1735,8.528
6/14/2021,12:45:00 am,0,64.1605,8.505
6/14/2021,01:00:00 am,0,64.1489,8.481
6/14/2021,01:15:00 am,0,64.1350,8.458
6/14/2021,01:30:00 am,0,64.1314,8.435
6/14/2021,01:45:00 am,0,64.1149,8.414
6/14/2021,02:00:00 am,0,64.0970,8.393
6/14/2021,02:15:00 am,0,64.0756,8.373
6/14/2021,02:30:00 am,0,64.0551,8.351
6/14/2021,02:45:00 am,0,64.0452,8.331
6/14/2021,03:00:00 am,0,64.0414,8.304
6/14/2021,03:15:00 am,0,64.0301,8.282
6/14/2021,03:30:00 am,0,64.0238,8.262
6/14/2021,03:45:00 am,0,64.0283,8.241
6/14/2021,04:00:00 am,0,64.0171,8.225
6/14/2021,04:15:00 am,0,64.0234,8.210
6/14/2021,04:30:00 am,0,64.0225,8.193
6/14/2021,04:45:00 am,0,64.0173,8.176
6/14/2021,05:00:00 am,0,64.0267,8.161
6/14/2021,05:15:00 am,0,64.0353,8.145
6/14/2021,05:30:00 am,0,64.0404,8.126
6/14/2021,05:45:00 am,0,64.0454,8.106
6/14/2021,06:00:00 am,0,64.0515,8.085
6/14/2021,06:15:00 am,0,64.0548,8.062
6/14/2021,06:30:00 am,0,64.0580,8.042
6/14/2021,06:45:00 am,0,64.0758,8.023
6/14/2021,07:00:00 am,0,64.0761,8.004
6/14/2021,07:15:00 am,0,64.0777,7.989
6/14/2021,07:30:00 am,0,64.0930,7.981
6/14/2021,07:45:00 am,0,64.1122,7.983
6/14/2021,08:00:00 am,0,64.1235,7.995
6/14/2021,08:15:00 am,0,64.1316,8.012
6/14/2021,08:30:00 am,0,64.1382,8.032
6/14/2021,08:45:00 am,0,64.1400,8.061
6/14/2021,09:00:00 am,0,64.1458,8.110
6/14/2021,09:15:00 am,0,64.1384,8.177
6/14/2021,09:30:00 am,0,64.1425,8.247
6/14/2021,09:45:00 am,0,64.1443,8.319
6/14/2021,10:00:00 am,0,64.1481,8.392
6/14/2021,10:15:00 am,0,64.1528,8.495
6/14/2021,10:30:00 am,0,64.1530,8.618
6/14/2021,10:45:00 am,0,64.1596,8.776
