Serial_number:
2020421
Project ID:

Location:

Station01
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,Station01,TEMPERATURE
2/18/2023,12:30:00 pm,0,64.0450,9.329
2/18/2023,12:45:00 pm,0,64.0415,8.620
2/18/2023,01:00:00 pm,0,64.0433,8.573
2/18/2023,01:15:00 pm,0,64.0417,8.577
2/18/2023,01:30:00 pm,0,64.0323,8.576
2/18/2023,01:45:00 pm,0,64.0363,8.576
2/18/2023,02:00:00 pm,0,64.0117,8.571
2/18/2023,02:15:00 pm,0,64.0096,8.568
2/18/2023,02:30:00 pm,0,63.9964,8.564
2/18/2023,02:45:00 pm,0,63.9972,8.571
2/18/2023,03:00:00 pm,0,64.0133,8.587
2/18/2023,03:15:00 pm,0,64.0860,8.595
2/18/2023,03:30:00 pm,0,64.0921,8.540
2/18/2023,03:45:00 pm,0,64.0907,8.514
2/18/2023,04:00:00 pm,0,64.0786,8.549
2/18/2023,04:15:00 pm,0,64.0856,8.651
2/18/2023,04:30:00 pm,0,64.1014,8.797
2/18/2023,04:45:00 pm,0,64.1035,8.898
2/18/2023,05:00:00 pm,0,64.1134,8.961
2/18/2023,05:15:00 pm,0,64.1151,9.023
2/18/2023,05:30:00 pm,0,64.1143,9.066
2/18/2023,05:45:00 pm,0,64.1263,9.046
2/18/2023,06:00:00 pm,0,64.1242,9.016
2/18/2023,06:15:00 pm,0,64.1371,8.964
2/18/2023,06:30:00 pm,0,64.1449,8.863
2/18/2023,06:45:00 pm,0,64.1644,8.750
2/18/2023,07:00:00 pm,0,64.1823,8.673
2/18/2023,07:15:00 pm,0,64.1909,8.638
2/18/2023,07:30:00 pm,0,64.2004,8.590
2/18/2023,07:45:00 pm,0,64.2136,8.534
2/18/2023,08:00:00 pm,0,64.2230,8.504
2/18/2023,08:15:00 pm,0,64.2213,8.482
2/18/2023,08:30:00 pm,0,64.2368,8.448
2/18/2023,08:45:00 pm,0,64.2403,8.384
2/18/2023,09:00:00 pm,0,64.2478,8.303
2/18/2023,09:15:00 pm,0,64.2527,8.234
2/18/2023,09:30:00 pm,0,64.2495,8.169
2/18/2023,09:45:00 pm,0,64.2487,8.092
2/18/2023,10:00:00 pm,0,64.2640,8.005
2/18/2023,10:15:00 pm,0,64.2769,7.930
2/18/2023,10:30:00 pm,0,64.2742,7.858
2/18/2023,10:45:00 pm,0,64.2773,7.820
2/18/2023,11:00:00 pm,0,64.2706,7.784
2/18/2023,11:15:00 pm,0,64.2722,7.770
2/18/2023,11:30:00 pm,0,64.2647,7.768
2/18/2023,11:45:00 pm,0,64.2647,7.757
2/19/2023,12:00:00 am,0,64.2559,7.750
2/19/2023,12:15:00 am,0,64.2492,7.743
2/19/2023,12:30:00 am,0,64.2450,7.739
2/19/2023,12:45:00 am,0,64.2265,7.735
2/19/2023,01:00:00 am,0,64.2137,7.733
2/19/2023,01:15:00 am,0,64.2033,7.732
2/19/2023,01:30:00 am,0,64.1929,7.731
2/19/2023,01:45:00 am,0,64.1710,7.729
2/19/2023,02:00:00 am,0,64.1630,7.715
2/19/2023,02:15:00 am,0,64.1343,7.681
2/19/2023,02:30:00 am,0,64.1146,7.639
2/19/2023,02:45:00 am,0,64.0962,7.565
2/19/2023,03:00:00 am,0,64.0949,7.501
2/19/2023,03:15:00 am,0,64.0756,7.391
2/19/2023,03:30:00 am,0,64.0638,7.301
2/19/2023,03:45:00 am,0,64.0538,7.218
2/19/2023,04:00:00 am,0,64.0517,7.144
2/19/2023,04:15:00 am,0,64.0495,7.078
2/19/2023,04:30:00 am,0,64.0587,7.019
2/19/2023,04:45:00 am,0,64.0665,6.961
2/19/2023,05:00:00 am,0,64.0733,6.905
2/19/2023,05:15:00 am,0,64.0711,6.857
2/19/2023,05:30:00 am,0,64.0815,6.811
2/19/2023,05:45:00 am,0,64.0809,6.768
2/19/2023,06:00:00 am,0,64.0831,6.728
2/19/2023,06:15:00 am,0,64.0872,6.693
2/19/2023,06:30:00 am,0,64.0959,6.659
2/19/2023,06:45:00 am,0,64.1110,6.633
2/19/2023,07:00:00 am,0,64.1262,6.612
2/19/2023,07:15:00 am,0,64.1317,6.596
2/19/2023,07:30:00 am,0,64.1510,6.588
2/19/2023,07:45:00 am,0,64.1585,6.604
2/19/2023,08:00:00 am,0,64.1694,6.631
2/19/2023,08:15:00 am,0,64.1816,6.675
2/19/2023,08:30:00 am,0,64.1922,6.729
2/19/2023,08:45:00 am,0,64.2113,6.802
2/19/2023,09:00:00 am,0,64.2228,6.892
2/19/2023,09:15:00 am,0,64.2369,6.987
2/19/2023,09:30:00 am,0,64.2356,7.079
2/19/2023,09:45:00 am,0,64.2396,7.161
2/19/2023,10:00:00 am,0,64.2291,7.227
2/19/2023,10:15:00 am,0,64.2349,7.282
2/19/2023,10:30:00 am,0,64.2407,7.340
2/19/2023,10:45:00 am,0,64.2485,7.412
2/19/2023,11:00:00 am,0,64.2441,7.493
2/19/2023,11:15:00 am,0,64.2299,7.571
2/19/2023,11:30:00 am,0,64.2154,7.642
2/19/2023,11:45:00 am,0,64.2102,7.718
2/19/2023,12:00:00 pm,0,64.2104,7.815
2/19/2023,12:15:00 pm,0,64.1989,7.947
2/19/2023,12:30:00 pm,0,64.1899,8.131
2/19/2023,12:45:00 pm,0,64.1919,8.374
2/19/2023,01:00:00 pm,0,64.1914,8.659
2/19/2023,01:15:00 pm,0,64.1665,8.901
2/19/2023,01:30:00 pm,0,64.1552,9.079
2/19/2023,01:45:00 pm,0,64.1321,9.196
2/19/2023,02:00:00 pm,0,64.1174,9.297
2/19/2023,02:15:00 pm,0,64.1038,9.370
2/19/2023,02:30:00 pm,0,64.0898,9.386
2/19/2023,02:45:00 pm,0,64.0668,9.363
2/19/2023,03:00:00 pm,0,64.0559,9.333
2/19/2023,03:15:00 pm,0,64.0426,9.296
2/19/2023,03:30:00 pm,0,64.0368,9.249
2/19/2023,03:45:00 pm,0,64.0435,9.194
2/19/2023,04:00:00 pm,0,64.0290,9.135
2/19/2023,04:15:00 pm,0,64.0082,9.081
2/19/2023,04:30:00 pm,0,64.0256,9.036
2/19/2023,04:45:00 pm,0,64.0324,8.986
2/19/2023,05:00:00 pm,0,64.0290,8.940
2/19/2023,05:15:00 pm,0,64.0237,8.894
2/19/2023,05:30:00 pm,0,64.0256,8.852
2/19/2023,05:45:00 pm,0,64.0398,8.812
2/19/2023,06:00:00 pm,0,64.0642,8.772
2/19/2023,06:15:00 pm,0,64.0602,8.733
2/19/2023,06:30:00 pm,0,64.0731,8.693
2/19/2023,06:45:00 pm,0,64.0753,8.651
2/19/2023,07:00:00 pm,0,64.0868,8.608
2/19/2023,07:15:00 pm,0,64.1034,8.563
2/19/2023,07:30:00 pm,0,64.1185,8.520
2/19/2023,07:45:00 pm,0,64.1243,8.483
2/19/2023,08:00:00 pm,0,64.1189,8.449
2/19/2023,08:15:00 pm,0,64.1266,8.419
2/19/2023,08:30:00 pm,0,64.1339,8.394
2/19/2023,08:45:00 pm,0,64.1294,8.375
2/19/2023,09:00:00 pm,0,64.1506,8.352
2/19/2023,09:15:00 pm,0,64.1812,8.336
2/19/2023,09:30:00 pm,0,64.1820,8.314
2/19/2023,09:45:00 pm,0,64.1820,8.285
2/19/2023,10:00:00 pm,0,64.1976,8.256
2/19/2023,10:15:00 pm,0,64.1859,8.228
2/19/2023,10:30:00 pm,0,64.1890,8.206
2/19/2023,10:45:00 pm,0,64.1941,8.180
2/19/2023,11:00:00 pm,0,64.1951,8.157
2/19/2023,11:15:00 pm,0,64.1864,8.130
2/19/2023,11:30:00 pm,0,64.1686,8.107
2/19/2023,11:45:00 pm,0,64.1481,8.094
2/20/2023,12:00:00 am,0,64.1085,8.075
2/20/2023,12:15:00 am,0,64.1014,8.052
2/20/2023,12:30:00 am,0,64.0909,8.024
2/20/2023,12:45:00 am,0,64.0800,7.999
2/20/2023,01:00:00 am,0,64.0762,7.977
2/20/2023,01:15:00 am,0,64.0635,7.963
2/20/2023,01:30:00 am,0,64.0538,7.948
2/20/2023,01:45:00 am,0,64.0405,7.936
2/20/2023,02:00:00 am,0,64.0280,7.923
2/20/2023,02:15:00 am,0,64.0198,7.909
2/20/2023,02:30:00 am,0,63.9993,7.894
2/20/2023,02:45:00 am,0,64.0030,7.882
2/20/2023,03:00:00 am,0,64.0020,7.866
2/20/2023,03:15:00 am,0,63.9981,7.854
2/20/2023,03:30:00 am,0,63.9871,7.835
2/20/2023,03:45:00 am,0,63.9668,7.815
2/20/2023,04:00:00 am,0,63.9523,7.789
2/20/2023,04:15:00 am,0,63.9542,7.762
2/20/2023,04:30:00 am,0,63.9650,7.727
2/20/2023,04:45:00 am,0,63.9634,7.677
