"Plot Title: wl_02"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 20968506, SEN S/N: 20968506)","Temp, °C (LGR S/N: 20968506, SEN S/N: 20968506)","Coupler Detached (LGR S/N: 20968506)","Coupler Attached (LGR S/N: 20968506)","Host Connected (LGR S/N: 20968506)","Stopped (LGR S/N: 20968506)","End Of File (LGR S/N: 20968506)"
1,06/14/21 12:00:00 PM,64.034,13.076,Logged,,,,
2,06/14/21 12:15:00 PM,64.022,13.461,,,,,
3,06/14/21 12:30:00 PM,64.041,13.750,,,,,
4,06/14/21 12:45:00 PM,64.015,13.654,,,,,
5,06/14/21 01:00:00 PM,64.007,13.365,,,,,
6,06/14/21 01:15:00 PM,64.006,12.883,,,,,
7,06/14/21 01:30:00 PM,63.983,12.497,,,,,
8,06/14/21 01:45:00 PM,63.961,12.110,,,,,
9,06/14/21 02:00:00 PM,63.921,11.916,,,,,
10,06/14/21 02:15:00 PM,63.903,12.110,,,,,
11,06/14/21 02:30:00 PM,63.909,12.304,,,,,
12,06/14/21 02:45:00 PM,63.886,12.304,,,,,
13,06/14/21 03:00:00 PM,63.872,12.207,,,,,
14,06/14/21 03:15:00 PM,63.869,12.110,,,,,
15,06/14/21 03:30:00 PM,63.852,11.916,,,,,
16,06/14/21 03:45:00 PM,63.852,11.916,,,,,
17,06/14/21 04:00:00 PM,63.852,11.916,,,,,
18,06/14/21 04:15:00 PM,63.846,11.722,,,,,
19,06/14/21 04:30:00 PM,63.855,11.625,,,,,
20,06/14/21 04:45:00 PM,63.841,11.528,,,,,
21,06/14/21 05:00:00 PM,63.838,11.431,,,,,
22,06/14/21 05:15:00 PM,63.846,11.334,,,,,
23,06/14/21 05:30:00 PM,63.843,11.236,,,,,
24,06/14/21 05:45:00 PM,63.852,11.139,,,,,
25,06/14/21 06:00:00 PM,63.861,11.041,,,,,
26,06/14/21 06:15:00 PM,63.869,10.944,,,,,
27,06/14/21 06:30:00 PM,63.890,10.846,,,,,
28,06/14/21 06:45:00 PM,63.890,10.846,,,,,
29,06/14/21 07:00:00 PM,63.887,10.748,,,,,
30,06/14/21 07:15:00 PM,63.921,10.748,,,,,
31,06/14/21 07:30:00 PM,63.941,10.651,,,,,
32,06/14/21 07:45:00 PM,63.953,10.651,,,,,
33,06/14/21 08:00:00 PM,63.938,10.553,,,,,
34,06/14/21 08:15:00 PM,63.950,10.553,,,,,
35,06/14/21 08:30:00 PM,63.961,10.553,,,,,
36,06/14/21 08:45:00 PM,63.984,10.553,,,,,
37,06/14/21 09:00:00 PM,63.984,10.553,,,,,
38,06/14/21 09:15:00 PM,63.970,10.455,,,,,
39,06/14/21 09:30:00 PM,63.958,10.455,,,,,
