"Plot Title: WL_02"
"#","Date Time, GMT-05:00","Abs Pres, psi (LGR S/N: 20968506, SEN S/N: 20968506)","Temp, °F (LGR S/N: 20968506, SEN S/N: 20968506)","Coupler Detached (LGR S/N: 20968506)","Coupler Attached (LGR S/N: 20968506)","Host Connected (LGR S/N: 20968506)","Stopped (LGR S/N: 20968506)","End Of File (LGR S/N: 20968506)"
1,07/27/21 01:00:00 PM,9.3130,50.819,Logged,,,,
2,07/27/21 01:15:00 PM,9.3185,51.699,,,,,
3,07/27/21 01:30:00 PM,9.3135,51.699,,,,,
4,07/27/21 01:45:00 PM,9.3081,52.225,,,,,
5,07/27/21 02:00:00 PM,9.3019,52.401,,,,,
6,07/27/21 02:15:00 PM,9.3032,52.225,,,,,
7,07/27/21 02:30:00 PM,9.3039,51.874,,,,,
8,07/27/21 02:45:00 PM,9.2998,51.523,,,,,
9,07/27/21 03:00:00 PM,9.2939,51.172,,,,,
10,07/27/21 03:15:00 PM,9.2914,50.819,,,,,
11,07/27/21 03:30:00 PM,9.2923,51.172,,,,,
12,07/27/21 03:45:00 PM,9.2881,51.523,,,,,
13,07/27/21 04:00:00 PM,9.2868,51.699,,,,,
14,07/27/21 04:15:00 PM,9.2898,52.225,,,,,
15,07/27/21 04:30:00 PM,9.2856,51.874,,,,,
16,07/27/21 04:45:00 PM,9.2843,52.050,,,,,
17,07/27/21 05:00:00 PM,9.2860,52.050,,,,,
18,07/27/21 05:15:00 PM,9.2852,51.699,,,,,
19,07/27/21 05:30:00 PM,9.2839,51.172,,,,,
20,07/27/21 05:45:00 PM,9.2876,50.643,,,,,
21,07/27/21 06:00:00 PM,9.2901,50.290,,,,,
22,07/27/21 06:15:00 PM,9.2859,49.937,,,,,
23,07/27/21 06:30:00 PM,9.2888,49.759,,,,,
24,07/27/21 06:45:00 PM,9.2946,49.404,,,,,
25,07/27/21 07:00:00 PM,9.2958,49.228,,,,,
26,07/27/21 07:15:00 PM,9.2920,49.050,,,,,
27,07/27/21 07:30:00 PM,9.2900,48.871,,,,,
28,07/27/21 07:45:00 PM,9.2929,48.695,,,,,
29,07/27/21 08:00:00 PM,9.2940,48.517,,,,,
30,07/27/21 08:15:00 PM,9.2952,48.339,,,,,
31,07/27/21 08:30:00 PM,9.2947,48.160,,,,,
32,07/27/21 08:45:00 PM,9.2943,47.982,,,,,
33,07/27/21 09:00:00 PM,9.2956,47.802,,,,,
34,07/27/21 09:15:00 PM,9.3030,47.446,,,,,
35,07/27/21 09:30:00 PM,9.2953,47.088,,,,,
36,07/27/21 09:45:00 PM,9.2933,46.908,,,,,
37,07/27/21 10:00:00 PM,9.2962,46.728,,,,,
38,07/27/21 10:15:00 PM,9.2956,46.548,,,,,
39,07/27/21 10:30:00 PM,9.2936,46.369,,,,,
40,07/27/21 10:45:00 PM,9.2947,46.188,,,,,
41,07/27/21 11:00:00 PM,9.2892,46.008,,,,,
42,07/27/21 11:15:00 PM,9.2900,45.648,,,,,
43,07/27/21 11:30:00 PM,9.2929,45.466,,,,,
44,07/27/21 11:45:00 PM,9.2878,45.466,,,,,
45,07/28/21 12:00:00 AM,9.2878,45.466,,,,,
46,07/28/21 12:15:00 AM,9.2878,45.466,,,,,
47,07/28/21 12:30:00 AM,9.2878,45.466,,,,,
