"Plot Title: WL_04"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 20968507, SEN S/N: 20968507)","Temp, °C (LGR S/N: 20968507, SEN S/N: 20968507)","Coupler Detached (LGR S/N: 20968507)","Coupler Attached (LGR S/N: 20968507)","Host Connected (LGR S/N: 20968507)","Stopped (LGR S/N: 20968507)","End Of File (LGR S/N: 20968507)"
1,02/18/23 10:45:00 AM,63.646,8.779,Logged,,,,
2,02/18/23 11:00:00 AM,63.643,7.682,,,,,
3,02/18/23 11:15:00 AM,63.634,7.782,,,,,
4,02/18/23 11:30:00 AM,63.626,7.983,,,,,
5,02/18/23 11:45:00 AM,63.621,8.282,,,,,
6,02/18/23 12:00:00 PM,63.577,8.481,,,,,
7,02/18/23 12:15:00 PM,63.609,8.779,,,,,
8,02/18/23 12:30:00 PM,63.587,8.879,,,,,
9,02/18/23 12:45:00 PM,63.592,9.077,,,,,
10,02/18/23 01:00:00 PM,63.557,9.176,,,,,
11,02/18/23 01:15:00 PM,63.555,9.077,,,,,
12,02/18/23 01:30:00 PM,63.553,8.978,,,,,
13,02/18/23 01:45:00 PM,63.589,8.978,,,,,
14,02/18/23 02:00:00 PM,63.582,9.176,,,,,
15,02/18/23 02:15:00 PM,63.619,9.176,,,,,
16,02/18/23 02:30:00 PM,63.587,9.373,,,,,
17,02/18/23 02:45:00 PM,63.552,9.472,,,,,
18,02/18/23 03:00:00 PM,63.587,9.373,,,,,
19,02/18/23 03:15:00 PM,63.702,9.077,,,,,
20,02/18/23 03:30:00 PM,63.852,8.680,,,,,
21,02/18/23 03:45:00 PM,63.861,8.581,,,,,
22,02/18/23 04:00:00 PM,63.812,8.581,,,,,
23,02/18/23 04:15:00 PM,63.800,8.581,,,,,
24,02/18/23 04:30:00 PM,63.812,8.581,,,,,
25,02/18/23 04:45:00 PM,63.776,8.581,,,,,
26,02/18/23 05:00:00 PM,63.788,8.581,,,,,
27,02/18/23 05:15:00 PM,63.773,8.481,,,,,
28,02/18/23 05:30:00 PM,63.776,8.581,,,,,
29,02/18/23 05:45:00 PM,63.751,8.581,,,,,
30,02/18/23 06:00:00 PM,63.763,8.581,,,,,
31,02/18/23 06:15:00 PM,63.761,8.481,,,,,
32,02/18/23 06:30:00 PM,63.759,8.382,,,,,
33,02/18/23 06:45:00 PM,63.781,8.282,,,,,
34,02/18/23 07:00:00 PM,63.778,8.182,,,,,
35,02/18/23 07:15:00 PM,63.790,8.182,,,,,
36,02/18/23 07:30:00 PM,63.812,8.082,,,,,
37,02/18/23 07:45:00 PM,63.812,8.082,,,,,
38,02/18/23 08:00:00 PM,63.822,7.983,,,,,
39,02/18/23 08:15:00 PM,63.798,7.983,,,,,
40,02/18/23 08:30:00 PM,63.810,7.983,,,,,
41,02/18/23 08:45:00 PM,63.795,7.882,,,,,
42,02/18/23 09:00:00 PM,63.832,7.882,,,,,
43,02/18/23 09:15:00 PM,63.829,7.782,,,,,
