"Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 20968503, SEN S/N: 20968503)","Temp, °C (LGR S/N: 20968503, SEN S/N: 20968503)"
6/11/2021 13:00,66.877,10.553
6/11/2021 13:15,66.82,7.782
6/11/2021 13:30,66.801,7.582
6/11/2021 13:45,66.782,7.682
6/11/2021 14:00,66.763,7.782
6/11/2021 14:15,66.74,7.782
6/11/2021 14:30,66.732,7.882
6/11/2021 14:45,66.709,8.182
6/11/2021 15:00,66.709,8.182
6/11/2021 15:15,66.69,8.282
6/11/2021 15:30,66.682,8.382
6/11/2021 15:45,66.701,8.581
6/11/2021 16:00,66.693,8.68
6/11/2021 16:15,66.701,8.581
6/11/2021 16:30,66.705,8.382
6/11/2021 16:45,66.697,8.182
6/11/2021 17:00,66.705,8.082
6/11/2021 17:15,66.705,8.082
6/11/2021 17:30,66.717,8.082
6/11/2021 17:45,66.69,7.983
6/11/2021 18:00,66.713,7.983
6/11/2021 18:15,66.701,7.983
6/11/2021 18:30,66.736,7.983
6/11/2021 18:45,66.755,7.882
6/11/2021 19:00,66.778,7.882
6/11/2021 19:15,66.786,7.782
6/11/2021 19:30,66.786,7.782
6/11/2021 19:45,66.809,7.782
6/11/2021 20:00,66.82,7.782
6/11/2021 20:15,66.809,7.782
6/11/2021 20:30,66.828,7.682
6/11/2021 20:45,66.839,7.682
6/11/2021 21:00,66.847,7.582
6/11/2021 21:15,66.847,7.582
6/11/2021 21:30,66.847,7.582
6/11/2021 21:45,66.843,7.481
6/11/2021 22:00,66.866,7.481
6/11/2021 22:15,66.878,7.481
6/11/2021 22:30,66.874,7.381
6/11/2021 22:45,66.885,7.381
6/11/2021 23:00,66.862,7.381
6/11/2021 23:15,66.87,7.28
6/11/2021 23:30,66.87,7.28
6/11/2021 23:45,66.858,7.28
6/12/2021 0:00,66.843,7.179
6/12/2021 0:15,66.831,7.179
6/12/2021 0:30,66.828,7.079
6/12/2021 0:45,66.793,7.079
6/12/2021 1:00,66.805,7.079
6/12/2021 1:15,66.77,7.079
6/12/2021 1:30,66.766,6.978
6/12/2021 1:45,66.755,6.978
6/12/2021 2:00,66.743,6.978
6/12/2021 2:15,66.743,6.978
6/12/2021 2:30,66.705,6.877
6/12/2021 2:45,66.693,6.877
6/12/2021 3:00,66.705,6.877
6/12/2021 3:15,66.693,6.877
6/12/2021 3:30,66.693,6.877
6/12/2021 3:45,66.666,6.775
6/12/2021 4:00,66.655,6.775
6/12/2021 4:15,66.655,6.775
6/12/2021 4:30,66.655,6.775
6/12/2021 4:45,66.655,6.775
6/12/2021 5:00,66.678,6.775
6/12/2021 5:15,66.666,6.775
6/12/2021 5:30,66.685,6.674
6/12/2021 5:45,66.685,6.674
6/12/2021 6:00,66.685,6.674
6/12/2021 6:15,66.697,6.674
6/12/2021 6:30,66.72,6.674
6/12/2021 6:45,66.75,6.573
6/12/2021 7:00,66.75,6.573
6/12/2021 7:15,66.773,6.573
6/12/2021 7:30,66.789,6.674
6/12/2021 7:45,66.777,6.674
6/12/2021 8:00,66.789,6.674
6/12/2021 8:15,66.793,6.775
6/12/2021 8:30,66.804,6.775
6/12/2021 8:45,66.831,6.877
6/12/2021 9:00,66.824,6.978
6/12/2021 9:15,66.835,6.978
6/12/2021 9:30,66.843,7.179
6/12/2021 9:45,66.858,7.28
6/12/2021 10:00,66.847,7.28
6/12/2021 10:15,66.839,7.381
6/12/2021 10:30,66.832,7.481
6/12/2021 10:45,66.839,7.381
6/12/2021 11:00,66.828,7.381
6/12/2021 11:15,66.832,7.481
6/12/2021 11:30,66.793,7.682
6/12/2021 11:45,66.801,7.882
6/12/2021 12:00,66.793,7.983
6/12/2021 12:15,66.782,7.983
6/12/2021 12:30,66.778,8.182
6/12/2021 12:45,66.782,8.282
6/12/2021 13:00,66.77,8.282
6/12/2021 13:15,66.736,8.282
6/12/2021 13:30,66.724,8.581
6/12/2021 13:45,66.709,8.779
6/12/2021 14:00,66.689,8.879
6/12/2021 14:15,66.685,9.077
6/12/2021 14:30,66.662,9.373
6/12/2021 14:45,66.642,9.472
6/12/2021 15:00,66.619,9.472
6/12/2021 15:15,66.626,9.669
6/12/2021 15:30,66.611,9.866
6/12/2021 15:45,66.603,9.669
6/12/2021 16:00,66.573,9.472
6/12/2021 16:15,66.589,9.275
6/12/2021 16:30,66.593,9.373
6/12/2021 16:45,66.577,9.275
6/12/2021 17:00,66.608,9.176
6/12/2021 17:15,66.616,9.077
6/12/2021 17:30,66.624,8.978
6/12/2021 17:45,66.624,8.978
6/12/2021 18:00,66.632,8.879
6/12/2021 18:15,66.628,8.779
6/12/2021 18:30,66.636,8.68
6/12/2021 18:45,66.659,8.68
6/12/2021 19:00,66.655,8.581
6/12/2021 19:15,66.667,8.581
6/12/2021 19:30,66.655,8.581
6/12/2021 19:45,66.686,8.481
6/12/2021 20:00,66.686,8.481
6/12/2021 20:15,66.705,8.382
6/12/2021 20:30,66.717,8.382
6/12/2021 20:45,66.724,8.282
6/12/2021 21:00,66.736,8.282
6/12/2021 21:15,66.755,8.182
6/12/2021 21:30,66.778,8.182
6/12/2021 21:45,66.774,8.082
6/12/2021 22:00,66.782,7.983
6/12/2021 22:15,66.793,7.983
6/12/2021 22:30,66.824,7.882
6/12/2021 22:45,66.813,7.882
6/12/2021 23:00,66.82,7.782
6/12/2021 23:15,66.832,7.782
6/12/2021 23:30,66.839,7.682
6/12/2021 23:45,66.816,7.682
6/13/2021 0:00,66.805,7.682
6/13/2021 0:15,66.801,7.582
6/13/2021 0:30,66.801,7.582
6/13/2021 0:45,66.786,7.481
6/13/2021 1:00,66.797,7.481
6/13/2021 1:15,66.805,7.381
6/13/2021 1:30,66.839,7.381
6/13/2021 1:45,66.893,7.28
6/13/2021 2:00,66.927,7.28
6/13/2021 2:15,66.973,7.28
6/13/2021 2:30,67.038,7.179
6/13/2021 2:45,67.119,7.179
6/13/2021 3:00,67.195,7.079
6/13/2021 3:15,67.26,6.978
6/13/2021 3:30,67.295,6.978
6/13/2021 3:45,67.341,6.978
6/13/2021 4:00,67.418,6.877
6/13/2021 4:15,67.494,6.775
6/13/2021 4:30,67.605,6.674
6/13/2021 4:45,67.716,6.573
6/13/2021 5:00,67.923,6.573
6/13/2021 5:15,68.126,6.471
6/13/2021 5:30,68.333,6.471
6/13/2021 5:45,68.467,6.37
6/13/2021 6:00,68.559,6.37
6/13/2021 6:15,68.593,6.37
6/13/2021 6:30,68.624,6.268
6/13/2021 6:45,68.624,6.268
6/13/2021 7:00,68.635,6.268
6/13/2021 7:15,68.635,6.268
6/13/2021 7:30,68.658,6.268
6/13/2021 7:45,68.647,6.268
6/13/2021 8:00,68.658,6.268
6/13/2021 8:15,68.624,6.268
6/13/2021 8:30,68.605,6.37
6/13/2021 8:45,68.57,6.37
6/13/2021 9:00,68.528,6.471
6/13/2021 9:15,68.486,6.573
6/13/2021 9:30,68.44,6.573
6/13/2021 9:45,68.387,6.674
6/13/2021 10:00,68.345,6.775
6/13/2021 10:15,68.31,6.775
6/13/2021 10:30,68.28,6.877
6/13/2021 10:45,68.238,6.978
6/13/2021 11:00,68.192,6.978
6/13/2021 11:15,68.173,7.079
6/13/2021 11:30,68.15,7.079
6/13/2021 11:45,68.085,7.179
6/13/2021 12:00,68.043,7.28
6/13/2021 12:15,67.978,7.381
6/13/2021 12:30,67.913,7.481
6/13/2021 12:45,67.859,7.582
6/13/2021 13:00,67.802,7.582
6/13/2021 13:15,67.759,7.682
6/13/2021 13:30,67.71,7.882
6/13/2021 13:45,67.645,7.983
6/13/2021 14:00,67.61,7.983
6/13/2021 14:15,67.579,8.082
6/13/2021 14:30,67.545,8.082
6/13/2021 14:45,67.476,8.082
6/13/2021 15:00,67.464,8.082
6/13/2021 15:15,67.434,8.182
6/13/2021 15:30,67.403,8.282
6/13/2021 15:45,67.357,8.282
6/13/2021 16:00,67.322,8.282
6/13/2021 16:15,67.311,8.282
6/13/2021 16:30,67.288,8.282
6/13/2021 16:45,67.265,8.282
6/13/2021 17:00,67.242,8.282
6/13/2021 17:15,67.219,8.282
6/13/2021 17:30,67.219,8.282
6/13/2021 17:45,67.181,8.182
6/13/2021 18:00,67.181,8.182
6/13/2021 18:15,67.177,8.082
6/13/2021 18:30,67.177,8.082
6/13/2021 18:45,67.138,7.983
6/13/2021 19:00,67.15,7.983
6/13/2021 19:15,67.146,7.882
6/13/2021 19:30,67.158,7.882
6/13/2021 19:45,67.142,7.782
6/13/2021 20:00,67.142,7.782
6/13/2021 20:15,67.154,7.782
6/13/2021 20:30,67.138,7.682
6/13/2021 20:45,67.15,7.682
6/13/2021 21:00,67.15,7.682
6/13/2021 21:15,67.135,7.582
6/13/2021 21:30,67.135,7.582
6/13/2021 21:45,67.123,7.582
6/13/2021 22:00,67.131,7.481
6/13/2021 22:15,67.131,7.481
6/13/2021 22:30,67.108,7.481
6/13/2021 22:45,67.104,7.381
6/13/2021 23:00,67.104,7.381
6/13/2021 23:15,67.115,7.381
6/13/2021 23:30,67.115,7.381
6/13/2021 23:45,67.104,7.381
6/14/2021 0:00,67.1,7.28
6/14/2021 0:15,67.1,7.28
6/14/2021 0:30,67.077,7.28
6/14/2021 0:45,67.054,7.28
6/14/2021 1:00,67.05,7.179
6/14/2021 1:15,67.038,7.179
6/14/2021 1:30,67.027,7.179
6/14/2021 1:45,67.015,7.179
6/14/2021 2:00,66.981,7.179
6/14/2021 2:15,66.942,7.079
6/14/2021 2:30,66.92,7.079
6/14/2021 2:45,66.908,7.079
6/14/2021 3:00,66.92,7.079
6/14/2021 3:15,66.908,7.079
6/14/2021 3:30,66.904,6.978
6/14/2021 3:45,66.881,6.978
6/14/2021 4:00,66.87,6.978
6/14/2021 4:15,66.881,6.978
6/14/2021 4:30,66.881,6.978
6/14/2021 4:45,66.881,6.978
6/14/2021 5:00,66.87,6.978
6/14/2021 5:15,66.858,6.978
6/14/2021 5:30,66.866,6.877
6/14/2021 5:45,66.877,6.877
6/14/2021 6:00,66.889,6.877
6/14/2021 6:15,66.9,6.877
6/14/2021 6:30,66.9,6.877
6/14/2021 6:45,66.912,6.877
6/14/2021 7:00,66.912,6.877
6/14/2021 7:15,66.923,6.877
6/14/2021 7:30,66.935,6.877
6/14/2021 7:45,66.95,6.978
6/14/2021 8:00,66.962,6.978
