Serial_number:
2020430
Project ID:

Location:
Well_01
Well_01
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,Well_01,TEMPERATURE
10/20/2021,11:41:50 am,0,62.7617,11.020
10/20/2021,11:56:50 am,0,65.4471,9.145
10/20/2021,12:11:50 pm,0,65.4253,9.134
10/20/2021,12:26:50 pm,0,65.4089,9.114
10/20/2021,12:41:50 pm,0,65.3948,9.119
10/20/2021,12:56:50 pm,0,65.3776,9.123
10/20/2021,01:11:50 pm,0,65.3440,9.128
10/20/2021,01:26:50 pm,0,65.3171,9.135
10/20/2021,01:41:50 pm,0,65.2847,9.142
10/20/2021,01:56:50 pm,0,65.2543,9.149
10/20/2021,02:11:50 pm,0,65.2400,9.156
10/20/2021,02:26:50 pm,0,65.2257,9.161
10/20/2021,02:41:50 pm,0,65.2110,9.167
10/20/2021,02:56:50 pm,0,65.2035,9.174
10/20/2021,03:11:50 pm,0,65.1932,9.180
10/20/2021,03:26:50 pm,0,65.1779,9.186
10/20/2021,03:41:50 pm,0,65.1778,9.192
10/20/2021,03:56:50 pm,0,65.1669,9.198
10/20/2021,04:11:50 pm,0,65.1736,9.204
10/20/2021,04:26:50 pm,0,65.1763,9.210
10/20/2021,04:41:50 pm,0,65.1805,9.216
10/20/2021,04:56:50 pm,0,65.1887,9.222
10/20/2021,05:11:50 pm,0,65.1978,9.227
10/20/2021,05:26:50 pm,0,65.2124,9.233
10/20/2021,05:41:50 pm,0,65.2181,9.238
10/20/2021,05:56:50 pm,0,65.2208,9.245
10/20/2021,06:11:50 pm,0,65.2303,9.250
10/20/2021,06:26:50 pm,0,65.2420,9.255
10/20/2021,06:41:50 pm,0,65.2751,9.261
10/20/2021,06:56:50 pm,0,65.3153,9.266
10/20/2021,07:11:50 pm,0,65.3696,9.272
10/20/2021,07:26:50 pm,0,65.4302,9.276
10/20/2021,07:41:50 pm,0,65.4968,9.284
10/20/2021,07:56:50 pm,0,65.5630,9.283
10/20/2021,08:11:50 pm,0,65.6124,9.299
10/20/2021,08:26:50 pm,0,65.6493,9.310
10/20/2021,08:41:50 pm,0,65.6755,9.302
10/20/2021,08:56:50 pm,0,65.6983,9.305
10/20/2021,09:11:50 pm,0,65.7199,9.309
10/20/2021,09:26:50 pm,0,65.7396,9.314
10/20/2021,09:41:50 pm,0,65.7569,9.320
10/20/2021,09:56:50 pm,0,65.7833,9.326
10/20/2021,10:11:50 pm,0,65.8001,9.331
10/20/2021,10:26:50 pm,0,65.8224,9.336
10/20/2021,10:41:50 pm,0,65.8375,9.341
10/20/2021,10:56:50 pm,0,65.8513,9.345
10/20/2021,11:11:50 pm,0,65.8603,9.350
10/20/2021,11:26:50 pm,0,65.8686,9.349
10/20/2021,11:41:50 pm,0,65.8679,9.301
10/20/2021,11:56:50 pm,0,65.8620,9.264
10/21/2021,12:11:50 am,0,65.8592,9.246
10/21/2021,12:26:50 am,0,65.8558,9.229
10/21/2021,12:41:50 am,0,65.8433,9.205
10/21/2021,12:56:50 am,0,65.8305,9.190
10/21/2021,01:11:50 am,0,65.8254,9.166
10/21/2021,01:26:50 am,0,65.8153,9.143
10/21/2021,01:41:50 am,0,65.8056,9.124
10/21/2021,01:56:50 am,0,65.7964,9.107
10/21/2021,02:11:50 am,0,65.7813,9.087
10/21/2021,02:26:50 am,0,65.7734,9.075
10/21/2021,02:41:50 am,0,65.7607,9.057
10/21/2021,02:56:50 am,0,65.7489,9.048
10/21/2021,03:11:50 am,0,65.7386,9.027
10/21/2021,03:26:50 am,0,65.7300,9.014
10/21/2021,03:41:50 am,0,65.7198,9.000
10/21/2021,03:56:50 am,0,65.7150,8.988
10/21/2021,04:11:50 am,0,65.7111,8.978
10/21/2021,04:26:50 am,0,65.7050,8.967
10/21/2021,04:41:50 am,0,65.7067,8.954
10/21/2021,04:56:50 am,0,65.7116,8.945
10/21/2021,05:11:50 am,0,65.7138,8.934
10/21/2021,05:26:50 am,0,65.7152,8.924
10/21/2021,05:41:50 am,0,65.7180,8.914
10/21/2021,05:56:50 am,0,65.7288,8.904
10/21/2021,06:11:50 am,0,65.7413,8.892
10/21/2021,06:26:50 am,0,65.7509,8.883
10/21/2021,06:41:50 am,0,65.7676,8.875
10/21/2021,06:56:50 am,0,65.7717,8.866
10/21/2021,07:11:50 am,0,65.7872,8.859
10/21/2021,07:26:50 am,0,65.8010,8.852
10/21/2021,07:41:50 am,0,65.8160,8.846
10/21/2021,07:56:50 am,0,65.8301,8.844
10/21/2021,08:11:50 am,0,65.8491,8.847
10/21/2021,08:26:50 am,0,65.8603,8.849
10/21/2021,08:41:50 am,0,65.8703,8.854
10/21/2021,08:56:50 am,0,65.8823,8.863
10/21/2021,09:11:50 am,0,65.8837,8.875
10/21/2021,09:26:50 am,0,65.8845,8.888
10/21/2021,09:41:50 am,0,65.8804,8.905
10/21/2021,09:56:50 am,0,65.8916,8.922
10/21/2021,10:11:50 am,0,65.8898,8.939
10/21/2021,10:26:50 am,0,65.8936,8.955
10/21/2021,10:41:50 am,0,65.8951,8.972
10/21/2021,10:56:50 am,0,65.8849,8.991
10/21/2021,11:11:50 am,0,65.8779,9.006
